instance_id,test_comprehensiveness,codebase_scope,side_effect_risk,similar_issue_likelihood,entry_point_clarity,atypicality,information_completeness,problem_clarity,solution_complexity,logical_reasoning_required,error_specificity,standard_pattern_available,solution_hint,domain_knowledge_required,fix_localization
sphinx-doc__sphinx-7590,4,3,3,0,5,4,4,4,4,4,4,0,1,5,4
matplotlib__matplotlib-14623,2,3,3,1,4,3,5,5,3,3,4,0,3,4,5
django__django-16527,3,1,2,1,5,1,5,5,1,1,4,1,3,3,5
django__django-16032,3,2,3,0,4,4,5,5,3,4,5,0,3,5,4
pydata__xarray-2905,2,1,3,1,5,2,5,5,1,2,4,1,3,3,4
django__django-12708,3,1,2,1,5,3,4,4,1,3,4,0,1,4,5
django__django-15022,4,1,3,1,4,2,4,4,2,3,4,1,2,4,5
sympy__sympy-17655,2,1,1,1,5,1,5,5,1,1,5,1,3,2,5
sphinx-doc__sphinx-9367,3,1,1,1,5,1,5,5,1,2,5,1,3,2,5
pylint-dev__pylint-7080,2,1,2,1,4,1,5,5,1,2,4,1,3,3,5
astropy__astropy-8707,3,2,2,1,5,2,4,4,3,3,4,1,2,3,4
django__django-11734,2,3,3,0,4,4,5,4,3,4,4,0,1,5,4
pydata__xarray-4687,2,1,2,1,5,2,5,5,2,3,4,1,3,4,5
astropy__astropy-7671,3,1,2,1,5,2,5,5,2,2,5,1,3,2,5
django__django-11276,4,2,3,1,5,1,5,5,2,2,5,1,3,2,5
pallets__flask-5014,2,1,2,1,5,1,5,5,1,1,4,1,3,2,5
django__django-11333,3,2,2,1,5,2,5,5,2,2,4,1,3,3,5
django__django-11299,4,1,2,1,4,4,5,4,1,4,5,0,1,5,4
django__django-16819,2,1,1,1,4,2,3,3,1,2,3,1,2,4,4
pydata__xarray-4629,2,1,1,1,5,1,5,5,1,1,5,1,3,1,5
django__django-11149,4,1,3,1,4,3,5,4,3,4,4,0,1,4,5
django__django-14170,4,2,3,1,4,3,5,5,3,3,5,0,2,4,4
pytest-dev__pytest-7521,4,1,2,1,4,3,5,5,1,3,5,1,1,4,5
django__django-13089,3,1,1,1,5,1,5,5,1,1,5,1,3,2,5
django__django-13820,3,1,2,1,5,3,5,5,2,3,4,0,3,4,5
django__django-13344,4,3,3,1,4,3,5,4,3,3,4,1,3,4,4
scikit-learn__scikit-learn-10908,4,1,2,1,5,1,5,5,1,2,5,1,2,3,5
django__django-11400,4,3,3,1,5,2,5,4,3,3,4,1,2,4,5
django__django-13128,4,2,3,0,4,3,4,4,4,4,5,0,1,5,4
django__django-15382,2,1,2,1,4,3,5,4,2,3,4,1,3,4,4
sympy__sympy-12489,4,1,3,1,5,2,5,5,3,2,4,1,3,3,4
astropy__astropy-8872,2,1,3,1,4,3,5,5,2,3,5,0,3,4,5
astropy__astropy-14365,3,1,1,1,5,1,5,5,1,2,5,1,3,2,5
django__django-11292,2,1,2,1,5,2,4,4,2,2,3,1,2,4,5
sympy__sympy-18211,2,1,2,1,4,1,5,5,1,2,4,1,3,3,3
django__django-15814,2,1,2,1,5,2,5,5,1,2,5,1,3,4,5
django__django-12406,4,2,3,1,4,3,5,4,3,3,5,0,1,4,4
astropy__astropy-13398,4,4,4,0,4,4,5,4,4,4,3,0,3,5,4
sympy__sympy-23950,3,1,2,1,5,2,5,5,1,2,5,1,3,3,5
sphinx-doc__sphinx-9229,2,1,3,1,3,4,5,4,3,4,4,0,0,5,4
psf__requests-5414,3,1,2,1,5,1,5,5,1,2,5,1,2,3,5
psf__requests-1142,2,1,3,1,3,2,5,4,2,2,4,1,2,3,4
sphinx-doc__sphinx-9602,3,1,3,1,4,4,5,4,3,4,4,0,1,4,4
matplotlib__matplotlib-25122,4,1,3,1,5,2,5,5,1,2,5,1,3,4,5
django__django-14053,2,1,3,1,4,3,5,5,3,3,4,0,2,4,4
django__django-12304,2,1,2,1,5,1,5,5,1,1,4,1,3,3,5
django__django-12754,2,1,2,1,3,3,5,5,3,3,5,0,3,4,4
sphinx-doc__sphinx-7889,3,1,1,1,5,2,4,4,1,2,4,1,1,3,5
django__django-11206,3,1,2,1,5,2,5,5,2,3,5,1,2,3,5
sphinx-doc__sphinx-8551,3,2,3,1,4,4,5,4,2,4,4,0,1,5,4
django__django-13112,3,1,2,1,3,2,5,5,2,2,5,1,3,4,5
sympy__sympy-24539,3,1,1,1,5,1,5,5,1,2,5,1,3,2,5
django__django-16255,3,1,1,1,5,1,5,5,1,1,5,1,3,2,5
django__django-14792,4,1,3,1,4,3,5,4,2,3,5,0,2,4,3
matplotlib__matplotlib-24637,2,1,2,1,4,1,5,5,1,1,4,1,3,3,5
pydata__xarray-4966,4,1,2,1,5,2,5,5,2,2,5,1,3,4,5
pydata__xarray-6721,2,1,2,1,5,2,5,5,1,3,5,0,2,4,5
django__django-13807,3,1,1,1,5,1,5,5,2,2,5,1,3,3,5
matplotlib__matplotlib-26466,3,1,2,1,4,2,5,5,2,2,4,1,3,3,5
matplotlib__matplotlib-20859,2,1,2,1,5,1,5,5,1,1,5,1,3,3,5
sphinx-doc__sphinx-8269,2,1,2,1,4,2,5,5,1,2,5,1,2,3,5
astropy__astropy-13033,3,1,1,1,5,1,5,5,2,2,5,1,3,2,5
django__django-16263,3,4,4,0,4,4,4,4,5,5,3,0,2,5,4
django__django-11119,2,1,2,1,5,1,5,5,1,2,4,1,3,3,5
pydata__xarray-7393,3,1,2,1,3,2,5,5,2,2,4,1,3,4,4
mwaskom__seaborn-3187,2,2,3,1,5,3,5,4,2,2,4,1,2,4,5
pytest-dev__pytest-5262,2,1,2,1,5,1,5,5,1,1,5,1,3,3,5
pytest-dev__pytest-7571,4,1,2,1,4,2,5,5,2,2,5,1,1,3,5
astropy__astropy-14369,4,1,3,1,4,3,5,5,3,3,4,0,2,4,5
sphinx-doc__sphinx-8475,3,1,1,1,5,1,5,5,1,1,4,1,3,2,5
django__django-15731,3,1,2,1,5,1,5,5,1,1,5,1,3,2,5
pytest-dev__pytest-5809,2,1,1,1,5,1,5,5,1,1,4,1,3,1,5
django__django-12774,4,1,2,1,5,2,5,5,2,3,5,0,2,4,5
scikit-learn__scikit-learn-13328,2,1,2,1,5,1,5,5,1,2,5,1,2,3,5
sympy__sympy-19637,2,1,1,1,5,1,5,4,1,2,5,1,2,2,5
django__django-14376,4,2,2,1,5,1,5,5,2,2,4,1,3,3,5
scikit-learn__scikit-learn-14496,2,1,1,1,5,1,5,5,1,2,5,1,3,2,4
django__django-12308,4,1,2,1,5,2,4,5,2,2,4,1,3,3,5
sympy__sympy-24562,3,1,2,1,4,2,5,4,3,3,4,0,3,3,5
astropy__astropy-12907,4,1,3,1,5,4,5,4,1,4,4,0,1,4,4
pydata__xarray-4356,4,1,2,1,5,2,5,5,2,2,4,1,3,3,5
django__django-11820,4,1,2,1,4,3,5,4,3,3,5,0,1,4,5
django__django-15863,2,1,3,1,5,1,5,5,1,2,5,1,3,2,5
django__django-14771,4,1,2,1,4,2,5,4,2,2,4,1,2,3,5
django__django-11066,3,1,1,1,5,1,5,5,1,2,5,1,3,3,5
pydata__xarray-3305,3,2,2,1,5,1,5,5,2,2,5,1,3,3,3
matplotlib__matplotlib-23412,3,1,2,1,5,1,5,5,1,1,5,1,3,3,5
scikit-learn__scikit-learn-14087,4,1,2,1,5,3,5,5,2,3,5,0,1,4,5
django__django-15930,2,1,2,1,4,3,5,5,2,3,5,0,1,4,4
django__django-12125,3,1,2,1,4,1,5,5,1,2,5,1,3,3,5
scikit-learn__scikit-learn-15100,4,1,2,1,5,2,5,5,2,2,5,1,3,3,5
sphinx-doc__sphinx-8265,2,1,3,1,4,3,4,4,3,3,4,0,1,4,5
django__django-11532,2,3,3,1,5,2,5,5,3,2,5,1,3,3,5
django__django-11477,4,1,3,1,4,2,3,4,1,3,3,1,3,4,5
django__django-9296,2,1,2,1,5,1,5,5,1,1,3,1,3,2,5
sphinx-doc__sphinx-8459,2,1,2,1,4,3,5,5,1,3,4,0,1,4,5
sympy__sympy-14711,2,1,2,1,5,1,5,5,1,2,5,1,3,2,5
sympy__sympy-18698,3,1,3,0,3,3,5,4,3,3,4,0,3,4,4
django__django-16560,4,3,2,1,5,1,4,5,2,2,4,1,3,3,4
scikit-learn__scikit-learn-26323,3,1,2,1,5,2,5,5,1,2,4,1,2,4,5
django__django-11163,4,1,2,1,5,1,5,5,1,2,5,1,3,2,5
scikit-learn__scikit-learn-14710,3,1,2,1,5,2,5,5,2,2,5,1,3,3,5
django__django-13670,3,1,2,1,5,1,5,5,1,2,5,1,3,2,5
django__django-13109,4,1,3,1,5,1,5,5,1,2,5,1,3,3,5
astropy__astropy-14539,4,1,1,1,5,2,5,5,1,2,5,1,3,4,5
sphinx-doc__sphinx-9658,3,1,3,1,4,3,4,4,2,3,4,0,1,4,5
django__django-15161,3,1,2,1,5,2,5,5,1,1,4,1,3,4,4
sympy__sympy-13647,3,1,1,1,5,1,5,5,1,2,5,1,3,2,5
django__django-11964,3,1,3,1,4,2,5,5,1,2,5,1,1,3,5
django__django-11749,4,1,2,1,5,3,5,5,2,3,5,0,2,4,5
pydata__xarray-3095,3,2,2,1,4,3,5,5,3,3,5,0,1,4,4
sphinx-doc__sphinx-8120,3,2,3,1,4,3,5,5,2,3,4,0,2,4,5
scikit-learn__scikit-learn-14053,3,1,1,1,5,2,5,5,1,2,4,1,3,4,5
scikit-learn__scikit-learn-13779,4,1,1,1,5,1,5,5,1,2,5,1,2,2,5
psf__requests-1724,2,1,2,1,5,2,5,5,1,2,5,1,3,3,5
django__django-12325,4,2,3,1,4,3,5,4,2,3,4,0,3,4,4
scikit-learn__scikit-learn-14141,2,1,1,1,5,1,4,5,1,1,4,1,3,1,5
matplotlib__matplotlib-26113,3,1,3,1,5,1,5,5,1,2,5,1,3,3,5
django__django-14434,3,1,2,1,4,3,3,3,2,3,4,0,2,4,4
sphinx-doc__sphinx-9320,2,1,1,1,5,1,5,5,1,2,4,1,1,2,5
pylint-dev__pylint-4604,3,2,2,1,4,3,5,4,2,3,4,0,1,4,5
django__django-12276,3,1,2,1,5,1,5,5,1,2,4,1,3,3,5
django__django-10973,4,1,2,1,5,2,4,5,2,2,3,1,3,3,5
sympy__sympy-16886,3,1,1,1,5,1,5,5,1,1,5,1,3,1,5
matplotlib__matplotlib-22865,4,1,2,1,5,3,4,5,2,3,4,0,1,4,5
sphinx-doc__sphinx-8638,2,1,3,1,3,3,4,4,1,3,3,0,1,4,4
pytest-dev__pytest-10051,4,1,2,1,5,2,5,5,2,2,5,1,3,3,5
scikit-learn__scikit-learn-13124,2,1,3,1,4,2,5,5,1,2,4,1,2,3,5
django__django-16429,5,1,1,1,5,1,5,5,1,2,5,1,3,2,5
django__django-11138,3,3,3,1,5,3,5,4,3,3,5,0,3,4,4
django__django-13410,3,1,2,1,5,1,5,5,2,2,5,1,3,2,5
django__django-16612,4,1,1,1,5,1,5,5,1,2,5,1,3,3,5
sympy__sympy-20428,2,1,3,1,4,3,5,5,1,3,5,0,3,4,4
django__django-14855,3,1,1,1,5,1,5,5,1,2,5,1,3,3,5
django__django-15252,3,2,3,1,5,3,4,4,2,3,4,0,2,4,4
django__django-11211,2,1,3,1,4,3,4,4,2,4,3,0,0,4,5
astropy__astropy-14309,2,1,2,1,5,1,5,5,1,2,5,1,2,2,5
django__django-13810,3,1,2,1,5,3,4,4,2,3,4,0,2,4,5
sympy__sympy-14531,3,1,2,1,4,1,5,5,2,2,4,1,2,3,4
django__django-13406,4,1,3,1,4,3,5,5,1,3,5,0,3,4,4
sympy__sympy-14248,4,3,3,1,4,3,5,5,3,3,5,0,1,4,3
django__django-14140,4,1,3,1,5,2,5,5,2,3,5,1,3,4,5
sympy__sympy-13974,4,1,3,1,4,3,5,5,4,3,4,0,3,4,5
sphinx-doc__sphinx-9711,3,1,3,1,5,1,5,5,2,2,5,1,2,2,5
sympy__sympy-19495,3,1,3,1,4,3,4,4,3,4,4,0,1,4,5
django__django-11179,3,1,2,1,5,2,5,5,1,2,4,1,3,4,5
sphinx-doc__sphinx-10466,3,1,2,1,5,1,5,5,1,2,4,1,3,3,5
django__django-16595,2,1,1,1,5,1,5,5,1,2,5,1,3,3,5
sympy__sympy-13372,2,1,2,1,5,1,5,5,1,2,5,1,3,3,5
pydata__xarray-6599,2,1,2,1,4,2,5,5,2,2,5,1,2,3,5
django__django-15268,3,2,3,1,4,3,5,4,3,3,4,0,2,4,4
sphinx-doc__sphinx-8593,4,2,3,1,4,3,4,4,3,4,4,0,1,4,4
sympy__sympy-20916,4,1,2,1,4,2,5,5,1,2,4,1,3,2,4
sympy__sympy-21612,2,1,2,1,5,3,5,5,1,3,5,0,3,4,5
django__django-11790,3,1,1,1,4,1,5,5,1,2,4,1,2,3,5
pytest-dev__pytest-7205,4,1,2,1,5,1,5,5,1,1,5,1,3,3,5
matplotlib__matplotlib-24026,2,1,3,1,5,3,5,4,3,3,5,0,1,4,5
sympy__sympy-15875,2,1,2,1,4,3,5,4,2,3,5,0,2,4,5
django__django-16901,3,1,2,1,4,3,5,5,2,3,5,1,2,4,5
django__django-11728,4,1,2,1,4,3,5,5,3,3,5,0,3,3,5
