instance_id,codebase_scope,problem_clarity,test_edge_case_coverage,side_effect_risk,logical_reasoning_required,test_comprehensiveness,entry_point_clarity,solution_complexity,fix_localization,debugging_complexity,information_completeness,solution_hint,standard_pattern_available,verification_difficulty,reproduction_clarity
sphinx-doc__sphinx-7590,3,3,4,2,4,5,5,4,4,4,4,1,0,3,5
matplotlib__matplotlib-14623,3,4,2,2,3,2,4,2,5,4,5,1,0,2,5
django__django-16527,1,5,3,2,1,4,5,1,5,1,4,3,1,2,3
django__django-16032,3,5,2,3,4,3,4,3,4,5,5,3,0,2,5
pydata__xarray-2905,1,5,2,3,2,2,5,1,4,2,5,3,1,2,5
django__django-12708,2,4,2,2,3,3,5,1,5,2,4,1,0,3,3
django__django-15022,1,4,3,3,3,4,4,2,5,3,4,2,0,3,4
sympy__sympy-17655,1,5,1,1,1,2,5,1,5,1,5,3,1,1,5
sphinx-doc__sphinx-9367,1,5,2,1,2,2,5,1,5,1,5,2,1,1,5
pylint-dev__pylint-7080,1,5,2,2,2,2,4,1,5,2,5,3,1,2,5
astropy__astropy-8707,2,4,2,2,3,3,5,3,4,3,4,2,1,2,3
django__django-11734,3,4,2,3,4,2,4,4,4,5,4,1,0,3,5
pydata__xarray-4687,1,4,2,2,2,2,5,2,5,2,5,2,1,2,5
astropy__astropy-7671,1,5,2,2,2,3,5,2,5,2,5,2,1,2,5
django__django-11276,3,5,3,4,2,4,5,2,5,2,5,3,1,3,4
pallets__flask-5014,1,5,2,2,1,1,5,1,5,1,3,2,1,1,3
django__django-11333,2,5,2,2,2,2,5,2,5,2,5,3,1,2,3
django__django-11299,2,4,3,2,4,4,4,1,4,4,5,1,0,3,5
django__django-16819,2,3,1,2,2,2,4,2,4,3,2,1,1,2,2
pydata__xarray-4629,1,5,1,1,1,2,5,1,5,1,5,3,1,1,5
django__django-11149,2,4,3,3,3,4,4,3,5,3,4,1,0,2,4
django__django-14170,2,5,3,2,4,3,4,3,4,3,5,2,0,3,5
pytest-dev__pytest-7521,1,5,3,2,3,3,4,1,5,2,5,2,1,2,5
django__django-13089,1,4,2,1,2,2,5,1,5,2,4,2,1,4,2
django__django-13820,1,5,2,2,2,3,5,2,5,2,5,3,0,3,3
django__django-13344,3,4,3,3,3,4,4,3,4,3,5,3,1,3,5
scikit-learn__scikit-learn-10908,1,5,3,2,2,3,5,1,5,2,5,2,1,2,5
django__django-11400,3,4,3,2,3,4,5,3,5,2,4,2,1,2,3
django__django-13128,2,4,3,3,4,4,4,4,4,4,4,1,0,3,5
django__django-15382,1,4,2,2,3,2,4,2,4,3,4,3,0,2,5
sympy__sympy-12489,2,4,3,2,2,4,5,3,4,2,4,3,1,2,3
astropy__astropy-8872,1,4,2,2,3,2,4,2,5,2,4,2,1,2,5
astropy__astropy-14365,1,5,2,2,1,3,5,1,5,2,5,3,1,1,5
django__django-11292,2,4,2,3,2,2,5,2,5,2,3,2,1,2,3
sympy__sympy-18211,2,5,2,2,2,2,4,2,3,2,5,3,1,1,5
django__django-15814,1,5,1,2,2,2,5,1,5,2,5,3,0,2,5
django__django-12406,2,4,3,3,3,4,4,3,4,3,4,1,0,2,5
astropy__astropy-13398,4,4,3,4,4,4,4,4,4,4,4,3,0,4,4
sympy__sympy-23950,1,5,2,3,2,3,5,1,5,2,5,3,0,1,5
sphinx-doc__sphinx-9229,2,4,1,2,4,2,3,3,4,4,5,0,0,2,5
psf__requests-5414,1,5,2,2,2,2,5,1,5,2,5,2,1,1,5
psf__requests-1142,1,4,2,3,2,2,3,2,4,2,4,2,1,2,4
sphinx-doc__sphinx-9602,2,4,2,2,4,3,4,3,4,4,5,1,0,2,5
matplotlib__matplotlib-25122,1,5,2,3,3,3,5,1,5,2,5,3,1,3,4
django__django-14053,2,4,2,2,4,2,4,3,4,3,5,1,0,2,4
django__django-12304,1,5,1,2,1,2,5,1,5,2,5,3,1,1,4
django__django-12754,2,4,1,2,3,2,3,3,4,4,5,3,0,2,5
sphinx-doc__sphinx-7889,1,4,2,1,2,3,5,1,5,2,4,2,1,2,4
django__django-11206,1,5,2,2,3,2,5,2,5,2,5,2,1,2,5
sphinx-doc__sphinx-8551,3,4,2,2,4,3,4,2,4,4,5,0,0,3,5
django__django-13112,2,4,2,2,2,3,3,2,5,3,4,3,0,2,4
sympy__sympy-24539,1,5,3,2,2,3,5,1,5,1,5,2,1,1,5
django__django-16255,1,5,2,1,1,2,5,1,5,1,5,3,1,2,3
django__django-14792,2,4,3,3,3,4,4,1,3,2,5,2,0,3,5
matplotlib__matplotlib-24637,1,5,1,2,2,2,4,1,5,2,5,3,1,2,5
pydata__xarray-4966,1,5,3,2,2,4,5,2,5,2,5,3,1,2,5
pydata__xarray-6721,2,4,1,1,3,2,5,1,5,2,5,2,0,2,4
django__django-13807,1,5,2,1,2,3,5,2,5,1,5,3,1,2,4
matplotlib__matplotlib-26466,2,5,2,2,2,2,4,2,5,2,5,3,1,2,5
matplotlib__matplotlib-20859,1,5,1,2,2,2,5,1,5,1,5,3,1,1,5
sphinx-doc__sphinx-8269,1,5,2,2,2,2,4,1,5,2,5,2,1,3,5
astropy__astropy-13033,1,5,2,1,2,2,5,2,5,2,5,2,1,1,5
django__django-16263,4,4,3,3,5,3,4,5,4,5,4,1,0,4,5
django__django-11119,1,4,2,2,2,2,5,1,5,2,4,2,1,2,3
pydata__xarray-7393,1,5,2,2,2,3,3,2,4,3,5,3,1,1,5
mwaskom__seaborn-3187,2,4,2,2,2,2,5,2,5,2,5,2,1,2,5
pytest-dev__pytest-5262,1,5,1,1,1,2,5,1,5,1,5,3,1,2,5
pytest-dev__pytest-7571,1,5,2,1,2,3,4,2,5,2,5,1,1,2,5
astropy__astropy-14369,2,4,3,3,4,3,4,3,5,4,5,1,0,2,5
sphinx-doc__sphinx-8475,1,5,2,2,1,3,5,1,5,2,4,3,1,2,3
django__django-15731,1,5,2,2,1,3,5,1,5,1,5,3,1,1,5
pytest-dev__pytest-5809,1,5,1,1,1,2,5,1,5,1,5,3,1,1,5
django__django-12774,1,5,4,2,3,4,5,2,5,2,5,1,0,2,5
scikit-learn__scikit-learn-13328,1,5,1,2,2,1,5,1,5,2,5,2,1,1,5
sympy__sympy-19637,1,4,2,1,3,2,5,2,5,2,4,1,1,2,5
django__django-14376,2,5,3,2,2,4,5,2,5,1,5,3,1,2,3
scikit-learn__scikit-learn-14496,2,5,2,1,2,2,5,1,4,1,5,3,1,2,5
django__django-12308,2,5,4,2,2,4,5,2,5,2,4,3,1,2,3
sympy__sympy-24562,1,5,3,2,3,4,4,3,5,3,5,3,0,2,5
astropy__astropy-12907,2,4,3,2,4,4,5,1,4,4,5,0,0,2,5
pydata__xarray-4356,1,5,3,2,2,4,5,2,5,2,5,3,1,2,5
django__django-11820,1,4,3,1,3,3,4,2,5,3,4,1,0,2,4
django__django-15863,1,5,2,2,2,2,5,1,5,2,5,2,1,2,5
django__django-14771,1,4,2,2,2,3,4,2,5,2,4,2,1,2,4
django__django-11066,1,5,2,1,2,3,5,1,5,2,5,3,1,3,3
pydata__xarray-3305,2,5,2,2,2,3,5,2,3,2,5,3,1,1,5
matplotlib__matplotlib-23412,1,5,2,3,2,3,5,1,5,2,5,3,0,3,5
scikit-learn__scikit-learn-14087,1,4,3,1,3,4,5,2,5,3,5,0,0,2,5
django__django-15930,2,4,2,2,3,2,4,2,4,3,5,1,0,2,5
django__django-12125,1,5,2,2,2,3,4,1,5,2,5,3,1,2,5
scikit-learn__scikit-learn-15100,1,5,4,1,2,4,5,2,5,2,5,3,1,2,5
sphinx-doc__sphinx-8265,2,4,2,3,3,2,4,3,5,4,4,1,0,2,4
django__django-11532,3,5,2,2,2,2,5,3,5,2,5,3,1,2,5
django__django-11477,2,3,3,3,3,4,4,1,5,3,3,2,1,2,2
django__django-9296,1,5,1,1,1,2,5,1,5,1,4,3,1,1,3
sphinx-doc__sphinx-8459,2,5,1,2,3,2,4,1,5,3,5,0,0,2,5
sympy__sympy-14711,1,5,1,1,2,1,5,1,5,2,5,2,1,1,5
sympy__sympy-18698,2,4,2,3,3,2,3,3,4,3,5,2,0,2,5
django__django-16560,3,4,3,2,2,4,5,3,4,2,4,2,1,2,3
scikit-learn__scikit-learn-26323,1,4,3,1,2,3,5,1,5,2,5,1,1,2,5
django__django-11163,1,5,3,2,1,4,5,1,5,1,5,3,1,1,5
scikit-learn__scikit-learn-14710,1,5,2,1,2,3,5,2,5,2,5,3,1,2,5
django__django-13670,1,5,3,2,2,3,5,1,5,1,5,2,1,2,5
django__django-13109,1,5,3,3,2,4,5,1,5,2,5,3,1,2,5
astropy__astropy-14539,1,5,3,1,2,4,5,1,5,2,5,3,1,2,5
sphinx-doc__sphinx-9658,2,4,2,2,4,3,4,2,5,4,5,1,0,3,4
django__django-15161,2,4,2,2,2,3,5,1,4,2,3,2,1,2,2
sympy__sympy-13647,1,5,2,2,2,2,5,1,5,2,5,3,1,1,5
django__django-11964,1,5,2,3,2,3,4,1,5,2,5,1,1,2,5
django__django-11749,1,5,3,1,3,3,5,2,5,2,5,2,0,2,5
pydata__xarray-3095,2,4,2,2,3,2,4,3,4,3,5,1,0,2,5
sphinx-doc__sphinx-8120,2,4,2,3,3,3,4,2,5,4,5,2,0,3,5
scikit-learn__scikit-learn-14053,1,5,2,1,2,3,5,1,5,2,5,3,1,2,5
scikit-learn__scikit-learn-13779,1,5,3,1,2,4,5,1,5,2,5,1,1,1,5
psf__requests-1724,1,5,1,1,2,1,5,1,5,2,5,2,1,2,5
django__django-12325,2,4,3,2,4,4,4,2,4,4,4,2,0,3,5
scikit-learn__scikit-learn-14141,1,4,1,1,1,2,5,1,5,1,3,2,1,1,2
matplotlib__matplotlib-26113,1,5,2,3,2,3,5,1,5,2,5,3,1,2,5
django__django-14434,2,3,2,2,3,3,4,2,4,3,3,2,0,2,2
sphinx-doc__sphinx-9320,1,5,2,1,2,2,5,1,5,2,4,1,1,2,5
pylint-dev__pylint-4604,2,4,3,2,3,3,4,2,5,3,5,1,0,2,5
django__django-12276,1,5,3,2,2,4,5,1,5,1,5,3,1,2,5
django__django-10973,1,5,3,2,2,4,5,2,5,2,4,3,1,2,2
sympy__sympy-16886,1,5,2,1,1,3,5,1,5,1,5,3,1,1,4
matplotlib__matplotlib-22865,1,4,4,2,3,4,5,2,5,3,5,1,0,2,5
sphinx-doc__sphinx-8638,2,4,1,2,4,2,3,1,4,4,4,0,0,3,4
pytest-dev__pytest-10051,1,5,3,2,2,4,5,2,5,2,5,3,1,2,5
scikit-learn__scikit-learn-13124,1,4,2,3,3,2,4,1,5,2,5,2,1,2,5
django__django-16429,1,5,4,1,1,4,5,1,5,2,5,3,1,2,5
django__django-11138,3,4,3,3,3,3,5,3,4,3,5,2,0,3,4
django__django-13410,1,5,3,2,1,4,5,2,5,1,5,3,1,2,4
django__django-16612,1,5,3,1,2,4,5,1,5,1,5,3,1,2,5
sympy__sympy-20428,2,4,2,3,4,2,4,1,4,3,5,1,0,3,5
django__django-14855,1,5,2,2,2,3,5,1,5,2,4,3,1,2,3
django__django-15252,3,4,3,3,4,4,5,2,4,3,4,1,0,3,4
django__django-11211,2,4,2,3,4,2,4,2,5,4,4,0,0,3,5
astropy__astropy-14309,1,5,2,1,2,1,5,1,5,2,5,2,1,1,5
django__django-13810,1,4,2,1,3,3,5,2,5,3,4,2,0,3,4
sympy__sympy-14531,4,4,2,2,2,3,4,2,4,2,5,1,1,2,5
django__django-13406,1,5,3,2,3,4,4,1,4,2,5,3,0,2,5
sympy__sympy-14248,3,5,3,2,3,4,4,3,3,3,5,1,1,2,5
django__django-14140,1,5,3,3,2,4,5,2,5,2,5,3,0,2,5
sympy__sympy-13974,1,5,3,2,3,4,4,4,5,3,5,3,1,2,5
sphinx-doc__sphinx-9711,1,5,3,2,2,3,5,2,5,2,5,2,1,2,5
sympy__sympy-19495,2,4,2,3,4,3,4,2,5,3,5,1,0,2,5
django__django-11179,1,5,2,2,2,2,5,1,5,2,4,3,1,2,3
sphinx-doc__sphinx-10466,1,4,3,2,2,4,5,2,5,2,4,3,1,2,3
django__django-16595,1,5,1,1,2,2,5,1,5,2,5,3,1,2,5
sympy__sympy-13372,1,5,1,2,2,1,5,1,5,2,5,3,1,2,5
pydata__xarray-6599,1,5,2,2,2,2,4,2,5,2,5,2,1,2,5
django__django-15268,2,4,2,2,4,3,4,3,4,3,4,1,0,3,5
sphinx-doc__sphinx-8593,3,4,3,3,4,4,4,4,4,4,4,0,0,2,5
sympy__sympy-20916,1,5,4,3,2,4,4,1,4,2,5,3,1,2,5
sympy__sympy-21612,2,4,2,2,3,2,5,1,5,4,5,3,0,2,5
django__django-11790,1,4,2,1,2,3,4,1,5,2,4,1,1,2,3
pytest-dev__pytest-7205,1,5,2,3,2,4,5,1,5,1,5,3,1,2,5
matplotlib__matplotlib-24026,1,4,2,3,3,2,5,2,5,2,5,1,1,2,5
sympy__sympy-15875,1,5,2,2,3,2,4,1,5,3,5,2,0,2,5
django__django-16901,2,5,2,2,4,3,4,2,5,3,5,1,0,2,5
django__django-11728,1,5,3,2,3,4,4,3,5,2,5,3,1,2,4
