solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_task_id,_extracted_at,_model,_provider,instance_id,entry_point_clarity,change_blast_radius,fix_localization
1,5,4,3,4,2,0,5,4,4,2,1,5,1,2,3,2,3,2,3,sphinx-doc__sphinx-7462,2026-03-06T15:21:10.949928,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-7462,5,2,5
3,5,3,2,2,2,1,5,5,4,1,1,5,1,1,2,2,2,1,2,django__django-16569,2026-03-06T15:20:08.397129,gpt-5.4-2026-03-05,openai,django__django-16569,5,2,5
3,5,3,2,3,2,1,4,4,4,2,2,4,1,2,2,2,2,1,2,django__django-16139,2026-03-06T15:20:06.322974,gpt-5.4-2026-03-05,openai,django__django-16139,5,2,5
1,4,4,4,4,3,0,5,5,4,4,3,5,0,3,2,2,3,2,3,sympy__sympy-21379,2026-03-06T15:21:57.449642,gpt-5.4-2026-03-05,openai,sympy__sympy-21379,3,3,4
1,5,4,4,4,3,0,4,5,5,3,2,4,1,3,3,2,2,2,3,sympy__sympy-12419,2026-03-06T15:21:29.830519,gpt-5.4-2026-03-05,openai,sympy__sympy-12419,4,2,5
2,4,3,2,3,2,1,5,4,4,2,2,4,1,2,2,2,2,1,2,django__django-14915,2026-03-06T15:19:47.030442,gpt-5.4-2026-03-05,openai,django__django-14915,5,2,5
1,4,4,3,3,3,1,4,4,4,3,2,5,1,3,3,2,2,2,3,sphinx-doc__sphinx-8056,2026-03-06T15:21:13.363508,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-8056,4,2,4
1,5,4,3,3,2,1,5,5,5,3,2,4,1,2,3,2,3,2,3,sympy__sympy-17318,2026-03-06T15:21:56.405813,gpt-5.4-2026-03-05,openai,sympy__sympy-17318,5,2,4
2,5,2,2,3,2,1,4,5,4,2,1,4,1,3,4,3,4,2,2,pylint-dev__pylint-7277,2026-03-06T15:20:49.777912,gpt-5.4-2026-03-05,openai,pylint-dev__pylint-7277,5,2,5
1,4,4,4,3,3,0,5,5,4,3,2,4,1,3,2,2,2,1,2,sympy__sympy-24213,2026-03-06T15:21:58.643715,gpt-5.4-2026-03-05,openai,sympy__sympy-24213,5,2,5
2,4,4,3,3,3,1,4,5,3,3,2,5,1,3,2,3,1,2,3,matplotlib__matplotlib-25960,2026-03-06T15:20:28.927013,gpt-5.4-2026-03-05,openai,matplotlib__matplotlib-25960,4,2,5
2,4,4,4,4,4,0,5,4,4,4,3,4,1,3,2,3,2,2,3,django__django-11740,2026-03-06T15:18:50.943927,gpt-5.4-2026-03-05,openai,django__django-11740,4,2,4
1,3,4,3,4,3,0,4,5,3,3,2,4,1,4,2,1,2,2,3,sympy__sympy-20801,2026-03-06T15:22:00.742557,gpt-5.4-2026-03-05,openai,sympy__sympy-20801,4,2,5
2,5,3,2,2,2,1,5,5,4,1,1,5,1,1,2,2,3,1,2,django__django-14493,2026-03-06T15:19:30.609089,gpt-5.4-2026-03-05,openai,django__django-14493,5,2,5
1,4,3,3,3,3,1,4,5,5,3,2,4,1,3,2,1,2,2,2,django__django-14539,2026-03-06T15:19:31.380964,gpt-5.4-2026-03-05,openai,django__django-14539,5,2,5
3,4,4,3,3,3,1,3,4,4,2,2,4,0,5,4,3,4,2,3,astropy__astropy-13236,2026-03-06T15:15:11.607899,gpt-5.4-2026-03-05,openai,astropy__astropy-13236,5,3,5
1,5,4,3,4,3,0,5,5,4,3,2,5,1,3,3,4,3,2,3,pytest-dev__pytest-10081,2026-03-06T15:20:51.633383,gpt-5.4-2026-03-05,openai,pytest-dev__pytest-10081,4,2,5
1,4,4,4,4,4,0,5,4,4,4,3,5,1,3,2,3,2,2,4,django__django-17084,2026-03-06T15:20:09.402354,gpt-5.4-2026-03-05,openai,django__django-17084,3,2,5
2,4,4,3,4,3,0,5,5,4,3,2,4,1,3,2,2,2,1,3,django__django-13028,2026-03-06T15:19:10.017428,gpt-5.4-2026-03-05,openai,django__django-13028,5,2,5
2,4,3,3,3,2,1,5,5,3,2,1,4,1,2,2,1,2,1,2,pydata__xarray-6461,2026-03-06T15:20:47.370764,gpt-5.4-2026-03-05,openai,pydata__xarray-6461,5,2,5
1,3,4,4,4,4,0,5,3,3,4,3,4,1,3,3,3,4,1,2,matplotlib__matplotlib-20488,2026-03-06T15:20:09.981879,gpt-5.4-2026-03-05,openai,matplotlib__matplotlib-20488,4,3,4
2,5,4,2,3,2,1,4,5,4,2,2,4,1,2,4,3,3,1,2,pytest-dev__pytest-8399,2026-03-06T15:20:51.739244,gpt-5.4-2026-03-05,openai,pytest-dev__pytest-8399,5,1,5
1,5,4,4,4,4,0,4,5,4,4,3,5,1,3,3,3,2,2,3,matplotlib__matplotlib-20826,2026-03-06T15:20:13.468119,gpt-5.4-2026-03-05,openai,matplotlib__matplotlib-20826,4,3,4
3,5,3,2,2,2,1,5,5,5,1,1,4,1,2,1,1,1,1,2,django__django-15851,2026-03-06T15:19:51.054890,gpt-5.4-2026-03-05,openai,django__django-15851,5,2,5
1,4,4,3,3,2,1,4,5,4,2,2,4,1,2,3,2,3,2,3,sympy__sympy-19783,2026-03-06T15:21:56.057564,gpt-5.4-2026-03-05,openai,sympy__sympy-19783,4,2,4
1,4,4,3,4,4,0,5,4,4,3,2,4,1,3,4,3,4,3,4,pytest-dev__pytest-5840,2026-03-06T15:20:51.012004,gpt-5.4-2026-03-05,openai,pytest-dev__pytest-5840,4,2,4
2,4,4,4,3,3,1,4,4,5,2,2,4,1,3,4,1,4,1,2,django__django-10097,2026-03-06T15:18:48.711650,gpt-5.4-2026-03-05,openai,django__django-10097,5,2,5
1,5,4,3,4,2,0,5,5,4,3,3,4,1,3,1,1,2,1,2,sympy__sympy-22714,2026-03-06T15:21:57.430892,gpt-5.4-2026-03-05,openai,sympy__sympy-22714,5,2,5
2,4,3,2,2,2,1,4,3,5,2,2,4,1,2,3,4,2,1,2,django__django-11239,2026-03-06T15:18:49.742069,gpt-5.4-2026-03-05,openai,django__django-11239,5,2,5
1,4,4,3,3,3,1,5,5,5,4,3,5,1,3,4,3,4,3,4,django__django-15503,2026-03-06T15:19:50.568860,gpt-5.4-2026-03-05,openai,django__django-15503,4,2,5
2,4,4,3,4,3,0,5,5,4,2,1,4,1,3,2,2,2,2,3,sympy__sympy-24443,2026-03-06T15:21:58.778423,gpt-5.4-2026-03-05,openai,sympy__sympy-24443,5,2,5
3,5,4,2,2,2,1,5,5,5,2,2,4,1,2,2,2,1,1,2,django__django-15368,2026-03-06T15:19:48.277506,gpt-5.4-2026-03-05,openai,django__django-15368,5,2,5
1,5,4,3,4,4,0,5,5,5,4,3,5,0,3,2,2,2,1,2,matplotlib__matplotlib-23476,2026-03-06T15:20:27.337927,gpt-5.4-2026-03-05,openai,matplotlib__matplotlib-23476,4,2,4
3,5,4,2,4,2,1,5,5,4,2,1,5,1,1,2,2,2,1,2,django__django-15104,2026-03-06T15:19:47.725797,gpt-5.4-2026-03-05,openai,django__django-15104,5,1,5
1,4,4,4,4,3,0,4,4,4,4,3,4,1,4,2,2,2,3,4,django__django-15554,2026-03-06T15:19:49.726181,gpt-5.4-2026-03-05,openai,django__django-15554,3,3,4
3,4,4,3,3,3,1,5,3,4,2,2,4,1,3,4,2,3,2,3,django__django-13195,2026-03-06T15:19:10.572315,gpt-5.4-2026-03-05,openai,django__django-13195,5,2,5
2,5,4,3,3,2,1,4,5,4,2,1,4,1,3,4,2,2,1,2,sympy__sympy-15349,2026-03-06T15:21:32.239007,gpt-5.4-2026-03-05,openai,sympy__sympy-15349,5,2,5
1,5,4,4,4,3,0,5,5,4,4,3,5,1,3,3,2,2,1,3,scikit-learn__scikit-learn-25747,2026-03-06T15:21:10.224723,gpt-5.4-2026-03-05,openai,scikit-learn__scikit-learn-25747,5,2,5
3,4,4,3,3,3,1,4,2,4,2,2,4,1,2,2,2,2,2,3,django__django-16801,2026-03-06T15:20:08.595623,gpt-5.4-2026-03-05,openai,django__django-16801,5,2,5
1,5,4,3,3,3,1,5,5,4,2,2,5,1,2,2,2,2,1,2,django__django-14580,2026-03-06T15:19:45.279808,gpt-5.4-2026-03-05,openai,django__django-14580,4,2,5
2,4,2,2,2,2,1,4,4,4,2,1,4,1,3,4,2,3,2,2,sympy__sympy-20154,2026-03-06T15:21:56.026745,gpt-5.4-2026-03-05,openai,sympy__sympy-20154,5,2,5
1,4,4,3,4,3,1,5,5,5,4,3,5,1,3,4,4,3,3,4,pytest-dev__pytest-5787,2026-03-06T15:20:50.309067,gpt-5.4-2026-03-05,openai,pytest-dev__pytest-5787,4,2,4
2,4,3,2,2,2,1,4,3,5,2,2,4,1,3,4,3,5,2,3,django__django-13212,2026-03-06T15:19:10.856710,gpt-5.4-2026-03-05,openai,django__django-13212,5,2,4
2,4,3,3,3,3,1,3,2,4,2,3,3,1,4,2,2,2,2,2,pylint-dev__pylint-4661,2026-03-06T15:20:48.724766,gpt-5.4-2026-03-05,openai,pylint-dev__pylint-4661,5,2,5
2,4,4,3,3,3,1,4,5,4,2,2,5,1,2,2,2,1,2,2,sphinx-doc__sphinx-10435,2026-03-06T15:21:10.847836,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-10435,5,2,5
2,4,4,3,3,3,1,5,5,4,2,2,5,1,3,2,2,2,1,2,sympy__sympy-20590,2026-03-06T15:21:57.457032,gpt-5.4-2026-03-05,openai,sympy__sympy-20590,4,2,5
2,5,4,3,3,3,1,5,4,5,2,2,4,1,3,2,2,2,2,3,django__django-16315,2026-03-06T15:20:07.142571,gpt-5.4-2026-03-05,openai,django__django-16315,4,3,3
2,4,3,3,3,3,1,4,3,4,2,2,4,1,3,2,1,2,1,2,psf__requests-2317,2026-03-06T15:20:30.913594,gpt-5.4-2026-03-05,openai,psf__requests-2317,5,2,5
2,5,4,3,3,2,1,5,5,4,2,2,4,1,2,4,3,4,1,2,django__django-14017,2026-03-06T15:19:28.016277,gpt-5.4-2026-03-05,openai,django__django-14017,5,2,5
3,5,4,3,2,2,1,4,4,5,2,2,4,1,3,4,3,4,2,3,django__django-13551,2026-03-06T15:19:27.027331,gpt-5.4-2026-03-05,openai,django__django-13551,5,2,5
1,5,4,4,4,3,0,5,5,4,4,3,5,0,3,3,2,2,1,3,matplotlib__matplotlib-26208,2026-03-06T15:20:29.856867,gpt-5.4-2026-03-05,openai,matplotlib__matplotlib-26208,3,3,4
2,4,2,2,2,2,1,4,5,4,2,1,4,1,2,4,2,4,2,2,sympy__sympy-19346,2026-03-06T15:21:55.335362,gpt-5.4-2026-03-05,openai,sympy__sympy-19346,5,2,5
2,5,4,4,4,3,0,5,5,4,4,2,5,0,3,3,3,2,3,4,django__django-15128,2026-03-06T15:19:49.379007,gpt-5.4-2026-03-05,openai,django__django-15128,4,3,4
1,4,4,3,3,3,1,5,4,3,4,3,4,1,3,3,2,2,3,4,django__django-13121,2026-03-06T15:19:09.946159,gpt-5.4-2026-03-05,openai,django__django-13121,4,2,4
3,4,3,3,2,2,1,5,2,4,2,1,4,1,2,2,2,3,2,2,scikit-learn__scikit-learn-10844,2026-03-06T15:20:52.991433,gpt-5.4-2026-03-05,openai,scikit-learn__scikit-learn-10844,5,1,5
2,4,3,2,2,2,1,3,2,4,2,2,4,1,4,1,1,1,1,2,django__django-12419,2026-03-06T15:19:09.171188,gpt-5.4-2026-03-05,openai,django__django-12419,5,2,4
3,5,3,2,2,2,1,4,3,5,1,1,4,1,2,2,4,2,1,2,django__django-13658,2026-03-06T15:19:27.108353,gpt-5.4-2026-03-05,openai,django__django-13658,5,1,5
2,4,3,3,4,3,1,5,4,3,2,2,4,1,3,4,2,4,2,2,django__django-14349,2026-03-06T15:19:29.312779,gpt-5.4-2026-03-05,openai,django__django-14349,5,2,5
2,4,4,3,4,3,0,4,3,4,2,2,4,1,3,2,2,2,1,2,sphinx-doc__sphinx-7910,2026-03-06T15:21:12.158921,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-7910,5,2,5
2,4,4,3,2,3,1,4,2,4,2,1,4,1,3,4,4,4,2,2,django__django-11848,2026-03-06T15:19:07.057684,gpt-5.4-2026-03-05,openai,django__django-11848,5,2,5
2,4,4,4,4,4,0,5,5,4,4,3,5,0,3,3,3,2,2,4,django__django-13033,2026-03-06T15:19:10.753163,gpt-5.4-2026-03-05,openai,django__django-13033,4,2,4
2,5,3,2,2,2,1,4,5,5,2,2,4,1,2,2,1,2,2,2,sympy__sympy-15345,2026-03-06T15:21:31.615455,gpt-5.4-2026-03-05,openai,sympy__sympy-15345,4,2,5
2,4,4,4,4,3,0,4,5,5,3,2,4,0,3,3,3,3,2,3,django__django-16661,2026-03-06T15:20:08.585022,gpt-5.4-2026-03-05,openai,django__django-16661,4,2,5
1,4,4,3,3,3,1,5,4,4,4,3,4,1,3,2,1,2,1,2,django__django-12858,2026-03-06T15:19:09.224608,gpt-5.4-2026-03-05,openai,django__django-12858,4,2,5
2,5,4,3,3,2,1,5,5,4,2,2,5,1,2,2,2,2,2,3,scikit-learn__scikit-learn-25931,2026-03-06T15:21:09.940957,gpt-5.4-2026-03-05,openai,scikit-learn__scikit-learn-25931,5,2,4
2,4,4,4,4,4,0,4,2,4,4,3,3,0,4,3,2,3,2,3,mwaskom__seaborn-3069,2026-03-06T15:20:28.359508,gpt-5.4-2026-03-05,openai,mwaskom__seaborn-3069,4,3,3
2,4,4,3,3,4,1,4,5,5,2,2,4,1,2,2,2,1,2,2,scikit-learn__scikit-learn-11310,2026-03-06T15:20:53.205107,gpt-5.4-2026-03-05,openai,scikit-learn__scikit-learn-11310,5,1,5
1,4,4,3,4,3,0,4,5,4,4,2,4,1,3,3,2,3,1,2,sympy__sympy-18189,2026-03-06T15:21:58.456151,gpt-5.4-2026-03-05,openai,sympy__sympy-18189,4,2,5
1,4,4,4,4,3,0,5,5,3,4,3,4,1,3,2,2,2,1,4,django__django-12663,2026-03-06T15:19:09.171657,gpt-5.4-2026-03-05,openai,django__django-12663,4,3,4
2,5,4,3,2,3,1,5,5,4,2,2,5,1,3,3,2,2,1,2,scikit-learn__scikit-learn-10297,2026-03-06T15:20:52.277968,gpt-5.4-2026-03-05,openai,scikit-learn__scikit-learn-10297,5,2,5
2,5,3,2,2,2,1,5,5,4,2,2,5,1,2,1,2,1,3,3,pylint-dev__pylint-6386,2026-03-06T15:20:49.776475,gpt-5.4-2026-03-05,openai,pylint-dev__pylint-6386,4,2,5
3,5,4,2,3,2,1,4,3,4,2,2,4,1,3,3,2,2,1,2,django__django-14534,2026-03-06T15:19:32.079876,gpt-5.4-2026-03-05,openai,django__django-14534,5,2,5
2,5,3,2,2,2,1,4,3,5,2,1,4,1,2,2,1,2,1,1,django__django-14373,2026-03-06T15:19:30.149331,gpt-5.4-2026-03-05,openai,django__django-14373,5,2,5
1,5,4,3,4,2,1,5,5,5,3,2,5,1,3,4,2,4,1,2,django__django-15098,2026-03-06T15:19:47.494001,gpt-5.4-2026-03-05,openai,django__django-15098,3,2,5
1,5,4,3,3,2,1,4,5,5,3,2,5,1,3,2,1,2,1,2,sympy__sympy-23534,2026-03-06T15:21:58.642955,gpt-5.4-2026-03-05,openai,sympy__sympy-23534,5,2,5
3,4,4,3,3,3,1,4,2,4,3,2,4,1,3,3,3,3,3,4,django__django-14631,2026-03-06T15:19:46.328804,gpt-5.4-2026-03-05,openai,django__django-14631,4,3,4
2,4,4,3,3,3,1,4,3,4,3,2,3,1,3,4,3,4,2,3,django__django-11433,2026-03-06T15:18:50.956276,gpt-5.4-2026-03-05,openai,django__django-11433,4,2,5
2,5,3,2,2,2,1,4,5,4,2,2,4,1,3,2,2,2,1,2,psf__requests-1921,2026-03-06T15:20:29.992619,gpt-5.4-2026-03-05,openai,psf__requests-1921,4,2,5
2,4,3,2,2,2,1,5,3,4,2,2,4,1,1,2,2,2,1,2,django__django-16899,2026-03-06T15:20:08.595797,gpt-5.4-2026-03-05,openai,django__django-16899,5,1,5
2,4,3,3,3,2,1,4,5,4,2,2,4,1,3,1,1,2,2,3,psf__requests-2931,2026-03-06T15:20:32.475035,gpt-5.4-2026-03-05,openai,psf__requests-2931,5,3,4
2,5,3,3,2,2,1,5,5,4,2,2,4,1,2,3,3,2,3,3,astropy__astropy-14182,2026-03-06T15:15:11.741604,gpt-5.4-2026-03-05,openai,astropy__astropy-14182,5,2,5
2,4,4,4,4,3,0,4,5,4,4,3,4,1,4,2,2,2,1,3,django__django-12209,2026-03-06T15:19:08.293770,gpt-5.4-2026-03-05,openai,django__django-12209,4,2,5
1,5,4,3,4,3,1,4,5,5,3,2,4,1,4,1,1,1,2,3,django__django-11999,2026-03-06T15:19:07.916192,gpt-5.4-2026-03-05,openai,django__django-11999,4,2,5
2,5,3,2,2,2,1,4,5,4,2,2,4,1,2,3,2,3,1,2,sympy__sympy-15017,2026-03-06T15:21:31.519756,gpt-5.4-2026-03-05,openai,sympy__sympy-15017,5,2,4
2,5,4,3,4,3,0,5,5,4,3,2,5,1,3,4,4,4,2,3,sphinx-doc__sphinx-10614,2026-03-06T15:21:11.069151,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-10614,4,2,5
2,5,3,2,2,2,1,4,5,4,2,2,4,1,2,1,1,1,1,1,scikit-learn__scikit-learn-13439,2026-03-06T15:21:07.870652,gpt-5.4-2026-03-05,openai,scikit-learn__scikit-learn-13439,5,1,5
3,5,4,4,3,3,1,4,5,4,3,3,4,1,3,4,3,3,4,3,sympy__sympy-13878,2026-03-06T15:21:30.998102,gpt-5.4-2026-03-05,openai,sympy__sympy-13878,5,2,4
1,5,4,4,4,3,0,4,5,5,4,3,5,1,3,4,3,3,3,4,sphinx-doc__sphinx-11510,2026-03-06T15:21:12.318846,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-11510,4,2,4
2,4,3,2,2,2,1,4,3,5,2,2,4,1,2,4,2,4,2,2,django__django-14559,2026-03-06T15:19:45.328326,gpt-5.4-2026-03-05,openai,django__django-14559,5,2,5
1,5,4,4,4,4,0,5,5,5,4,3,4,0,3,2,2,2,1,3,django__django-13964,2026-03-06T15:19:29.132841,gpt-5.4-2026-03-05,openai,django__django-13964,4,3,4
2,4,3,2,2,2,1,4,3,4,2,2,4,1,2,4,2,3,1,2,django__django-14608,2026-03-06T15:19:46.610978,gpt-5.4-2026-03-05,openai,django__django-14608,4,2,5
2,4,3,2,2,2,1,3,2,4,2,3,4,1,5,2,4,2,1,1,django__django-13821,2026-03-06T15:19:27.981595,gpt-5.4-2026-03-05,openai,django__django-13821,5,2,5
1,4,4,3,3,3,1,4,5,4,3,2,4,1,3,3,3,3,2,3,django__django-14034,2026-03-06T15:19:29.116069,gpt-5.4-2026-03-05,openai,django__django-14034,4,2,5
2,4,4,3,4,3,0,4,5,3,3,2,4,1,3,4,3,4,4,4,pydata__xarray-6992,2026-03-06T15:20:48.586805,gpt-5.4-2026-03-05,openai,pydata__xarray-6992,5,2,5
2,5,3,2,2,2,1,4,3,5,2,2,4,1,2,2,2,1,1,2,django__django-16662,2026-03-06T15:20:08.238281,gpt-5.4-2026-03-05,openai,django__django-16662,5,1,5
2,5,3,2,2,2,1,4,3,4,2,2,4,1,2,2,2,2,1,2,django__django-13933,2026-03-06T15:19:28.106366,gpt-5.4-2026-03-05,openai,django__django-13933,5,2,5
1,4,4,3,3,3,1,5,5,4,2,2,5,1,3,3,3,2,2,3,sphinx-doc__sphinx-7440,2026-03-06T15:21:11.458460,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-7440,4,2,5
2,5,4,3,3,2,1,5,5,5,2,1,5,1,2,3,2,2,1,2,pytest-dev__pytest-7432,2026-03-06T15:20:52.106435,gpt-5.4-2026-03-05,openai,pytest-dev__pytest-7432,5,2,5
2,5,4,3,3,3,1,5,5,4,2,2,5,1,3,3,2,2,2,3,scikit-learn__scikit-learn-14629,2026-03-06T15:21:09.757862,gpt-5.4-2026-03-05,openai,scikit-learn__scikit-learn-14629,5,2,4
2,5,3,2,2,2,1,5,5,5,2,2,5,1,2,2,1,2,1,2,sympy__sympy-23262,2026-03-06T15:21:57.408569,gpt-5.4-2026-03-05,openai,sympy__sympy-23262,4,2,5
1,4,4,3,3,3,1,5,4,4,4,3,4,1,3,4,2,4,2,3,django__django-13925,2026-03-06T15:19:27.813885,gpt-5.4-2026-03-05,openai,django__django-13925,4,2,4
1,5,4,3,2,2,1,4,5,4,2,2,5,1,2,2,2,2,2,3,astropy__astropy-13453,2026-03-06T15:15:11.605389,gpt-5.4-2026-03-05,openai,astropy__astropy-13453,4,2,5
2,5,3,2,3,2,1,4,5,5,2,2,4,1,2,4,2,3,1,2,sympy__sympy-21930,2026-03-06T15:21:59.371253,gpt-5.4-2026-03-05,openai,sympy__sympy-21930,4,2,4
2,5,4,3,3,2,1,4,5,5,3,2,4,1,3,3,2,2,2,2,sympy__sympy-24661,2026-03-06T15:21:58.759876,gpt-5.4-2026-03-05,openai,sympy__sympy-24661,4,2,5
2,4,4,3,2,3,1,3,3,4,3,2,3,1,3,2,2,1,3,3,sphinx-doc__sphinx-8035,2026-03-06T15:21:12.194021,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-8035,4,2,4
2,4,4,3,3,3,1,4,2,5,3,2,3,1,3,2,3,2,2,3,django__django-14999,2026-03-06T15:19:47.456843,gpt-5.4-2026-03-05,openai,django__django-14999,4,3,4
3,5,4,3,3,3,1,5,5,5,2,2,5,1,3,4,3,2,1,2,scikit-learn__scikit-learn-11578,2026-03-06T15:20:53.507292,gpt-5.4-2026-03-05,openai,scikit-learn__scikit-learn-11578,5,2,5
3,5,4,3,3,3,1,4,3,5,2,2,4,1,3,3,4,2,2,2,django__django-13837,2026-03-06T15:19:27.981800,gpt-5.4-2026-03-05,openai,django__django-13837,5,2,5
1,5,4,4,4,4,0,4,5,4,4,3,5,1,3,2,2,1,2,3,scikit-learn__scikit-learn-9288,2026-03-06T15:21:10.936299,gpt-5.4-2026-03-05,openai,scikit-learn__scikit-learn-9288,4,2,5
1,5,4,3,3,2,0,4,5,5,4,3,5,1,3,4,3,4,3,4,pydata__xarray-7229,2026-03-06T15:20:48.723007,gpt-5.4-2026-03-05,openai,pydata__xarray-7229,4,3,4
1,5,4,3,3,2,0,5,5,5,3,2,5,1,3,3,2,2,2,3,scikit-learn__scikit-learn-13142,2026-03-06T15:20:57.827248,gpt-5.4-2026-03-05,openai,scikit-learn__scikit-learn-13142,4,2,5
1,5,4,3,3,2,1,5,5,4,3,2,5,1,2,2,2,2,2,3,scikit-learn__scikit-learn-25973,2026-03-06T15:21:09.983716,gpt-5.4-2026-03-05,openai,scikit-learn__scikit-learn-25973,4,2,5
1,5,4,3,3,3,1,4,4,4,4,3,5,1,3,2,2,2,1,2,sphinx-doc__sphinx-9673,2026-03-06T15:21:28.899143,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-9673,4,2,5
2,4,4,3,3,3,1,4,3,4,3,2,3,1,3,2,2,2,2,3,django__django-15561,2026-03-06T15:19:49.474498,gpt-5.4-2026-03-05,openai,django__django-15561,4,2,5
1,4,4,3,3,3,1,3,4,4,3,2,3,1,3,2,4,1,1,2,sphinx-doc__sphinx-9258,2026-03-06T15:21:28.071050,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-9258,4,2,5
2,4,3,3,2,3,1,4,3,4,2,2,4,1,3,3,3,2,3,3,scikit-learn__scikit-learn-12682,2026-03-06T15:20:53.507800,gpt-5.4-2026-03-05,openai,scikit-learn__scikit-learn-12682,5,2,4
2,5,3,2,3,2,1,4,5,5,2,2,4,1,2,2,1,2,1,2,django__django-11133,2026-03-06T15:18:49.195217,gpt-5.4-2026-03-05,openai,django__django-11133,5,2,5
3,5,2,2,2,2,1,4,3,5,1,1,4,1,2,3,2,3,1,1,django__django-11099,2026-03-06T15:18:49.719107,gpt-5.4-2026-03-05,openai,django__django-11099,5,2,5
2,4,4,3,3,3,1,4,4,4,3,2,4,1,3,4,4,4,3,4,pylint-dev__pylint-4551,2026-03-06T15:20:49.440477,gpt-5.4-2026-03-05,openai,pylint-dev__pylint-4551,3,2,3
1,5,3,3,2,2,1,4,4,4,2,2,4,1,2,3,2,2,1,2,sphinx-doc__sphinx-8721,2026-03-06T15:21:27.188106,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-8721,4,2,5
2,5,4,3,4,3,0,5,5,5,2,2,4,1,2,2,2,2,2,3,sympy__sympy-16792,2026-03-06T15:21:36.759288,gpt-5.4-2026-03-05,openai,sympy__sympy-16792,4,2,4
2,5,3,2,3,2,1,4,5,5,2,2,4,1,2,2,2,2,1,2,sympy__sympy-18763,2026-03-06T15:21:56.564946,gpt-5.4-2026-03-05,openai,sympy__sympy-18763,5,1,5
2,4,4,4,4,4,0,5,5,5,3,2,5,1,3,2,2,2,1,3,django__django-12965,2026-03-06T15:19:09.408438,gpt-5.4-2026-03-05,openai,django__django-12965,4,3,4
2,4,4,3,3,3,1,4,3,4,3,2,3,1,2,2,2,2,2,3,django__django-15127,2026-03-06T15:19:48.333750,gpt-5.4-2026-03-05,openai,django__django-15127,4,2,4
3,5,3,2,2,2,1,3,2,4,2,2,3,1,2,2,2,1,1,2,matplotlib__matplotlib-26342,2026-03-06T15:20:28.864596,gpt-5.4-2026-03-05,openai,matplotlib__matplotlib-26342,5,2,5
1,4,4,4,4,3,0,4,5,5,3,2,4,1,3,3,2,3,2,3,sympy__sympy-23413,2026-03-06T15:21:57.401880,gpt-5.4-2026-03-05,openai,sympy__sympy-23413,4,2,5
2,5,4,3,4,4,1,4,4,5,3,3,4,1,3,4,3,3,3,4,django__django-15629,2026-03-06T15:19:49.872281,gpt-5.4-2026-03-05,openai,django__django-15629,4,2,4
1,5,4,3,3,2,1,4,5,4,3,2,4,1,3,3,2,2,1,2,pydata__xarray-7233,2026-03-06T15:20:51.014349,gpt-5.4-2026-03-05,openai,pydata__xarray-7233,5,2,5
3,5,4,3,3,3,1,5,5,4,2,2,5,1,3,3,2,2,2,2,astropy__astropy-14508,2026-03-06T15:18:48.659160,gpt-5.4-2026-03-05,openai,astropy__astropy-14508,5,2,5
2,5,4,3,3,3,1,4,5,5,2,2,4,1,3,3,2,2,2,3,django__django-15916,2026-03-06T15:19:54.233905,gpt-5.4-2026-03-05,openai,django__django-15916,4,2,4
2,4,4,3,3,3,1,4,2,4,3,3,4,1,3,4,3,3,3,4,matplotlib__matplotlib-25775,2026-03-06T15:20:28.537291,gpt-5.4-2026-03-05,openai,matplotlib__matplotlib-25775,4,3,3
2,4,4,3,3,3,1,4,3,4,3,2,4,1,2,2,4,2,2,2,django__django-14311,2026-03-06T15:19:29.236710,gpt-5.4-2026-03-05,openai,django__django-14311,4,2,5
1,5,4,3,3,2,1,4,5,5,3,2,5,1,3,1,1,1,2,2,sphinx-doc__sphinx-9281,2026-03-06T15:21:27.908055,gpt-5.4-2026-03-05,openai,sphinx-doc__sphinx-9281,4,2,5
2,5,4,3,3,2,1,5,5,4,2,2,4,1,2,1,2,1,1,2,pydata__xarray-3677,2026-03-06T15:20:30.037626,gpt-5.4-2026-03-05,openai,pydata__xarray-3677,5,2,4
1,4,4,3,4,3,0,5,5,5,4,2,4,1,3,2,2,2,1,2,sympy__sympy-19040,2026-03-06T15:21:57.285621,gpt-5.4-2026-03-05,openai,sympy__sympy-19040,4,2,4
1,4,4,3,3,3,1,4,2,4,4,3,3,1,3,3,3,3,3,4,django__django-13315,2026-03-06T15:19:12.279166,gpt-5.4-2026-03-05,openai,django__django-13315,4,2,5
