instance_id,atypicality,codebase_scale,codebase_scope,debugging_complexity,domain_knowledge_required,error_specificity,fix_localization,implementation_language_complexity,logical_reasoning_required,side_effect_risk,similar_issue_likelihood,solution_complexity,solution_hint,test_edge_case_coverage,verification_difficulty
sphinx-doc__sphinx-7590,4,3,3,4,5,4,4,2,4,2,0,4,1,4,3
matplotlib__matplotlib-14623,3,4,3,4,4,4,4,3,3,2,1,2,1,2,2
django__django-16527,1,4,1,1,3,4,4,1,1,2,1,1,3,3,2
django__django-16032,4,4,3,5,5,5,4,2,4,3,0,3,3,2,2
pydata__xarray-2905,2,3,1,2,3,4,4,1,2,3,1,1,3,2,2
django__django-12708,3,4,2,2,4,4,4,2,3,2,1,1,1,2,3
django__django-15022,3,4,1,3,4,3,4,2,3,3,1,2,2,3,3
sympy__sympy-17655,1,3,1,1,2,5,4,1,1,1,1,1,3,1,1
sphinx-doc__sphinx-9367,1,3,1,1,2,4,5,1,2,1,1,1,2,2,1
pylint-dev__pylint-7080,2,4,1,2,3,4,4,2,2,2,1,1,3,2,2
astropy__astropy-8707,2,4,2,3,3,3,4,2,3,2,1,3,2,2,2
django__django-11734,4,4,3,5,5,4,4,2,4,3,0,4,1,2,3
pydata__xarray-4687,2,3,1,2,3,4,4,1,2,2,1,2,2,2,2
astropy__astropy-7671,2,4,1,2,2,5,4,2,2,2,1,2,2,2,2
django__django-11276,1,4,3,2,2,4,4,1,2,4,1,2,3,3,3
pallets__flask-5014,1,2,1,1,2,3,5,1,1,2,1,1,2,2,1
django__django-11333,2,4,2,2,3,4,5,1,2,2,1,2,3,2,2
django__django-11299,4,4,2,4,5,5,4,2,4,2,0,1,1,3,3
django__django-16819,2,5,2,3,4,2,4,1,2,2,1,2,1,1,2
pydata__xarray-4629,1,2,1,1,2,5,5,1,1,1,1,1,3,1,1
django__django-11149,2,4,2,3,4,3,4,2,3,3,1,3,1,3,2
django__django-14170,4,5,2,3,4,4,4,2,4,2,1,3,2,3,3
pytest-dev__pytest-7521,3,3,1,2,4,5,4,2,3,2,1,1,2,3,2
django__django-13089,1,5,1,2,3,5,4,1,2,1,1,1,2,2,4
django__django-13820,4,4,1,2,4,4,5,1,2,2,1,2,3,2,3
django__django-13344,3,4,3,3,4,4,4,2,3,3,1,3,3,3,3
scikit-learn__scikit-learn-10908,1,4,1,2,3,5,4,3,2,2,1,1,2,3,2
django__django-11400,2,4,3,2,4,4,4,2,3,2,1,3,2,3,2
django__django-13128,4,4,2,4,5,5,4,2,4,3,1,4,1,3,3
django__django-15382,3,5,1,3,4,4,4,2,3,2,1,2,3,2,2
sympy__sympy-12489,2,4,2,2,3,4,4,1,2,2,1,3,3,3,2
astropy__astropy-8872,2,4,1,2,4,4,4,3,3,2,1,2,2,2,2
astropy__astropy-14365,1,4,1,2,2,5,5,2,1,2,1,1,3,2,1
django__django-11292,2,4,2,2,3,3,4,1,2,3,1,2,2,2,2
sympy__sympy-18211,1,4,2,2,3,4,4,2,2,2,1,2,3,2,1
django__django-15814,2,4,1,2,4,5,4,2,2,2,1,1,3,1,2
django__django-12406,3,4,2,3,4,4,4,1,3,3,1,3,1,3,2
astropy__astropy-13398,4,4,4,4,5,3,4,2,4,4,0,4,3,3,4
sympy__sympy-23950,2,4,1,2,3,5,4,1,2,3,1,1,3,2,1
sphinx-doc__sphinx-9229,3,3,2,4,4,3,4,2,4,2,0,3,0,1,2
psf__requests-5414,1,2,1,2,3,5,4,1,2,2,1,1,2,2,1
psf__requests-1142,2,2,1,2,3,4,5,1,2,3,1,2,2,2,2
sphinx-doc__sphinx-9602,3,4,2,4,4,4,4,2,4,2,0,3,1,2,2
matplotlib__matplotlib-25122,2,4,1,2,4,4,4,2,3,3,1,1,3,2,3
django__django-14053,3,4,2,3,4,4,4,2,4,2,1,3,1,2,2
django__django-12304,2,4,1,2,3,4,4,1,1,2,1,1,3,1,1
django__django-12754,3,4,2,4,4,5,4,2,3,2,1,3,3,1,2
sphinx-doc__sphinx-7889,2,3,1,2,3,4,4,2,2,1,1,1,2,2,2
django__django-11206,2,4,1,2,3,5,4,1,3,2,1,2,2,2,2
sphinx-doc__sphinx-8551,4,4,3,4,5,4,4,2,4,2,0,2,0,2,3
django__django-13112,2,5,2,3,4,5,4,2,2,2,1,2,3,2,2
sympy__sympy-24539,1,4,1,1,3,4,5,1,2,2,1,1,2,3,1
django__django-16255,1,5,1,1,2,5,4,2,1,1,1,1,3,2,2
django__django-14792,3,4,2,2,4,5,4,2,3,3,1,1,2,3,3
matplotlib__matplotlib-24637,2,4,1,2,3,4,4,3,2,2,1,1,3,1,2
pydata__xarray-4966,3,2,1,2,4,5,4,1,2,2,1,2,3,3,2
pydata__xarray-6721,2,3,2,2,4,5,4,1,3,1,1,1,2,1,2
django__django-13807,2,4,1,1,3,5,4,2,2,1,1,2,3,2,2
matplotlib__matplotlib-26466,1,4,2,2,3,4,4,3,2,2,1,2,3,2,2
matplotlib__matplotlib-20859,2,4,1,1,3,5,5,1,2,2,1,1,3,1,1
sphinx-doc__sphinx-8269,2,3,1,2,3,5,4,2,2,2,1,1,2,2,3
astropy__astropy-13033,1,4,1,2,3,5,4,2,2,1,1,2,2,2,1
django__django-16263,4,5,4,5,5,3,4,2,5,3,0,5,1,3,4
django__django-11119,1,5,1,2,3,4,5,1,2,2,1,1,2,2,2
pydata__xarray-7393,2,2,1,3,4,4,4,1,2,2,1,2,3,2,1
mwaskom__seaborn-3187,2,2,2,2,3,4,4,2,2,2,1,2,2,2,2
pytest-dev__pytest-5262,2,2,1,1,3,5,4,1,1,1,1,1,3,1,2
pytest-dev__pytest-7571,2,2,1,2,3,4,4,2,2,1,1,2,1,2,2
astropy__astropy-14369,4,3,2,4,5,4,4,2,4,3,0,3,1,3,2
sphinx-doc__sphinx-8475,1,3,1,2,2,4,5,2,1,2,1,1,3,2,2
django__django-15731,1,4,1,1,2,5,5,1,1,2,1,1,3,2,1
pytest-dev__pytest-5809,1,2,1,1,1,5,4,1,1,1,1,1,3,1,1
django__django-12774,2,4,1,2,4,5,4,1,3,2,1,2,1,4,2
scikit-learn__scikit-learn-13328,1,3,1,2,3,5,4,2,2,2,1,1,2,1,1
sympy__sympy-19637,2,4,1,2,3,5,5,1,3,1,1,2,1,2,2
django__django-14376,1,4,2,1,2,4,4,2,2,2,1,2,3,3,2
scikit-learn__scikit-learn-14496,1,3,2,1,2,5,4,2,2,1,1,1,3,2,2
django__django-12308,2,4,2,2,3,4,4,2,2,2,1,2,3,4,2
sympy__sympy-24562,2,4,1,3,3,4,5,1,3,2,1,3,3,3,2
astropy__astropy-12907,3,3,2,4,4,4,4,2,4,2,1,1,0,3,2
pydata__xarray-4356,2,2,1,2,3,5,4,2,2,2,1,2,3,3,2
django__django-11820,2,4,1,3,4,5,4,2,3,1,1,2,1,3,2
django__django-15863,2,4,1,2,3,5,4,1,2,2,1,1,2,2,2
django__django-14771,2,4,1,2,3,3,4,1,2,2,1,2,2,2,2
django__django-11066,2,4,1,2,3,5,5,1,2,1,1,1,3,2,3
pydata__xarray-3305,1,2,2,2,3,4,4,1,2,2,1,2,3,2,1
matplotlib__matplotlib-23412,2,4,1,2,3,4,5,3,2,3,1,1,3,2,3
scikit-learn__scikit-learn-14087,2,3,1,3,4,5,4,2,3,1,1,2,0,3,2
django__django-15930,3,4,2,3,4,5,4,2,3,2,1,2,1,2,2
django__django-12125,2,4,1,2,3,4,4,1,2,2,1,1,3,2,2
scikit-learn__scikit-learn-15100,2,3,1,2,3,5,4,2,2,1,1,2,3,4,2
sphinx-doc__sphinx-8265,3,3,2,4,4,4,4,1,3,3,1,3,1,2,2
django__django-11532,2,4,3,2,3,5,4,1,2,2,1,3,3,2,2
django__django-11477,2,4,2,3,4,3,4,2,3,3,1,1,2,3,2
django__django-9296,1,4,1,1,2,3,5,1,1,1,1,1,3,1,1
sphinx-doc__sphinx-8459,3,3,2,3,4,4,4,2,3,2,1,1,0,1,2
sympy__sympy-14711,1,4,1,2,2,5,4,1,2,1,1,1,2,1,1
sympy__sympy-18698,3,3,2,3,4,4,4,1,3,3,1,3,2,2,2
django__django-16560,2,4,3,2,3,3,4,1,2,2,1,3,2,3,2
scikit-learn__scikit-learn-26323,2,3,1,2,3,4,4,2,2,1,1,1,1,3,2
django__django-11163,1,4,1,1,2,5,5,1,1,2,1,1,3,3,1
scikit-learn__scikit-learn-14710,2,3,1,2,3,5,4,3,2,1,1,2,3,2,2
django__django-13670,1,4,1,1,2,5,5,1,2,2,1,1,2,3,2
django__django-13109,2,4,1,2,3,4,4,2,2,3,1,1,3,3,2
astropy__astropy-14539,2,4,1,2,3,5,4,2,2,1,1,1,3,3,2
sphinx-doc__sphinx-9658,4,3,2,4,4,4,4,2,4,2,0,2,1,2,3
django__django-15161,2,4,2,2,3,3,4,1,2,2,1,1,2,2,2
sympy__sympy-13647,2,3,1,2,3,4,4,1,2,2,1,1,3,2,1
django__django-11964,2,4,1,2,3,5,4,2,2,3,1,1,1,2,2
django__django-11749,3,4,1,2,3,5,4,2,3,1,1,2,2,3,2
pydata__xarray-3095,3,2,2,3,4,5,4,1,3,2,1,3,1,2,2
sphinx-doc__sphinx-8120,3,3,2,4,4,3,4,2,3,3,1,2,2,2,3
scikit-learn__scikit-learn-14053,2,3,1,2,3,5,5,2,2,1,1,1,3,2,2
scikit-learn__scikit-learn-13779,1,3,1,2,3,5,4,2,2,1,1,1,1,3,1
psf__requests-1724,2,2,1,2,3,5,4,2,2,1,1,1,2,1,2
django__django-12325,3,4,2,4,4,4,4,2,4,2,0,2,2,3,3
scikit-learn__scikit-learn-14141,1,3,1,1,2,3,4,1,1,1,1,1,2,1,1
matplotlib__matplotlib-26113,1,5,1,2,3,4,4,3,2,3,1,1,3,2,2
django__django-14434,3,4,2,3,4,4,4,2,3,2,1,2,2,2,2
sphinx-doc__sphinx-9320,1,3,1,2,2,4,5,1,2,1,1,1,1,2,2
pylint-dev__pylint-4604,3,3,2,3,4,5,4,2,3,2,1,2,1,3,2
django__django-12276,2,5,1,1,3,4,4,1,2,2,1,1,3,3,2
django__django-10973,1,4,1,2,3,3,4,1,2,2,1,2,3,3,2
sympy__sympy-16886,1,3,1,1,1,5,5,1,1,1,1,1,3,2,1
matplotlib__matplotlib-22865,2,4,1,3,4,4,4,3,3,2,1,2,1,4,2
sphinx-doc__sphinx-8638,4,3,2,4,5,3,4,2,4,2,0,1,0,1,3
pytest-dev__pytest-10051,2,2,1,2,3,5,4,1,2,2,1,2,3,3,2
scikit-learn__scikit-learn-13124,2,4,1,2,3,4,4,2,3,3,1,1,2,2,2
django__django-16429,1,4,1,2,2,5,5,1,1,1,1,1,3,4,2
django__django-11138,3,4,3,3,4,4,4,2,3,3,1,3,2,3,3
django__django-13410,1,4,1,1,2,5,5,1,1,2,1,2,3,3,2
django__django-16612,1,4,1,1,3,5,4,1,2,1,1,1,3,3,2
sympy__sympy-20428,3,4,2,3,4,5,4,2,4,3,1,1,1,2,3
django__django-14855,2,4,1,2,3,4,5,1,2,2,1,1,3,2,2
django__django-15252,3,4,3,3,4,4,4,1,4,3,1,2,1,3,3
django__django-11211,4,4,2,4,5,3,4,1,4,3,1,2,0,2,3
astropy__astropy-14309,1,3,1,2,3,5,4,2,2,1,1,1,2,2,1
django__django-13810,3,5,1,3,4,4,4,2,3,1,1,2,2,2,3
sympy__sympy-14531,2,4,4,2,3,4,4,1,2,2,1,2,1,2,2
django__django-13406,3,4,1,2,4,5,4,1,3,2,1,1,3,3,2
sympy__sympy-14248,2,4,3,3,4,4,4,1,3,2,1,3,1,3,2
django__django-14140,2,4,1,2,3,5,4,2,2,3,1,2,3,3,2
sympy__sympy-13974,2,4,1,3,3,4,4,1,3,2,0,4,3,3,2
sphinx-doc__sphinx-9711,1,3,1,2,2,5,4,2,2,2,1,2,2,3,2
sympy__sympy-19495,3,3,2,3,4,4,4,1,4,3,1,2,1,2,2
django__django-11179,2,4,1,2,3,4,5,2,2,2,1,1,3,2,2
sphinx-doc__sphinx-10466,1,3,1,2,3,4,4,2,2,2,1,2,3,3,2
django__django-16595,2,4,1,2,3,4,4,1,2,1,1,1,3,1,2
sympy__sympy-13372,2,4,1,2,3,5,4,2,2,2,1,1,3,1,2
pydata__xarray-6599,2,2,1,2,3,5,4,1,2,2,1,2,2,2,2
django__django-15268,3,4,2,3,4,3,4,2,4,2,1,3,1,2,3
sphinx-doc__sphinx-8593,3,4,3,4,4,3,4,1,4,3,0,4,0,3,2
sympy__sympy-20916,1,3,1,2,2,4,4,1,2,3,1,1,3,4,2
sympy__sympy-21612,3,4,2,4,4,4,4,2,3,2,1,1,3,2,2
django__django-11790,2,4,1,2,3,4,4,1,2,1,1,1,1,2,2
pytest-dev__pytest-7205,2,2,1,1,3,5,4,1,2,3,1,1,3,2,2
matplotlib__matplotlib-24026,2,4,1,2,3,5,4,2,3,3,1,2,1,2,2
sympy__sympy-15875,2,3,1,3,4,5,4,1,3,2,1,1,2,2,2
django__django-16901,4,4,2,3,4,4,4,2,4,2,1,2,1,2,2
django__django-11728,2,4,1,2,3,4,4,2,3,2,1,3,3,3,2
