instance_id,codebase_scope,test_comprehensiveness,environment_setup_complexity,debugging_complexity,atypicality,side_effect_risk,similar_issue_likelihood,problem_clarity,fix_localization,information_completeness,solution_hint,implementation_language_complexity,solution_complexity,standard_pattern_available,error_specificity
scikit-learn__scikit-learn-11310,1,2,3,1,1,1,1,5,4,5,3,2,1,1,3
scikit-learn__scikit-learn-11578,1,4,2,1,2,2,1,5,5,5,3,2,1,1,5
scikit-learn__scikit-learn-12585,1,2,2,1,2,2,1,5,5,5,3,2,1,1,5
scikit-learn__scikit-learn-12682,3,3,3,2,2,2,1,4,4,4,3,3,3,1,4
scikit-learn__scikit-learn-12973,1,4,2,1,1,2,1,5,4,5,3,2,2,1,4
scikit-learn__scikit-learn-13124,1,2,2,2,2,3,1,5,4,5,2,2,1,1,4
scikit-learn__scikit-learn-13135,1,3,2,2,1,1,1,5,4,5,2,2,1,1,5
scikit-learn__scikit-learn-13142,1,3,3,2,2,1,1,5,5,5,3,3,1,1,5
scikit-learn__scikit-learn-13328,1,2,2,1,1,2,1,5,4,5,2,2,1,1,5
scikit-learn__scikit-learn-13439,1,1,2,1,1,2,1,5,5,5,3,2,1,1,4
scikit-learn__scikit-learn-13496,1,2,3,1,1,2,1,5,4,5,3,2,1,1,4
scikit-learn__scikit-learn-13779,1,4,3,1,1,1,1,5,4,5,2,2,1,1,5
scikit-learn__scikit-learn-14053,1,3,2,2,2,1,1,5,5,5,3,2,1,1,4
scikit-learn__scikit-learn-14087,1,4,2,3,3,2,1,5,4,5,1,2,2,0,5
scikit-learn__scikit-learn-14141,1,2,2,1,1,1,1,5,4,4,3,1,1,1,4
scikit-learn__scikit-learn-14496,1,2,2,1,1,1,1,5,4,5,3,2,1,1,5
scikit-learn__scikit-learn-14629,1,3,2,1,2,2,1,5,4,5,3,2,2,1,5
scikit-learn__scikit-learn-14710,1,3,3,1,2,2,1,5,4,5,3,3,2,1,5
scikit-learn__scikit-learn-14894,1,2,3,1,1,1,1,5,4,5,2,3,2,1,5
scikit-learn__scikit-learn-14983,1,3,2,2,2,2,1,5,4,5,3,2,2,1,5
scikit-learn__scikit-learn-15100,1,4,2,1,2,2,1,5,4,5,3,2,2,1,5
scikit-learn__scikit-learn-25102,3,3,3,3,3,3,0,4,4,5,2,3,3,0,4
scikit-learn__scikit-learn-25232,1,2,3,1,1,2,1,5,4,5,3,2,1,1,4
scikit-learn__scikit-learn-25747,1,3,2,2,2,3,1,5,4,5,3,2,1,1,5
scikit-learn__scikit-learn-25931,1,2,3,1,2,2,1,5,4,5,3,2,2,1,5
scikit-learn__scikit-learn-25973,1,2,2,2,2,1,1,5,4,5,3,2,2,1,4
scikit-learn__scikit-learn-26194,1,3,3,1,2,3,1,4,4,5,2,2,1,1,5
scikit-learn__scikit-learn-26323,1,3,2,2,2,2,1,5,4,5,2,2,1,1,4
scikit-learn__scikit-learn-9288,1,2,3,2,2,3,1,5,4,5,3,4,2,1,4
sphinx-doc__sphinx-10323,1,2,2,2,3,3,1,4,4,5,2,2,1,0,4
sphinx-doc__sphinx-10435,1,3,2,1,3,2,1,5,4,5,3,2,2,0,5
sphinx-doc__sphinx-10449,1,2,2,3,3,3,1,5,4,5,0,2,3,0,4
sphinx-doc__sphinx-10466,1,3,2,1,1,2,1,5,4,5,3,2,1,1,4
sphinx-doc__sphinx-10614,1,4,2,3,3,3,1,4,4,5,2,2,3,0,4
sphinx-doc__sphinx-10673,3,2,2,4,4,3,0,4,4,4,1,2,4,0,4
sphinx-doc__sphinx-11445,1,4,2,3,3,3,1,4,4,5,2,2,2,0,4
sphinx-doc__sphinx-11510,2,3,2,4,4,3,0,5,4,5,3,2,4,0,4
sphinx-doc__sphinx-7440,1,2,2,2,2,3,1,4,4,4,1,2,1,1,4
sphinx-doc__sphinx-7454,1,3,2,2,3,2,1,5,4,5,1,2,1,0,4
sphinx-doc__sphinx-7462,2,3,2,1,1,1,1,5,5,5,3,1,2,1,5
sphinx-doc__sphinx-7590,3,4,2,4,4,3,0,4,4,4,1,2,4,0,4
sphinx-doc__sphinx-7748,2,3,2,3,4,3,0,3,4,3,1,2,4,0,3
sphinx-doc__sphinx-7757,1,3,2,3,3,2,1,4,4,4,1,2,3,0,4
sphinx-doc__sphinx-7889,1,3,2,2,2,1,1,4,4,4,1,2,1,1,4
sphinx-doc__sphinx-7910,1,3,2,1,2,2,1,5,4,5,3,2,1,1,5
sphinx-doc__sphinx-7985,1,3,2,2,3,3,1,4,4,4,1,2,2,0,4
sphinx-doc__sphinx-8035,2,2,2,3,3,3,1,4,4,3,2,2,3,1,3
sphinx-doc__sphinx-8056,1,3,2,3,3,3,1,4,4,5,1,2,3,0,4
sphinx-doc__sphinx-8120,2,3,2,2,3,3,1,5,4,5,2,2,2,0,4
sphinx-doc__sphinx-8265,1,2,2,3,3,3,1,4,4,4,1,1,3,0,4
sphinx-doc__sphinx-8269,1,2,2,2,2,2,1,5,4,5,2,2,1,1,5
sphinx-doc__sphinx-8459,1,2,2,3,3,2,1,5,4,5,1,2,1,0,4
sphinx-doc__sphinx-8475,1,3,2,1,1,1,1,5,5,5,3,2,1,1,4
sphinx-doc__sphinx-8548,2,3,2,4,3,3,1,4,4,4,2,2,3,0,3
sphinx-doc__sphinx-8551,2,3,2,4,4,3,1,4,4,5,1,2,2,0,4
sphinx-doc__sphinx-8593,2,4,2,3,3,3,1,4,4,4,1,1,3,0,4
sphinx-doc__sphinx-8595,1,2,2,2,1,3,1,5,5,5,2,1,1,1,4
sphinx-doc__sphinx-8621,1,3,2,2,2,2,1,5,4,5,2,1,1,1,5
sphinx-doc__sphinx-8638,1,2,2,3,3,3,1,4,4,4,1,2,1,0,3
sphinx-doc__sphinx-8721,1,3,2,2,2,2,1,4,4,4,1,2,1,1,3
sphinx-doc__sphinx-9229,1,2,2,4,4,3,1,4,4,5,0,2,3,0,4
sphinx-doc__sphinx-9230,1,3,2,2,2,3,1,5,4,4,1,2,1,1,4
sphinx-doc__sphinx-9258,1,2,2,2,2,2,1,4,4,4,2,2,1,1,3
sphinx-doc__sphinx-9281,1,2,2,2,1,2,1,5,4,5,3,1,2,1,4
sphinx-doc__sphinx-9320,1,2,2,1,1,1,1,5,5,5,1,1,1,1,4
sphinx-doc__sphinx-9367,1,3,2,1,1,1,1,5,5,5,3,1,1,1,5
sphinx-doc__sphinx-9461,3,3,2,4,4,3,0,4,4,4,1,1,4,0,4
sphinx-doc__sphinx-9591,1,3,2,3,3,2,1,4,4,5,1,2,2,0,4
sphinx-doc__sphinx-9602,1,3,2,3,4,3,1,4,4,5,1,2,3,0,4
sphinx-doc__sphinx-9658,1,3,2,3,3,3,1,4,4,4,1,2,2,0,4
sphinx-doc__sphinx-9673,1,3,2,2,2,1,1,5,4,5,3,1,1,1,4
sphinx-doc__sphinx-9698,1,2,2,1,1,1,1,5,5,5,3,2,1,1,5
sphinx-doc__sphinx-9711,1,3,2,1,1,3,1,5,4,5,2,2,2,1,5
sympy__sympy-11618,1,1,2,2,2,3,1,5,4,5,2,1,3,1,5
sympy__sympy-12096,1,2,2,1,1,2,1,5,5,5,3,1,1,1,5
sympy__sympy-12419,1,3,2,2,2,3,1,5,4,5,3,1,2,1,5
sympy__sympy-12481,1,2,2,1,2,3,1,5,4,5,2,1,1,1,4
sympy__sympy-12489,1,4,2,1,2,3,1,5,4,5,3,1,3,1,4
sympy__sympy-13031,1,3,2,3,3,3,1,4,4,5,2,1,3,1,5
sympy__sympy-13091,4,4,2,2,2,4,1,5,4,5,3,1,3,1,4
sympy__sympy-13372,1,2,2,1,1,2,1,5,4,5,3,2,1,1,5
sympy__sympy-13480,1,3,2,1,1,1,1,5,5,5,3,1,1,1,5
sympy__sympy-13551,1,2,2,2,3,3,1,5,4,5,3,2,2,0,5
sympy__sympy-13615,1,2,2,2,3,3,1,4,4,5,1,1,3,0,4
sympy__sympy-13647,1,3,2,1,1,1,1,5,4,5,3,1,1,1,5
sympy__sympy-13757,1,3,2,3,3,3,1,5,4,5,0,2,1,1,5
sympy__sympy-13798,1,3,2,2,2,2,1,4,4,5,2,1,3,1,4
sympy__sympy-13852,1,4,2,2,3,3,1,4,4,5,3,1,3,0,4
sympy__sympy-13877,2,2,2,3,3,3,1,4,4,5,2,2,3,0,5
sympy__sympy-13878,1,4,2,1,2,2,1,5,4,5,3,2,3,1,4
sympy__sympy-13974,1,4,2,2,3,3,1,5,4,5,3,1,4,0,4
sympy__sympy-14248,3,4,2,3,3,3,1,5,4,5,1,1,3,0,5
sympy__sympy-14531,1,3,2,2,1,2,1,5,4,5,2,1,2,1,4
sympy__sympy-14711,1,2,2,1,1,2,1,5,4,5,3,1,1,1,5
sympy__sympy-14976,1,3,2,2,2,2,1,4,4,5,2,2,1,1,4
sympy__sympy-15017,1,3,2,1,1,3,1,5,4,5,1,1,1,1,5
sympy__sympy-15345,1,2,2,2,2,2,1,5,4,5,1,1,2,1,5
sympy__sympy-15349,1,4,2,1,1,2,1,5,4,5,3,1,1,1,5
sympy__sympy-15599,1,3,2,3,3,3,1,4,4,5,3,1,3,0,5
sympy__sympy-15809,1,2,2,1,1,3,1,5,4,5,3,1,1,1,5
sympy__sympy-15875,1,2,2,2,3,2,1,4,4,5,2,1,2,0,5
sympy__sympy-15976,1,4,2,2,2,2,1,5,4,5,3,1,2,0,4
sympy__sympy-16450,1,2,2,1,1,3,1,5,4,5,3,1,1,1,5
sympy__sympy-16597,4,4,2,4,3,4,0,4,4,4,2,1,4,0,4
sympy__sympy-16766,1,2,2,1,1,1,1,5,4,5,3,1,1,1,5
sympy__sympy-16792,1,2,2,2,3,2,1,5,4,5,2,2,3,0,5
sympy__sympy-16886,1,3,2,1,1,1,1,5,5,5,3,1,1,1,5
sympy__sympy-17139,1,3,2,1,2,2,1,5,5,5,1,1,1,1,5
sympy__sympy-17318,2,3,2,2,3,2,1,5,4,5,3,1,2,0,5
sympy__sympy-17630,2,3,2,4,4,4,1,4,4,5,1,1,3,0,5
sympy__sympy-17655,1,2,2,1,1,1,1,5,4,5,3,1,1,1,5
sympy__sympy-18189,1,3,2,1,1,1,1,5,4,5,3,1,1,1,5
sympy__sympy-18199,3,4,2,4,4,3,1,4,4,4,1,2,4,0,4
sympy__sympy-18211,1,2,2,1,1,2,1,5,4,5,3,2,1,1,4
sympy__sympy-18698,1,3,2,3,3,3,0,4,4,5,3,1,3,0,4
sympy__sympy-18763,1,2,2,1,1,2,1,5,4,5,3,1,1,1,5
sympy__sympy-19040,1,2,2,1,2,2,1,5,4,5,3,1,1,0,5
sympy__sympy-19346,1,4,2,1,1,2,1,5,5,5,2,1,2,1,4
sympy__sympy-19495,1,3,2,3,3,3,1,4,4,4,1,1,3,0,4
sympy__sympy-19637,1,2,2,1,1,1,1,4,5,5,2,1,1,1,5
sympy__sympy-19783,2,3,2,2,3,3,1,4,4,4,1,1,2,0,4
sympy__sympy-19954,1,3,2,3,3,1,1,4,4,5,1,2,3,1,5
sympy__sympy-20154,1,4,2,1,1,3,1,5,4,4,3,1,1,1,4
sympy__sympy-20428,1,2,2,3,3,3,1,5,4,5,3,2,1,0,5
sympy__sympy-20438,3,3,2,3,3,3,1,4,4,4,1,1,3,0,4
sympy__sympy-20590,1,2,2,1,2,2,1,5,4,5,3,1,1,1,5
sympy__sympy-20801,1,3,2,2,3,3,1,5,4,5,1,1,2,0,5
sympy__sympy-20916,1,4,2,1,2,2,1,5,4,5,3,1,1,1,4
sympy__sympy-21379,2,3,2,4,2,2,1,5,4,5,3,1,2,1,5
sympy__sympy-21596,1,4,2,3,4,3,1,4,4,5,1,1,4,0,5
sympy__sympy-21612,1,2,2,2,3,2,1,5,4,5,3,2,1,0,5
sympy__sympy-21847,1,4,2,1,1,2,1,5,4,5,3,1,1,1,5
sympy__sympy-21930,1,4,2,1,2,2,1,5,4,5,3,1,1,1,5
sympy__sympy-22080,2,3,2,3,3,3,1,4,4,5,2,1,3,0,5
sympy__sympy-22456,1,2,2,3,3,3,1,4,4,4,2,1,3,0,4
sympy__sympy-22714,1,1,2,2,3,2,1,4,4,5,1,1,1,0,5
sympy__sympy-22914,1,2,2,1,1,1,1,5,5,5,3,1,1,1,5
sympy__sympy-23262,1,2,2,1,2,2,1,5,4,5,2,1,1,1,5
sympy__sympy-23413,1,3,2,2,3,2,1,4,4,5,1,1,2,0,4
sympy__sympy-23534,1,2,2,2,1,1,1,5,4,5,2,1,1,1,5
sympy__sympy-23824,1,3,2,1,2,2,1,5,5,5,3,1,1,1,5
sympy__sympy-23950,1,3,2,1,2,2,1,5,4,5,3,1,1,1,5
sympy__sympy-24066,1,3,2,3,3,3,1,5,4,5,1,1,2,0,5
sympy__sympy-24213,1,2,2,2,2,2,1,5,4,5,1,2,1,0,5
sympy__sympy-24443,1,2,2,2,3,3,1,4,4,5,2,2,3,0,5
sympy__sympy-24539,1,3,2,1,1,1,1,5,5,5,3,1,1,1,5
sympy__sympy-24562,1,3,2,2,2,2,1,4,5,5,3,1,3,0,4
sympy__sympy-24661,1,3,2,1,2,2,1,5,4,5,3,2,3,1,5
