instance_id,fix_localization,environment_setup_complexity,logical_reasoning_required,entry_point_clarity,codebase_scope,verification_difficulty,side_effect_risk,problem_clarity,information_completeness,testing_infrastructure_quality,debugging_complexity,implementation_language_complexity,reproduction_clarity,expected_behavior_clarity,domain_knowledge_required
scikit-learn__scikit-learn-10908,4,3,2,5,1,2,2,5,5,4,1,3,5,4,3
scikit-learn__scikit-learn-11310,4,3,2,5,1,2,2,5,4,4,1,2,5,5,3
scikit-learn__scikit-learn-11578,5,2,2,5,1,3,2,5,5,4,1,2,5,5,4
scikit-learn__scikit-learn-12585,5,2,2,5,1,2,2,5,5,4,1,2,5,4,3
scikit-learn__scikit-learn-12682,4,3,2,4,2,2,2,4,3,4,1,3,3,3,3
scikit-learn__scikit-learn-12973,4,2,2,5,1,2,3,5,5,4,1,2,4,5,3
scikit-learn__scikit-learn-13124,4,2,3,5,1,3,4,4,5,4,3,2,5,3,4
scikit-learn__scikit-learn-13135,4,2,2,5,1,2,1,5,5,4,2,2,5,3,3
scikit-learn__scikit-learn-13142,5,3,3,5,1,2,2,5,5,4,3,3,5,5,4
scikit-learn__scikit-learn-13328,4,2,2,5,1,2,1,5,5,4,1,2,5,5,3
scikit-learn__scikit-learn-13439,5,2,1,5,1,1,1,5,5,4,1,2,5,4,2
scikit-learn__scikit-learn-13496,4,3,1,5,1,2,2,5,5,4,1,2,4,5,3
scikit-learn__scikit-learn-13779,4,3,2,5,1,2,1,5,4,4,1,2,5,4,3
scikit-learn__scikit-learn-14053,5,2,2,5,1,2,1,5,4,4,2,2,5,3,3
scikit-learn__scikit-learn-14087,4,2,3,5,1,2,2,5,5,4,2,2,5,3,4
scikit-learn__scikit-learn-14141,4,2,1,5,1,1,1,4,3,4,1,1,3,4,2
scikit-learn__scikit-learn-14496,4,2,1,5,1,2,1,5,5,4,1,2,4,5,2
scikit-learn__scikit-learn-14629,4,2,3,5,2,3,3,5,5,5,2,2,5,3,4
scikit-learn__scikit-learn-14710,4,3,2,5,1,2,2,5,5,4,1,3,5,4,4
scikit-learn__scikit-learn-14894,4,3,2,5,1,2,1,5,5,4,1,3,5,4,3
scikit-learn__scikit-learn-14983,4,2,2,5,1,1,1,5,5,4,1,2,5,5,3
scikit-learn__scikit-learn-15100,4,2,2,5,1,2,2,5,5,4,1,2,5,5,3
scikit-learn__scikit-learn-25102,4,3,3,4,3,2,3,4,4,4,3,3,5,4,4
scikit-learn__scikit-learn-25232,4,3,2,5,1,2,2,5,4,4,1,2,3,4,3
scikit-learn__scikit-learn-25747,4,2,3,5,1,2,2,4,5,4,3,2,5,3,4
scikit-learn__scikit-learn-25931,4,3,2,5,1,2,1,5,5,4,1,2,5,5,3
scikit-learn__scikit-learn-25973,4,2,3,5,1,2,2,4,5,4,2,2,5,4,4
scikit-learn__scikit-learn-26194,4,3,2,5,1,2,3,4,5,4,1,2,5,3,3
scikit-learn__scikit-learn-26323,4,2,3,5,1,2,2,5,5,4,2,2,5,5,4
scikit-learn__scikit-learn-9288,4,3,4,5,1,3,2,4,5,4,3,4,5,5,4
sphinx-doc__sphinx-10323,4,2,3,5,1,3,3,4,5,4,2,2,5,5,4
sphinx-doc__sphinx-10435,4,2,2,5,1,3,2,5,5,4,2,2,5,4,4
sphinx-doc__sphinx-10449,4,2,3,5,2,3,2,5,5,4,3,2,5,4,4
sphinx-doc__sphinx-10466,4,2,1,5,1,2,2,5,4,4,1,2,3,4,3
sphinx-doc__sphinx-10614,4,2,3,5,1,4,2,5,5,4,2,2,5,5,4
sphinx-doc__sphinx-10673,4,2,3,5,2,3,3,4,4,4,3,2,5,3,4
sphinx-doc__sphinx-11445,4,2,4,4,2,3,3,5,5,4,3,2,5,4,4
sphinx-doc__sphinx-11510,4,2,4,4,2,3,3,5,5,5,3,2,5,5,4
sphinx-doc__sphinx-7440,4,2,2,5,1,2,3,4,4,4,2,2,4,3,4
sphinx-doc__sphinx-7454,4,2,3,5,2,3,2,5,5,4,3,2,5,5,4
sphinx-doc__sphinx-7462,5,2,3,5,1,2,1,5,5,4,2,1,5,3,4
sphinx-doc__sphinx-7590,4,2,3,5,1,3,2,4,4,4,3,2,4,3,5
sphinx-doc__sphinx-7748,4,2,3,5,1,3,3,3,2,4,2,2,2,3,4
sphinx-doc__sphinx-7757,4,2,3,4,1,2,1,5,4,4,2,2,5,4,4
sphinx-doc__sphinx-7889,4,2,2,4,1,3,1,4,4,4,2,2,5,3,4
sphinx-doc__sphinx-7910,4,2,3,5,1,3,2,5,4,4,1,2,3,4,4
sphinx-doc__sphinx-7985,4,2,3,5,2,3,3,4,4,4,3,2,5,3,4
sphinx-doc__sphinx-8035,4,2,3,5,3,3,3,4,3,4,3,2,2,4,4
sphinx-doc__sphinx-8056,4,2,3,4,2,3,3,4,4,4,3,2,4,4,4
sphinx-doc__sphinx-8120,4,2,3,4,2,4,2,5,5,4,3,2,5,5,4
sphinx-doc__sphinx-8265,4,2,3,4,2,3,2,5,4,4,3,1,4,5,4
sphinx-doc__sphinx-8269,4,2,2,5,1,3,2,5,5,4,2,2,5,5,3
sphinx-doc__sphinx-8459,4,2,3,5,2,3,2,5,5,4,3,2,5,5,4
sphinx-doc__sphinx-8475,5,2,1,5,1,3,1,5,4,4,1,2,4,5,3
sphinx-doc__sphinx-8548,4,2,3,4,2,4,3,3,2,4,3,2,2,3,4
sphinx-doc__sphinx-8551,4,2,3,4,2,3,2,5,5,4,3,2,5,4,4
sphinx-doc__sphinx-8593,4,2,3,4,2,3,2,5,4,4,3,1,5,5,4
sphinx-doc__sphinx-8595,5,2,2,5,1,2,3,5,5,4,2,1,5,5,4
sphinx-doc__sphinx-8621,4,2,3,5,1,2,2,5,5,4,2,1,5,4,3
sphinx-doc__sphinx-8638,4,2,4,4,2,4,3,4,3,4,4,2,4,4,4
sphinx-doc__sphinx-8721,4,2,3,4,1,4,2,4,3,4,3,2,3,4,4
sphinx-doc__sphinx-9229,4,2,4,4,2,4,3,4,5,4,4,2,5,4,4
sphinx-doc__sphinx-9230,4,2,3,4,1,3,2,4,4,4,3,2,4,5,4
sphinx-doc__sphinx-9258,4,2,3,4,2,3,2,3,3,4,3,2,4,3,4
sphinx-doc__sphinx-9281,4,2,2,4,1,2,2,5,5,4,2,1,5,5,3
sphinx-doc__sphinx-9320,5,2,2,5,1,2,1,5,4,4,1,1,5,5,3
sphinx-doc__sphinx-9367,5,2,2,5,1,1,1,5,5,4,1,1,5,5,3
sphinx-doc__sphinx-9461,4,2,4,4,3,3,2,4,4,4,4,1,4,4,4
sphinx-doc__sphinx-9591,4,2,3,4,2,3,2,4,5,4,3,2,5,4,4
sphinx-doc__sphinx-9602,4,2,3,4,2,3,2,4,5,4,3,2,5,4,4
sphinx-doc__sphinx-9658,4,2,3,5,2,3,2,4,4,5,3,2,4,5,4
sphinx-doc__sphinx-9673,4,2,4,4,2,4,2,4,4,4,3,1,4,3,4
sphinx-doc__sphinx-9698,5,2,2,5,1,2,2,5,5,4,2,2,5,5,4
sphinx-doc__sphinx-9711,4,2,2,5,1,2,2,5,5,4,1,2,5,5,2
sympy__sympy-11618,4,2,2,5,1,2,3,5,4,3,1,1,5,5,3
sympy__sympy-12096,5,2,2,5,1,2,2,5,5,4,2,1,5,4,4
sympy__sympy-12419,4,2,4,4,2,2,2,5,4,3,3,1,5,5,4
sympy__sympy-12481,4,2,3,5,1,2,3,4,4,3,2,1,5,4,3
sympy__sympy-12489,4,2,3,5,2,3,3,4,4,3,2,1,3,4,4
sympy__sympy-13031,4,2,3,5,1,2,2,5,5,4,2,1,5,5,3
sympy__sympy-13091,4,2,3,5,3,3,4,5,4,4,2,1,4,5,3
sympy__sympy-13372,4,2,2,5,1,2,2,5,5,3,2,2,5,3,3
sympy__sympy-13480,5,2,1,5,1,1,1,5,5,3,1,1,5,3,2
sympy__sympy-13551,4,2,4,4,1,3,3,4,4,3,3,2,5,4,4
sympy__sympy-13615,4,2,3,5,1,2,3,5,4,3,3,1,5,4,4
sympy__sympy-13647,4,2,3,5,1,2,2,5,5,4,2,1,5,4,4
sympy__sympy-13757,4,2,3,5,1,2,3,5,5,3,2,2,5,4,4
sympy__sympy-13798,4,2,2,5,1,2,2,4,4,4,1,1,4,5,3
sympy__sympy-13852,4,2,3,5,1,3,3,4,4,3,3,1,5,5,5
sympy__sympy-13877,4,2,4,5,2,2,3,4,5,4,3,2,5,3,4
sympy__sympy-13878,4,2,2,4,2,3,2,5,5,4,2,2,5,4,4
sympy__sympy-13974,4,2,3,5,1,2,2,5,4,3,2,1,5,5,4
sympy__sympy-14248,4,2,3,4,3,2,2,5,4,3,3,1,5,4,4
sympy__sympy-14531,4,2,3,5,2,2,3,4,4,3,2,1,5,5,4
sympy__sympy-14711,4,2,2,5,1,2,2,5,4,3,1,1,5,3,3
sympy__sympy-14976,4,2,3,5,1,3,2,4,4,4,2,2,5,4,4
sympy__sympy-15017,4,2,2,5,1,2,3,5,5,3,1,1,5,5,2
sympy__sympy-15345,4,2,2,5,1,1,2,5,4,3,2,1,5,5,3
sympy__sympy-15349,4,2,2,5,1,2,3,5,5,3,2,1,5,4,4
sympy__sympy-15599,4,2,3,5,1,3,3,5,5,4,1,1,5,5,4
sympy__sympy-15809,4,2,2,5,1,2,3,4,4,4,1,1,5,5,3
sympy__sympy-15875,4,2,3,4,2,2,3,4,4,4,3,1,5,5,4
sympy__sympy-15976,4,2,3,5,1,3,2,4,4,4,2,1,5,4,4
sympy__sympy-16450,4,2,2,5,1,2,2,4,4,4,1,1,5,4,3
sympy__sympy-16597,4,2,3,5,2,3,3,4,4,3,2,1,5,4,4
sympy__sympy-16766,4,2,1,5,1,1,1,5,5,4,1,1,5,5,3
sympy__sympy-16792,4,2,3,4,2,3,2,5,5,3,2,2,5,5,4
sympy__sympy-16886,5,2,1,5,1,1,1,5,5,4,1,1,4,5,1
sympy__sympy-17139,5,2,2,5,1,2,2,5,5,4,2,1,5,3,3
sympy__sympy-17318,4,2,2,5,1,2,2,5,5,4,2,1,5,5,3
sympy__sympy-17630,4,2,3,5,1,2,2,5,5,3,2,1,5,4,4
sympy__sympy-17655,4,2,3,5,1,2,2,5,5,4,2,1,5,4,4
sympy__sympy-18189,4,2,4,5,1,2,2,4,4,4,3,1,5,5,4
sympy__sympy-18199,4,2,2,5,1,2,3,5,4,3,1,2,5,4,3
sympy__sympy-18211,4,2,3,4,2,2,3,4,4,4,2,2,5,5,4
sympy__sympy-18698,4,2,4,4,1,2,3,4,3,4,3,1,5,4,4
sympy__sympy-18763,4,2,2,5,1,2,2,5,4,4,2,1,5,5,4
sympy__sympy-19040,4,2,4,5,2,2,2,5,4,4,3,1,5,5,4
sympy__sympy-19346,5,2,2,5,1,2,2,5,4,4,1,1,5,4,3
sympy__sympy-19495,4,2,4,4,2,3,3,4,4,4,3,1,5,4,4
sympy__sympy-19637,5,2,3,5,1,2,1,4,4,4,2,1,5,3,3
sympy__sympy-19783,4,2,3,4,1,2,2,4,4,3,2,1,5,5,4
sympy__sympy-19954,4,2,3,5,1,2,2,4,5,3,3,2,5,3,4
sympy__sympy-20154,4,2,2,5,1,2,3,4,3,3,1,1,3,4,2
sympy__sympy-20428,4,2,3,5,2,3,2,5,5,3,3,2,5,5,4
sympy__sympy-20438,4,2,4,4,3,3,3,3,4,4,3,1,5,4,4
sympy__sympy-20590,4,2,3,5,3,2,2,4,4,4,2,1,5,4,3
sympy__sympy-20801,4,2,3,4,2,2,3,4,4,4,3,1,5,3,4
sympy__sympy-20916,4,2,3,4,1,2,2,4,3,4,2,1,3,5,4
sympy__sympy-21379,4,2,4,4,3,3,2,4,5,4,4,1,5,4,5
sympy__sympy-21596,4,2,4,4,2,2,3,4,4,4,3,1,5,5,4
sympy__sympy-21612,4,2,2,5,1,2,2,5,5,4,2,2,5,5,3
sympy__sympy-21847,4,2,3,5,1,2,2,5,4,3,2,1,5,5,3
sympy__sympy-21930,4,2,2,5,1,2,2,5,5,4,1,1,5,5,3
sympy__sympy-22080,4,2,4,5,2,2,2,4,4,4,3,1,5,4,4
sympy__sympy-22456,4,2,3,5,1,2,3,4,3,3,2,1,4,5,4
sympy__sympy-22714,4,2,3,4,2,2,2,4,4,4,3,1,5,4,4
sympy__sympy-22914,5,2,1,5,1,1,1,5,5,3,1,1,5,5,2
sympy__sympy-23262,4,2,2,5,1,2,1,5,5,4,2,1,5,5,3
sympy__sympy-23413,4,2,3,4,1,2,2,4,4,4,2,1,5,5,4
sympy__sympy-23534,4,2,3,5,1,2,2,5,5,4,2,1,5,5,3
sympy__sympy-23824,5,2,2,5,1,2,2,5,5,4,1,1,5,5,4
sympy__sympy-23950,4,2,3,5,2,2,2,4,4,3,2,1,5,3,4
sympy__sympy-24066,4,2,3,5,1,2,2,5,4,4,3,1,5,4,4
sympy__sympy-24213,4,2,3,5,1,2,2,5,5,4,2,2,5,4,4
sympy__sympy-24443,4,2,3,5,1,2,2,4,5,4,2,2,5,4,4
sympy__sympy-24539,5,2,2,5,1,1,1,5,5,4,1,1,5,4,3
sympy__sympy-24562,5,2,3,5,1,2,2,4,4,4,2,1,5,5,4
sympy__sympy-24661,4,2,3,5,2,2,3,4,4,4,3,2,5,5,4
