instance_id,logical_reasoning_required,codebase_scope,side_effect_risk,verification_difficulty,reproduction_clarity,problem_clarity,solution_hint,expected_behavior_clarity,debugging_complexity,information_completeness,atypicality,standard_pattern_available,domain_knowledge_required,error_specificity,similar_issue_likelihood
scikit-learn__scikit-learn-11310,2,1,2,2,5,5,2,5,1,4,1,1,3,3,1
scikit-learn__scikit-learn-11578,2,1,2,3,5,5,3,5,1,5,2,1,4,5,1
scikit-learn__scikit-learn-12585,2,1,2,2,5,5,3,4,1,5,3,1,3,5,1
scikit-learn__scikit-learn-12682,2,2,2,2,3,4,2,3,1,3,2,1,3,4,1
scikit-learn__scikit-learn-12973,2,1,3,2,4,5,3,5,1,5,1,1,3,4,1
scikit-learn__scikit-learn-13124,3,1,4,3,5,4,2,3,3,5,3,0,4,4,1
scikit-learn__scikit-learn-13135,2,1,1,2,5,5,2,3,2,5,2,1,3,5,1
scikit-learn__scikit-learn-13142,3,1,2,2,5,5,1,5,3,5,2,0,4,4,1
scikit-learn__scikit-learn-13328,2,1,1,2,5,5,2,5,1,5,1,1,3,5,1
scikit-learn__scikit-learn-13439,1,1,1,1,5,5,3,4,1,5,1,1,2,4,1
scikit-learn__scikit-learn-13496,1,1,2,2,4,5,3,5,1,5,1,1,3,3,1
scikit-learn__scikit-learn-13779,2,1,1,2,5,5,2,4,1,4,2,1,3,5,1
scikit-learn__scikit-learn-14053,2,1,1,2,5,5,1,3,2,4,2,1,3,4,1
scikit-learn__scikit-learn-14087,3,1,2,2,5,5,1,3,2,5,3,0,4,5,1
scikit-learn__scikit-learn-14141,1,1,1,1,3,4,2,4,1,3,1,1,2,4,1
scikit-learn__scikit-learn-14496,1,1,1,2,4,5,3,5,1,5,1,1,2,5,1
scikit-learn__scikit-learn-14629,3,2,3,3,5,5,2,3,2,5,3,0,4,5,1
scikit-learn__scikit-learn-14710,2,1,2,2,5,5,3,4,1,5,2,1,4,5,1
scikit-learn__scikit-learn-14894,2,1,1,2,5,5,2,4,1,5,2,1,3,5,1
scikit-learn__scikit-learn-14983,2,1,1,1,5,5,1,5,1,5,1,1,3,5,1
scikit-learn__scikit-learn-15100,2,1,2,2,5,5,2,5,1,5,2,1,3,5,1
scikit-learn__scikit-learn-25102,3,3,3,2,5,4,2,4,3,4,3,0,4,4,1
scikit-learn__scikit-learn-25232,2,1,2,2,3,5,2,4,1,4,1,1,3,4,1
scikit-learn__scikit-learn-25747,3,1,2,2,5,4,1,3,3,5,3,0,4,5,1
scikit-learn__scikit-learn-25931,2,1,1,2,5,5,2,5,1,5,2,1,3,5,1
scikit-learn__scikit-learn-25973,3,1,2,2,5,4,1,4,2,5,3,1,4,4,1
scikit-learn__scikit-learn-26194,2,1,3,2,5,4,2,3,1,5,2,1,3,5,1
scikit-learn__scikit-learn-26323,3,1,2,2,5,5,2,5,2,5,3,0,4,4,1
scikit-learn__scikit-learn-9288,4,1,2,3,5,4,0,5,3,5,3,0,4,4,1
sphinx-doc__sphinx-10323,3,1,3,3,5,4,2,5,2,5,3,0,4,4,1
sphinx-doc__sphinx-10435,2,1,2,3,5,5,3,4,2,5,3,0,4,5,1
sphinx-doc__sphinx-10449,3,2,2,3,5,5,1,4,3,5,2,0,4,4,1
sphinx-doc__sphinx-10466,1,1,2,2,3,5,3,4,1,4,1,1,3,4,1
sphinx-doc__sphinx-10614,3,1,2,4,5,5,2,5,2,5,3,0,4,5,1
sphinx-doc__sphinx-10673,3,2,3,3,5,4,1,3,3,4,3,0,4,5,1
sphinx-doc__sphinx-11445,4,2,3,3,5,5,1,4,3,5,3,0,4,4,1
sphinx-doc__sphinx-11510,4,2,3,3,5,5,1,5,3,5,3,0,4,4,1
sphinx-doc__sphinx-7440,2,1,3,2,4,4,1,3,2,4,2,1,4,5,1
sphinx-doc__sphinx-7454,3,2,2,3,5,5,1,5,3,5,3,0,4,5,1
sphinx-doc__sphinx-7462,3,1,1,2,5,5,1,3,2,5,3,0,4,5,1
sphinx-doc__sphinx-7590,3,1,2,3,4,4,1,3,3,4,4,0,5,5,1
sphinx-doc__sphinx-7748,3,1,3,3,2,3,1,3,2,2,3,0,4,3,1
sphinx-doc__sphinx-7757,3,1,1,2,5,5,1,4,2,4,3,0,4,4,1
sphinx-doc__sphinx-7889,2,1,1,3,5,4,1,3,2,4,3,0,4,4,1
sphinx-doc__sphinx-7910,3,1,2,3,3,5,3,4,1,4,3,0,4,5,1
sphinx-doc__sphinx-7985,3,2,3,3,5,4,1,3,3,4,3,0,4,4,0
sphinx-doc__sphinx-8035,3,3,3,3,2,4,2,4,3,3,2,1,4,3,1
sphinx-doc__sphinx-8056,3,2,3,3,4,4,1,4,3,4,3,0,4,4,1
sphinx-doc__sphinx-8120,3,2,2,4,5,5,1,5,3,5,3,0,4,4,1
sphinx-doc__sphinx-8265,3,2,2,3,4,5,1,5,3,4,3,0,4,4,1
sphinx-doc__sphinx-8269,2,1,2,3,5,5,2,5,2,5,2,1,3,5,1
sphinx-doc__sphinx-8459,3,2,2,3,5,5,1,5,3,5,3,0,4,4,1
sphinx-doc__sphinx-8475,1,1,1,3,4,5,3,5,1,4,1,1,3,4,1
sphinx-doc__sphinx-8548,3,2,3,4,2,3,1,3,3,2,3,0,4,3,1
sphinx-doc__sphinx-8551,3,2,2,3,5,5,1,4,3,5,3,0,4,5,1
sphinx-doc__sphinx-8593,3,2,2,3,5,5,1,5,3,4,3,0,4,4,1
sphinx-doc__sphinx-8595,2,1,3,2,5,5,1,5,2,5,2,1,4,4,1
sphinx-doc__sphinx-8621,3,1,2,2,5,5,2,4,2,5,3,0,3,5,1
sphinx-doc__sphinx-8638,4,2,3,4,4,4,1,4,4,3,3,0,4,3,0
sphinx-doc__sphinx-8721,3,1,2,4,3,4,1,4,3,3,3,0,4,3,1
sphinx-doc__sphinx-9229,4,2,3,4,5,4,0,4,4,5,3,0,4,4,1
sphinx-doc__sphinx-9230,3,1,2,3,4,4,1,5,3,4,3,0,4,4,1
sphinx-doc__sphinx-9258,3,2,2,3,4,3,1,3,3,3,3,0,4,3,1
sphinx-doc__sphinx-9281,2,1,2,2,5,5,1,5,2,5,2,1,3,4,1
sphinx-doc__sphinx-9320,2,1,1,2,5,5,1,5,1,4,2,1,3,4,1
sphinx-doc__sphinx-9367,2,1,1,1,5,5,2,5,1,5,2,1,3,5,1
sphinx-doc__sphinx-9461,4,3,2,3,4,4,1,4,4,4,4,0,4,4,1
sphinx-doc__sphinx-9591,3,2,2,3,5,4,0,4,3,5,3,0,4,4,1
sphinx-doc__sphinx-9602,3,2,2,3,5,4,1,4,3,5,3,0,4,4,1
sphinx-doc__sphinx-9658,3,2,2,3,4,4,1,5,3,4,3,0,4,4,1
sphinx-doc__sphinx-9673,4,2,2,4,4,4,1,3,3,4,3,0,4,3,1
sphinx-doc__sphinx-9698,2,1,2,2,5,5,1,5,2,5,3,0,4,4,1
sphinx-doc__sphinx-9711,2,1,2,2,5,5,2,5,1,5,1,1,2,5,1
sympy__sympy-11618,2,1,3,2,5,5,2,5,1,4,2,1,3,5,1
sympy__sympy-12096,2,1,2,2,5,5,3,4,2,5,2,1,4,4,1
sympy__sympy-12419,4,2,2,2,5,5,1,5,3,4,3,0,4,4,1
sympy__sympy-12481,3,1,3,2,5,4,2,4,2,4,2,1,3,4,1
sympy__sympy-12489,3,2,3,3,3,4,2,4,2,4,3,1,4,4,1
sympy__sympy-13031,3,1,2,2,5,5,1,5,2,5,2,1,3,5,1
sympy__sympy-13091,3,3,4,3,4,5,3,5,2,4,2,1,3,4,1
sympy__sympy-13372,2,1,2,2,5,5,3,3,2,5,2,1,3,5,1
sympy__sympy-13480,1,1,1,1,5,5,3,3,1,5,1,1,2,5,1
sympy__sympy-13551,4,1,3,3,5,4,0,4,3,4,3,0,4,4,0
sympy__sympy-13615,3,1,3,2,5,5,1,4,3,4,3,0,4,4,1
sympy__sympy-13647,3,1,2,2,5,5,1,4,2,5,2,0,4,4,1
sympy__sympy-13757,3,1,3,2,5,5,1,4,2,5,2,1,4,4,1
sympy__sympy-13798,2,1,2,2,4,4,2,5,1,4,2,1,3,3,1
sympy__sympy-13852,3,1,3,3,5,4,2,5,3,4,3,0,5,4,1
sympy__sympy-13877,4,2,3,2,5,4,1,3,3,5,3,0,4,5,1
sympy__sympy-13878,2,2,2,3,5,5,3,4,2,5,2,1,4,4,1
sympy__sympy-13974,3,1,2,2,5,5,1,5,2,4,3,0,4,4,1
sympy__sympy-14248,3,3,2,2,5,5,1,4,3,4,2,1,4,5,1
sympy__sympy-14531,3,2,3,2,5,4,1,5,2,4,2,1,4,4,1
sympy__sympy-14711,2,1,2,2,5,5,2,3,1,4,2,1,3,5,1
sympy__sympy-14976,3,1,2,3,5,4,1,4,2,4,3,0,4,4,1
sympy__sympy-15017,2,1,3,2,5,5,2,5,1,5,1,1,2,5,1
sympy__sympy-15345,2,1,2,1,5,5,2,5,2,4,2,1,3,5,1
sympy__sympy-15349,2,1,3,2,5,5,2,4,2,5,2,1,4,4,1
sympy__sympy-15599,3,1,3,3,5,5,3,5,1,5,2,1,4,5,1
sympy__sympy-15809,2,1,3,2,5,4,2,5,1,4,2,1,3,4,1
sympy__sympy-15875,3,2,3,2,5,4,1,5,3,4,3,0,4,5,1
sympy__sympy-15976,3,1,2,3,5,4,1,4,2,4,3,0,4,4,1
sympy__sympy-16450,2,1,2,2,5,4,2,4,1,4,2,1,3,5,1
sympy__sympy-16597,3,2,3,3,5,4,1,4,2,4,2,0,4,4,1
sympy__sympy-16766,1,1,1,1,5,5,3,5,1,5,1,1,3,4,1
sympy__sympy-16792,3,2,2,3,5,5,2,5,2,5,3,0,4,5,1
sympy__sympy-16886,1,1,1,1,4,5,3,5,1,5,1,1,1,5,1
sympy__sympy-17139,2,1,2,2,5,5,2,3,2,5,2,1,3,5,1
sympy__sympy-17318,2,1,2,2,5,5,2,5,2,5,2,1,3,5,1
sympy__sympy-17630,3,1,2,2,5,5,2,4,2,5,2,0,4,5,1
sympy__sympy-17655,3,1,2,2,5,5,1,4,2,5,2,1,4,5,1
sympy__sympy-18189,4,1,2,2,5,4,1,5,3,4,3,0,4,5,1
sympy__sympy-18199,2,1,3,2,5,5,2,4,1,4,2,1,3,4,1
sympy__sympy-18211,3,2,3,2,5,4,2,5,2,4,2,1,4,4,1
sympy__sympy-18698,4,1,3,2,5,4,1,4,3,3,3,0,4,4,1
sympy__sympy-18763,2,1,2,2,5,5,2,5,2,4,2,1,4,4,1
sympy__sympy-19040,4,2,2,2,5,5,0,5,3,4,3,0,4,5,1
sympy__sympy-19346,2,1,2,2,5,5,1,4,1,4,2,1,3,4,1
sympy__sympy-19495,4,2,3,3,5,4,1,4,3,4,3,0,4,4,1
sympy__sympy-19637,3,1,1,2,5,4,1,3,2,4,2,1,3,5,1
sympy__sympy-19783,3,1,2,2,5,4,1,5,2,4,3,0,4,4,1
sympy__sympy-19954,3,1,2,2,5,4,1,3,3,5,3,0,4,5,1
sympy__sympy-20154,2,1,3,2,3,4,2,4,1,3,1,1,2,3,1
sympy__sympy-20428,3,2,2,3,5,5,2,5,3,5,3,0,4,5,1
sympy__sympy-20438,4,3,3,3,5,3,1,4,3,4,3,0,4,4,1
sympy__sympy-20590,3,3,2,2,5,4,2,4,2,4,2,1,3,4,1
sympy__sympy-20801,3,2,3,2,5,4,1,3,3,4,3,0,4,5,1
sympy__sympy-20916,3,1,2,2,3,4,1,5,2,3,3,0,4,4,1
sympy__sympy-21379,4,3,2,3,5,4,1,4,4,5,4,0,5,4,0
sympy__sympy-21596,4,2,3,2,5,4,1,5,3,4,3,0,4,5,0
sympy__sympy-21612,2,1,2,2,5,5,2,5,2,5,2,1,3,5,1
sympy__sympy-21847,3,1,2,2,5,5,1,5,2,4,2,0,3,4,1
sympy__sympy-21930,2,1,2,2,5,5,3,5,1,5,2,1,3,5,1
sympy__sympy-22080,4,2,2,2,5,4,1,4,3,4,3,0,4,5,1
sympy__sympy-22456,3,1,3,2,4,4,2,5,2,3,3,0,4,4,1
sympy__sympy-22714,3,2,2,2,5,4,1,4,3,4,3,0,4,5,1
sympy__sympy-22914,1,1,1,1,5,5,3,5,1,5,1,1,2,5,1
sympy__sympy-23262,2,1,1,2,5,5,1,5,2,5,2,1,3,5,1
sympy__sympy-23413,3,1,2,2,5,4,1,5,2,4,3,0,4,4,1
sympy__sympy-23534,3,1,2,2,5,5,1,5,2,5,2,0,3,5,1
sympy__sympy-23824,2,1,2,2,5,5,3,5,1,5,2,1,4,5,1
sympy__sympy-23950,3,2,2,2,5,4,1,3,2,4,3,0,4,5,1
sympy__sympy-24066,3,1,2,2,5,5,1,4,3,4,3,0,4,5,1
sympy__sympy-24213,3,1,2,2,5,5,1,4,2,5,3,0,4,5,1
sympy__sympy-24443,3,1,2,2,5,4,2,4,2,5,3,0,4,5,1
sympy__sympy-24539,2,1,1,1,5,5,2,4,1,5,1,1,3,5,1
sympy__sympy-24562,3,1,2,2,5,4,1,5,2,4,2,0,4,4,1
sympy__sympy-24661,3,2,3,2,5,4,1,5,3,4,3,0,4,5,1
