instance_id,solution_hint,problem_clarity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,error_specificity,reproduction_clarity,expected_behavior_clarity,debugging_complexity,codebase_scope,information_completeness,similar_issue_likelihood,side_effect_risk,test_comprehensiveness,test_assertion_complexity,test_edge_case_coverage,solution_complexity,integration_complexity,_extracted_at,_model,_provider,_task_id,fix_localization,fix_localization_reasoning,entry_point_clarity,entry_point_clarity_reasoning,change_blast_radius,change_blast_radius_reasoning,environment_setup_complexity,environment_setup_complexity_reasoning,implementation_language_complexity,implementation_language_complexity_reasoning,testing_infrastructure_quality,testing_infrastructure_quality_reasoning,dependency_complexity,dependency_complexity_reasoning,codebase_scale,codebase_scale_reasoning
torch-tensor-parallelism,2,4,4,4,3,4,1,4,5,5,4,1,5,1,2,4,4,3,4,3,2026-03-07T23:26:14.972765,claude-opus-4-6,anthropic,torch-tensor-parallelism,5,"The task explicitly asks for creating and implementing a single file, /app/parallel_linear.py, with two classes; the likely solution is fully contained there.",5,"The problem statement names the exact file and class signatures to implement, so the entry point is completely explicit.",1,"This is an isolated addition in an otherwise empty workspace, with no visible surrounding modules or shared infrastructure likely to be affected.",1,The workspace is essentially empty and the task is a straightforward single-file implementation with no visible multi-service or build orchestration requirements.,2,"The implementation is in Python using PyTorch APIs and distributed sharding concepts; conceptually moderate, but still a simple single-language task.",2,"No test files are visible in the workspace, but the prompt clearly states what will be tested: initialization, sharding, outputs, and gradients across world sizes 1, 2, and 4.",2,The apparent dependency surface is small and centered on PyTorch distributed functionality; there is no evidence of a large or version-fragile dependency tree in the workspace.,1,"The codebase available to inspect is effectively empty (no project files present), so the agent only needs to reason about a tiny single-file task."
polyglot-c-py,1,5,3,4,4,2,1,5,5,5,3,1,5,1,2,3,3,3,3,2,2026-03-07T23:26:04.154385,claude-opus-4-6,anthropic,polyglot-c-py,5,The requested change is to create a single polyglot source file at /app/polyglot/main.py.c; the solution should live entirely in one file.,5,"The problem statement directly names the target path and exact behavior, so the implementation entry point is completely explicit.",1,"This is an isolated standalone file creation task in an otherwise empty /app directory, with no existing components depending on it.",1,"The environment is minimal and ready to use out of the box: plain filesystem, Python 3.12.x and gcc 13.x available, no orchestration or service setup.",3,"Although the functionality is simple Fibonacci computation, the required Python/C polyglot source raises language and syntax complexity above ordinary scripting.",1,"There are no tests, no harness, and no project validation files under /app; verification would be manual via the two command invocations in the prompt.",1,"The task depends only on the system-provided Python interpreter and gcc, with no project libraries or external package manifests present.",1,"The codebase is effectively empty: /app contains no files, no modules, and no existing project structure to navigate."
overfull-hbox,1,4,3,4,4,3,0,5,5,5,3,2,5,0,2,4,4,4,4,3,2026-03-07T23:26:04.089565,claude-opus-4-6,anthropic,overfull-hbox,5,"The task is confined to editing a single content file, input.tex, via word substitutions only; main.tex and synonyms.txt are fixed.",5,The problem statement explicitly names the files involved and the exact symptom to eliminate: pdflatex overfull hbox warnings in main.tex/input.tex.,1,Changes are isolated to wording in one included text file and have no broader architectural or code impact beyond PDF layout.,1,"This is a minimal single-directory LaTeX task with pdflatex already available; no services, builds, or configuration were needed.",1,"The work is plain-text/LaTeX editing with simple command-line compilation, not a complex programming language or build system.",4,"Validation is straightforward and objective using pdflatex plus grep on the log for overfull hbox warnings, giving clear pass/fail feedback.",1,There are effectively no project dependencies besides the installed TeX distribution; no package management or external libraries are involved.,1,"The environment contains only three small files, making the overall codebase/task surface tiny."
distribution-search,1,4,4,5,4,2,0,5,4,5,4,1,5,0,2,4,4,3,5,2,2026-03-07T23:25:49.362474,claude-opus-4-6,anthropic,distribution-search,5,"There is no existing codebase; the task is satisfied by creating a single standalone Python script/output file, so the work is effectively localized to one implementation point.",5,"The prompt precisely states the goal, constraints, and exact output path `/app/dist.npy`, so the entry point is completely clear.",1,"Changes are isolated to generating one artifact in an otherwise empty workspace, with essentially no downstream coupling to other modules.",1,"The environment is minimal: an empty `/app` directory with Python, NumPy, and SciPy already available and no extra services or build steps.",2,The solution is pure Python/numerical scripting using NumPy/SciPy; the math is nontrivial but the language/tooling itself is straightforward.,1,No repository tests or harness files are present; validation appears to rely on manually checking the KL constraints and saved file.,2,"Only a small, standard scientific Python stack is needed (NumPy and SciPy), with no evidence of a large or fragile dependency tree.",1,"The workspace is effectively empty (0 files discovered), so there is no real codebase to navigate."
model-extraction-relu-logits,1,3,5,5,5,4,0,4,3,4,5,1,4,0,2,3,4,2,5,2,2026-03-07T23:26:02.406681,claude-opus-4-6,anthropic,model-extraction-relu-logits,5,"The environment contains a single file, forward.py, and the task-facing behavior centers entirely on querying/importing that module; any needed logic would be confined to one new script.",5,"The problem statement explicitly points to importing forward.py and calling forward(x), and the only project file is forward.py, so the entry point is unmistakable.",1,This is an isolated task with no broader application structure; adding /app/steal.py would not affect other components in the environment.,1,"The workspace is a minimal single-directory setup with one Python file and no service orchestration, build steps, or configuration hurdles.",1,"The task is pure Python with NumPy and a simple one-layer ReLU network, making the technical stack straightforward.",1,"There are no tests, harness files, or validation scripts present; verification would be entirely manual or ad hoc.",2,"The environment appears to rely only on Python and NumPy, which is a small and standard dependency set.",1,"The codebase consists of a single small file, far below even a small multi-file project."
prove-plus-comm,1,4,4,3,3,2,1,4,3,5,3,1,3,1,1,4,3,2,2,3,2026-03-07T23:26:07.604672,claude-opus-4-6,anthropic,prove-plus-comm,5,"The task is confined to a single Coq proof in plus_comm.v, with only a couple of missing tactic steps.",5,"The problem statement explicitly names plus_comm.v and the theorem to complete, so the failing location is obvious.",1,This is an isolated proof edit with no impact on other modules or shared code in the environment.,1,The environment is minimal: one Coq source file and coqc already installed and runnable directly.,2,The solution uses Coq tactics and standard arithmetic lemmas; specialized but still small and straightforward.,4,"Validation is clear and easy via coqc compilation, which gives direct proof errors and a concrete .vo artifact on success.",1,Only the standard Coq Arith library is used; there are no external packages or complex dependency chains.,1,"The codebase consists of a single tiny file, far below even a small multi-file project."
largest-eigenval,1,4,3,3,3,4,1,4,5,5,3,1,5,1,2,4,4,3,3,3,2026-03-07T23:25:58.691154,claude-opus-4-6,anthropic,largest-eigenval,5,The required change is entirely contained in a single function in /app/eigen.py.,5,The problem statement explicitly names find_dominant_eigenvalue_and_eigenvector in /app/eigen.py as the entrypoint to modify.,1,Changes are isolated to one function with no broader subsystem interactions; eval.py only calls it for validation and timing.,1,"The environment is extremely simple: just two Python files in /app, no services, no build system, and it runs directly with Python.",1,"This is pure Python with NumPy on very small matrices, with no compiled extension work required by default.",4,"A clear eval.py is provided with both correctness assertions and timing comparison against a reference implementation, giving straightforward pass/fail feedback.",2,The task primarily depends on NumPy; there are no visible complex dependency trees or system-level requirements in the provided project.,1,"The codebase is tiny, consisting of only /app/eigen.py and /app/eval.py."
kv-store-grpc,3,5,3,2,2,3,1,5,5,5,2,2,5,1,3,4,4,2,3,3,2026-03-07T23:25:55.655513,claude-opus-4-6,anthropic,kv-store-grpc,5,"The requested work is a tiny greenfield task centered on creating one proto file and one server script in /app, with generated stubs emitted alongside them.",5,"The problem statement explicitly names every required artifact, the service name, RPCs, class name, and port, so the implementation entry points are unambiguous.",1,"Changes are isolated to a self-contained gRPC server setup in an otherwise empty /app directory, with effectively no existing components to impact.",2,"The environment is very minimal and mostly ready, but it does require installing specific system-wide Python packages and generating protobuf code before running the server.",2,The task is straightforward Python with standard gRPC/protobuf usage; there is no compiled application code beyond generated bindings.,1,"No tests, harness files, or validation scripts are present in /app, so verification appears to rely on manual execution or hidden checks only.",2,"There are only a couple of explicit dependencies, grpcio and grpcio-tools at fixed versions, with no broader dependency graph visible in the workspace.",1,"The codebase is effectively empty at audit time: /app contains no files, making this a tiny environment."
llm-inference-batching-scheduler,2,4,4,5,4,4,0,5,4,5,4,2,5,0,2,5,5,4,5,2,2026-03-07T23:25:59.811931,claude-opus-4-6,anthropic,llm-inference-batching-scheduler,4,The environment is tiny and the deliverable is producing two plan files; likely work is concentrated in one script or a small planner module rather than spread across many files.,5,"The problem statement explicitly names the input files, output files, constraints, and the two helper scripts; baseline_packer.py is an obvious entry point.",1,This is an isolated optimization task over static inputs with no broader application integration; changes mainly affect the generated plan or a single planner script.,1,"There are only five files, Python is available out of the box, and there is no multi-service setup, build system, or extra orchestration.",2,The task is primarily Python scripting with JSONL processing and analytical optimization logic; no compiled languages or complex frameworks are involved.,3,"There is no formal test suite, but the provided cost_model.py gives a direct evaluation function with clear metrics and baseline comparison, enabling straightforward validation.",1,The code uses only the Python standard library and local scripts; there are no external packages or system-level dependencies evident.,1,"The codebase is extremely small: two input files and three Python files total, far below even a small multi-module project."
git-multibranch,2,5,4,3,3,4,1,5,5,5,3,3,4,1,4,3,3,1,4,4,2026-03-07T23:25:54.858336,claude-opus-4-6,anthropic,git-multibranch,4,"The likely solution is concentrated in a few closely related system config files and scripts, mainly SSH/Nginx config plus a single Git hook/deploy script.",5,"The problem statement is very explicit about the required services, paths, branches, hook, and endpoints, so the main entry points are obvious.",2,"Changes are mostly isolated to service configuration and deployment directories; limited downstream impact beyond SSH, Nginx, and the bare repository.",3,"This is a multi-component server setup involving Git over SSH, password auth, HTTPS with self-signed certs, hooks, and web serving, but all on one host with standard packages.",1,The task is primarily shell/system administration with standard Unix tooling and config files rather than complex application code.,2,"There is no in-repo automated test suite; validation is possible through clear manual/end-to-end checks against clone, push, and HTTPS responses.",2,"Dependencies are few and standard: git, openssh-server, nginx, openssl, and basic Linux user/service management.",1,There is effectively no application codebase in the working directory; the task operates on a minimal system environment with a handful of config files.
headless-terminal,1,4,4,3,3,4,1,4,5,5,3,1,4,1,3,4,3,3,3,3,2026-03-07T23:25:55.708688,claude-opus-4-6,anthropic,headless-terminal,5,"The requested implementation is a single new class in one file, /app/headless_terminal.py, against a tiny provided interface.",5,"The prompt explicitly names the interface, class name, filename, and import path, so the implementation target is unambiguous.",1,The change is isolated to a standalone terminal wrapper and should not affect other components in this minimal codebase.,1,The environment is a simple single-directory Python setup with system bash already available and no multi-service orchestration.,2,"It is pure Python, but terminal emulation via PTY/process control is slightly more involved than basic scripting.",1,"No formal tests, configs, or harnesses were present; validation appears to rely on ad hoc manual checks.",1,"The task can be implemented with Python standard-library modules and system bash, with no visible external package requirements.",1,The codebase is extremely small: essentially one provided interface file and no broader project structure.
pytorch-model-cli,1,3,4,4,4,3,0,4,3,5,3,3,3,0,2,4,4,3,4,4,2026-03-07T23:26:08.269683,claude-opus-4-6,anthropic,pytorch-model-cli,4,The workspace is tiny and likely requires adding a small CLI implementation plus weight export/loading logic in one or two closely related files.,5,"The problem statement explicitly defines the command interface ./cli_tool weights.json image.png and the required outputs, so the main entry point is unambiguous.",1,"This appears to be an isolated standalone tool with no broader application integration, so changes are unlikely to affect other components.",2,"Everything is in a single /app directory with a few source files and common compilers/interpreters available, though there is a minor wrinkle because PyTorch is absent and weights must be handled without it.",4,"The provided assets suggest a C/C++ implementation using lodepng and cJSON, plus reverse-engineering or converting PyTorch weights from a .pth archive to JSON, which is more complex than simple scripting.",1,"No tests, build scripts, or validation harness are present; verification seems manual via running the produced binary on the supplied image.",2,"There are only a few bundled dependencies (cJSON and lodepng) and no large external package tree, although the model artifact format adds some moderate handling complexity.",1,The codebase is extremely small: 7 files total in a single directory with no nested modules or large project structure.
mteb-retrieve,2,4,4,3,3,2,0,5,4,5,3,1,4,0,2,2,2,1,3,3,2026-03-07T23:26:02.428378,claude-opus-4-6,anthropic,mteb-retrieve,5,The task is a one-off terminal workflow with the effective change/work contained in a single script or command sequence writing one output file.,5,"The prompt precisely states the query, input file, embedding model revision, ranking criterion, and output path, so the operational entry point is explicit.",1,Running the task only reads /app/data.txt and writes /app/result.txt with no broader project components affected.,2,"The environment is minimal and ready to use, but requires loading a specific Hugging Face embedding model revision and using installed ML libraries.",2,The work is straightforward Python/CLI usage of sentence-transformers/transformers for embeddings and cosine similarity.,2,There is no explicit test suite in the workspace; validation is mainly by reproducing the similarity ranking and checking the output file.,3,"The task depends on several standard ML packages and a specific remote model revision, giving moderate dependency sensitivity despite the tiny workspace.",1,"The visible workspace is extremely small, essentially just a single data file with no substantive local codebase to navigate."
count-dataset-tokens,2,3,4,3,3,3,0,4,3,4,3,1,3,1,2,1,1,1,3,3,2026-03-07T23:25:49.605423,claude-opus-4-6,anthropic,count-dataset-tokens,5,Task is a data retrieval/counting workflow with no code changes required; effort is effectively contained to a single script/command sequence.,5,"The prompt explicitly identifies the dataset, subset cues from the README, target domain, tokenizer, and output file path.",1,No repository codebase changes are needed; actions are isolated to one-off commands and writing one answer file.,2,"Minimal sandbox with internet access; required Python packages had to be installed, but no multi-service or complex orchestration was involved.",2,Primarily straightforward Python scripting using Hugging Face datasets/transformers APIs and basic shell commands.,2,"There is no formal test suite, but the task has a clear validation target via deterministic token counting and checking /app/answer.txt contents.",3,"Relies on external Hugging Face dataset access plus datasets/transformers/tokenizer assets, but dependencies are standard and easy to install.",1,The working directory is essentially empty; there is no local codebase to navigate beyond the task instructions and fetched dataset metadata.
tune-mjcf,1,4,5,3,4,4,0,4,4,5,3,1,4,0,1,4,4,3,2,3,2026-03-07T23:26:14.278368,claude-opus-4-6,anthropic,tune-mjcf,4,"The task is isolated to producing /app/model.xml based on a single reference MJCF, with likely edits concentrated in one XML file.",5,"The prompt explicitly names /app/model_ref.xml, /app/model.xml, and /app/eval.py, so the relevant entry points are immediately clear.",1,Changes are confined to a tuned model file and do not impact a broader application or shared modules.,1,"The environment is minimal: just one reference XML and one evaluation script in /app, ready to run directly with Python/MuJoCo.",2,The core work is MJCF/XML tuning with a simple Python evaluator; no complicated multi-language build system is involved.,4,"The provided eval.py gives clear correctness and speed checks, including tolerance-based state comparison and timing benchmarks with explicit pass/fail assertions.",3,"It depends on MuJoCo and a built-in cable plugin, which is more specialized than standard Python-only tasks but still not a large dependency tree.",1,"The codebase is tiny, consisting essentially of two files and a very small task surface area."
constraints-scheduling,2,4,3,4,3,4,0,5,4,5,3,1,4,0,2,4,5,4,4,2,2026-03-07T23:25:49.820035,claude-opus-4-6,anthropic,constraints-scheduling,5,The task is effectively contained to creating a single output file (/app/meeting_scheduled.ics); no existing source modules need modification.,5,"The prompt clearly specifies the inputs, constraints, and exact output file to create, so the work target is explicit.",1,Producing the required ICS file is isolated and does not require changing shared code or existing inputs.,1,"The environment is minimal: three ICS files in /app, no services, build steps, or orchestration required.",1,This can be solved with basic shell or simple scripting and straightforward ICS text generation; no complex language features are needed.,2,"There are likely hidden tests with clear output requirements, but no visible test suite or local validation harness is provided in the workspace.",1,There are no project dependencies beyond standard command-line tooling / basic scripting for parsing text files.,1,"The workspace is tiny, containing only three input calendar files and no broader codebase to navigate."
extract-moves-from-video,1,3,4,3,4,3,0,3,3,4,4,1,3,1,2,3,4,2,4,3,2026-03-07T23:25:53.852016,claude-opus-4-6,anthropic,extract-moves-from-video,5,"There is no local codebase to modify; the task is an execution/transcription workflow culminating in one output file, so the effective work product is a single artifact rather than spread code changes.",5,"The problem statement is explicit: download one specific YouTube video, transcribe gameplay text, and write /app/solution.txt with moves one per line.",1,"Producing the requested output file is isolated and does not affect any existing modules, services, or shared project code because the workspace is essentially empty.",2,"The runtime is simple and sandboxed with an empty /app directory, but the task depends on external network access to YouTube and missing common media tooling, adding minor setup friction.",1,This is primarily a shell/Python automation task with straightforward scripting rather than a complex compiled or multi-language implementation stack.,1,"No repository tests, fixtures, or validation scripts are present; success appears to be judged only by whether /app/solution.txt is created correctly.",2,"The workspace has no declared project dependencies, but accomplishing the task may require external utilities or Python packages for video retrieval/OCR that are not preinstalled.",1,The codebase is effectively nonexistent here: /app is empty and there are no source files or project structure to navigate.
cancel-async-tasks,1,4,4,4,3,4,1,4,5,4,3,1,5,1,1,5,4,4,3,2,2026-03-07T23:25:47.808474,claude-opus-4-6,anthropic,cancel-async-tasks,5,"The task is implemented entirely in a single new file, /app/run.py, with one function as the clear solution surface.",5,"The user request explicitly names the function signature and exact file path, so the implementation target is unambiguous.",1,"This is an isolated utility function in an otherwise empty workspace, with no downstream modules or shared code affected.",1,"The environment is a bare /app directory with system Python available and no extra setup, services, or build steps required.",2,"The solution uses Python asyncio concurrency and cancellation handling, which is slightly more complex than basic scripting but still straightforward Python.",2,"There is no built-in test suite, but the function can be validated easily with small ad hoc Python scripts and clear observable behavior.",1,The implementation relies only on the Python standard library and has no external package or system dependency requirements.,1,"The workspace is effectively empty before implementation, so the relevant codebase size is tiny."
extract-elf,1,4,4,4,4,3,0,4,4,4,4,1,5,0,2,3,4,2,4,3,2026-03-07T23:25:54.015642,claude-opus-4-6,anthropic,extract-elf,5,The environment is just a single compiled ELF binary plus a tiny source file; the solution is likely one standalone script with no multi-file code changes.,5,"The problem statement explicitly asks for extract.js reading /app/a.out and producing JSON, so the implementation entry point is completely clear.",1,Any work is isolated to creating one extraction script; there are effectively no internal project components that would be impacted by changes.,1,"Very simple sandbox: one binary, Node available, standard ELF utilities present, and no multi-service or custom setup required.",3,"The script itself can be plain Node.js, but understanding ELF sections/segments, relocations, and mapped memory contents requires moderate binary-format reasoning.",2,"There is no visible local test suite; validation is implied by the task contract and output format, so feedback likely comes mainly from hidden tests.",1,No project dependency tree is present; likely only Node standard library and existing system tools like readelf/objdump are needed.,1,"The codebase is tiny: only two files in the workspace, with the binary being small and the source file minimal."
merge-diff-arc-agi-task,1,3,3,4,4,3,0,4,4,4,4,2,3,0,2,4,4,3,4,2,2026-03-07T23:26:02.389125,claude-opus-4-6,anthropic,merge-diff-arc-agi-task,5,"The requested work is concentrated in a single output file, /app/repo/algo.py, with only minimal repository/branch setup metadata around it.",5,"The prompt explicitly names the target repo path, required branches, merge target, required file, and function name, so the entry point is very clear.",1,Changes are isolated to creating the repo state and implementing one algorithm file; there is no evidence of broader shared components affected.,2,"The environment is tiny and self-contained, but it is unusual because git was expected yet unavailable, requiring manual handling of bundle contents and repository placeholders.",1,The substantive implementation is a small Python function over 2D integer arrays with straightforward data processing.,3,"There is no formal test runner, but examples.json provides clear input/output cases that allow direct verification of algo.py behavior.",1,No external libraries or package manifests are involved; the solution can be implemented with Python standard library only.,1,"The workspace contains only a couple of bundles and an examples file, so the effective codebase is extremely small."
modernize-scientific-stack,3,5,2,2,1,2,1,5,4,5,1,1,5,1,2,3,3,2,2,2,2026-03-07T23:26:01.686626,claude-opus-4-6,anthropic,modernize-scientific-stack,4,"The requested work is highly localized: create one new modern script and one dependency file, with no need to modify the legacy module or other packages.",5,"The problem statement explicitly names the legacy file, the new file to create, the input CSV/config, and the exact required output behavior.",1,Changes are isolated to newly created top-level files and should not affect the existing legacy code because it must remain untouched.,1,This is a very simple single-project sandbox under /app with a few data/config files and already-available Python 3 scientific packages.,2,"The solution is straightforward modern Python using pandas, pathlib, and configparser; no compiled code or complex framework patterns are involved.",1,"There are no visible tests or validation scripts in the environment, so correctness must be inferred from the problem statement and manual execution.",2,"Dependencies are limited to common scientific Python packages such as numpy, pandas, and matplotlib/scipy with simple version constraints.",1,"The codebase is tiny: only a handful of files are present, centered on one legacy script, one config, one CSV, and an old requirements file."
dna-insert,2,4,5,4,5,4,0,5,3,4,4,1,4,0,2,4,4,3,4,3,2026-03-07T23:25:55.791530,claude-opus-4-6,anthropic,dna-insert,5,Only a single FASTA file is present; the task is fully contained to designing one primer pair from the sequence diff.,5,"The problem statement directly names sequences.fasta and the desired output primers.fasta, making the entry point explicit.",1,This is an isolated data-generation task with no code modules or downstream components to modify.,1,The environment is a single-directory workspace with one input file; only a standard CLI utility (oligotm/primer3) was needed.,1,The task mainly involves simple sequence manipulation and shell/Python scripting rather than a complex language stack.,2,"There is no formal test suite, but constraints are clear and validation can be done directly with sequence diffing and oligotm Tm calculations.",2,There are almost no project dependencies; the only notable external dependency is primer3/oligotm for Tm calculation.,1,The workspace contains essentially one file and no real codebase to navigate.
mteb-leaderboard,1,4,5,3,4,2,0,4,3,4,3,2,3,0,2,2,2,1,4,3,2026-03-07T23:26:02.608712,claude-opus-4-6,anthropic,mteb-leaderboard,5,No codebase exists locally; the task reduces to identifying one external leaderboard result and writing a single output file.,5,The prompt explicitly states the target artifact (/app/result.txt) and the exact information to retrieve (top Scandinavian MTEB model by Mean (Task)).,1,"Only a single output file is affected, with no interacting modules or downstream code paths in the environment.",2,"Local environment is nearly empty, but the task depends on interrogating an external Hugging Face/Gradio leaderboard over the network.",1,This can be solved with simple shell/Python HTTP requests and file writing; no complex language features or build systems are involved.,1,There are no local tests or validation scripts visible; success is inferred only from producing the requested file content.,2,"There are no project dependencies in /app, but the task relies on external web services and leaderboard data formats that may shift over time.",1,"The working directory is empty (0 files), so there is effectively no local codebase to inspect or modify."
install-windows-3.11,2,4,4,3,4,4,0,4,4,4,4,3,4,0,4,4,5,3,4,5,2026-03-07T23:25:56.456226,claude-opus-4-6,anthropic,install-windows-3.11,4,The task is mostly operational and likely centered on 1-2 launch/config files or commands for QEMU plus a small nginx/noVNC setup rather than changes across a large codebase.,5,"The prompt explicitly states the required components: start QEMU with the provided disk image, configure VNC :1/5901, snapshot mode, keyboard control interfaces, and expose remote access via nginx on port 80.",2,Changes are fairly isolated to VM launch parameters and lightweight web/VNC proxy configuration; there is little evidence of broader application coupling.,4,"This is a multi-process runtime setup involving QEMU, VNC, websockify/noVNC, and nginx, with version sensitivity around the Windows 3.11 image and QEMU compatibility.",2,"The work is primarily shell/process orchestration and service configuration, with no substantial application code or complex compiled-language development required.",2,"There is no visible project test suite; validation appears to rely on manual/service-level checks such as listening ports, background processes, and remote connectivity behavior.",4,"The environment depends on several external system packages and services (QEMU, nginx, websockify/noVNC), and the prompt mentions compatibility constraints with a specific QEMU version for the provided image.",1,The working directory is minimal—essentially just the disk image and no meaningful source tree—so there is almost no codebase to navigate.
feal-differential-cryptanalysis,1,4,5,5,4,2,0,4,4,5,5,2,5,0,2,2,3,1,5,3,2026-03-07T23:25:54.485116,claude-opus-4-6,anthropic,feal-differential-cryptanalysis,4,"The task explicitly says to implement the attack in /app/attack.py, and the cipher logic to study is concentrated in the single related file /app/feal.py.",5,The problem statement directly names the target artifact and function signature: implement attack(encrypt_fn) in /app/attack.py to recover key[5].,1,"This is an additive, isolated change: writing an attack script should not require modifying the cipher implementation or shared infrastructure.",1,"The environment is extremely simple: a single Python file in /app with no visible services, build system, or extra configuration.",2,"The work is in straightforward Python, but it involves some cryptanalytic reasoning and bitwise manipulation beyond trivial scripting.",1,"No tests, harness files, or validation framework are present in the workspace, so correctness feedback appears minimal or external.",1,The visible code only imports the Python standard-library random module and has no external dependency manifests.,1,The codebase is tiny: only one visible source file (/app/feal.py) and roughly a few dozen lines of actual implementation.
video-processing,1,3,4,4,4,4,0,4,4,4,4,1,3,0,2,4,3,3,4,3,2026-03-07T23:26:12.797666,claude-opus-4-6,anthropic,video-processing,5,The task requires creating a single new script at /app/jump_analyzer.py; there is no existing multi-file codebase to modify.,5,"The problem statement explicitly names the required script path, input video, allowed libraries, and exact output file/fields.",1,Changes are isolated to one standalone script with no downstream application components or shared modules affected.,1,"The environment is extremely simple: a single directory with one example MP4 and a script to be written, with no services or build orchestration.",2,Implementation is in Python using cv2/numpy/toml; video analysis adds some algorithmic difficulty but the language/toolchain itself is straightforward.,2,"There is an example video for manual development, but no visible formal test suite, harness, or in-repo validation scripts.",1,"Only three allowed libraries are mentioned (toml, cv2, numpy), with no broader dependency tree or version-management complexity visible.",1,The workspace effectively contains a single example video and no substantive source code; total file count is one before adding the solution.
pypi-server,2,5,3,3,3,3,1,5,4,5,3,3,5,1,4,3,3,3,4,4,2026-03-07T23:26:07.824238,claude-opus-4-6,anthropic,pypi-server,4,"Task appears isolated to creating a small new Python package plus simple package index files/server setup, likely in 1-2 closely related files/directories.",5,"Problem statement is explicit: create package `vectorops` version `0.1.0`, expose `dotproduct` in top-level `__init__.py`, and make it installable from `http://localhost:8080/simple`.",1,"This is a greenfield setup in an empty `/app` directory, so changes are isolated with essentially no downstream coupling.",2,"Environment is minimal and empty; however, accomplishing the task requires packaging artifacts and a local simple PyPI-style server on port 8080. Available tools are basic but sufficient.",1,"Primary work is straightforward Python packaging and a simple numeric function, with only light shell/server usage.",2,"No project tests or harness are present, but validation is relatively clear via `pip install --index-url ... vectorops==0.1.0` and import/run behavior.",2,Very few dependencies are needed. `setuptools` and `wheel` are present; optional packaging helpers like `build` or `pypiserver` are absent but not strictly necessary due to basic Python tooling and reachable network.,1,"The working directory is empty with zero files, so the codebase to understand is effectively tiny."
vulnerable-secret,1,3,4,4,3,1,1,4,3,5,3,1,3,1,2,3,2,2,3,2,2026-03-07T23:26:14.636629,claude-opus-4-6,anthropic,vulnerable-secret,5,Single small ELF executable with the exploit centered on one vulnerable input-handling routine and adjacent secret-print path.,4,"Problem statement points directly to interacting with one executable, and strings/disassembly quickly reveal gets()-based input handling and hidden secret output.",1,There is no broader codebase; any hypothetical fix would be isolated to this one binary/routine with no downstream modules.,1,"Very simple sandbox: one executable in /app, no build step, no services, and standard command-line interaction only.",4,Primary target is a compiled x86-64 ELF binary requiring reverse engineering / exploitation understanding rather than simple scripting.,1,No formal tests are present; validation is manual by running the binary and checking /app/results.txt.,1,Minimal runtime dependencies beyond glibc and standard Linux tooling; no package ecosystem or service dependencies involved.,1,Extremely small environment consisting of a single file/executable.
pytorch-model-recovery,3,5,4,3,2,3,1,5,4,5,3,1,5,1,2,4,4,3,3,3,2026-03-07T23:26:10.180802,claude-opus-4-6,anthropic,pytorch-model-recovery,4,"The task is effectively confined to reconstructing one model class and modifying only the output_layer weights/bias, with no broader codebase to change.",5,"The problem statement directly identifies the artifacts (/app/weights.pt, /app/dataset.pt) and required output (/app/model.pt), making the starting point explicit.",1,Changes are isolated to a single saved model artifact and the output_layer parameters; there are no other components or modules to impact.,1,The environment is a minimal single-directory sandbox with just two .pt files and PyTorch already available; no services or build steps are involved.,2,This is pure PyTorch/Python work with standard neural-network modules and TorchScript export; moderate framework knowledge is needed but no compiled or multi-language stack.,2,"There is no formal test suite, but the task has clear validation signals via state_dict loading, MSE comparison, and TorchScript artifact checks.",1,The task depends essentially only on PyTorch and serialized tensor files; no external packages or system-level dependencies were needed.,1,There is effectively no codebase to navigate—only dataset and weight files in the working directory.
mailman,2,4,4,3,3,4,1,4,4,4,4,3,4,1,4,4,4,2,4,4,2026-03-07T23:26:01.786336,claude-opus-4-6,anthropic,mailman,4,"Likely solution is confined to a small set of closely related system config files and service setup steps, mainly /etc/mailman3/mailman.cfg plus Postfix integration files.",5,"The problem statement names the exact stack and required config path, and /app/eval.py clearly shows expected behavior and verification targets.",2,Changes are mostly isolated to mail routing and Mailman list configuration; impact is limited to local mail delivery and one mailing list workflow.,4,"Requires coordinating two installed services (Postfix and Mailman3), service startup, MTA integration, aliases/routing, and persistent config in system directories.",2,Primary work is shell/sysadmin configuration with light Python-facing behavior via eval.py; no complex compiled-language development appears necessary.,4,"A concrete /app/eval.py script exists with end-to-end checks for direct delivery, list existence, and join confirmation behavior, giving clear pass/fail signals.",3,"Relies on standard but nontrivial packaged services and Python libraries (Postfix, Mailman3, zope/mailman internals), with some version-sensitive integration details.",1,The working directory is tiny (essentially just eval.py); most relevant complexity comes from system packages rather than a large in-repo codebase.
