instance_id,solution_complexity,test_edge_case_coverage,domain_knowledge_required,logical_reasoning_required,integration_complexity,test_comprehensiveness,side_effect_risk,fix_localization,information_completeness,entry_point_clarity,solution_hint,verification_difficulty,standard_pattern_available,problem_clarity,test_assertion_complexity
sphinx-doc__sphinx-7590,4,4,5,4,4,4,2,4,4,5,1,2,0,4,3
matplotlib__matplotlib-14623,2,2,4,3,3,2,3,5,5,4,0,2,0,5,1
django__django-16527,1,3,3,1,2,4,2,5,5,5,3,2,1,5,3
django__django-16032,3,2,4,4,4,3,2,4,5,4,1,2,0,4,2
pydata__xarray-2905,1,2,3,3,2,2,2,4,5,5,2,2,0,5,2
django__django-12708,1,2,4,3,3,3,2,5,4,5,1,3,0,4,3
django__django-15022,2,3,4,3,3,4,3,5,4,4,2,3,1,4,3
sympy__sympy-17655,1,1,4,3,2,2,2,5,5,5,1,2,1,5,1
sphinx-doc__sphinx-9367,1,2,3,2,2,2,2,5,4,5,1,2,1,5,1
pylint-dev__pylint-7080,1,2,4,3,2,2,2,5,5,4,1,3,0,4,3
astropy__astropy-8707,3,2,3,2,3,3,2,4,4,5,2,2,1,4,2
django__django-11734,3,2,5,4,4,2,2,4,4,4,0,2,0,4,3
pydata__xarray-4687,2,1,3,2,2,2,3,5,5,5,2,2,1,5,2
astropy__astropy-7671,2,2,2,2,2,2,2,5,5,5,3,2,1,5,2
django__django-11276,2,3,2,2,3,4,3,5,5,5,3,3,1,5,2
pallets__flask-5014,1,2,2,1,2,1,3,5,3,5,2,1,1,5,1
django__django-11333,2,2,3,2,3,2,2,5,4,5,3,3,1,5,2
django__django-11299,1,3,4,3,4,4,2,4,5,4,2,3,0,5,3
django__django-16819,2,1,4,4,3,1,2,4,2,4,1,3,0,2,1
pydata__xarray-4629,1,1,2,1,2,1,1,5,5,5,3,1,1,5,1
django__django-11149,3,3,4,3,3,4,3,5,4,4,1,3,0,4,3
django__django-14170,3,4,4,3,3,4,2,4,5,4,2,2,0,5,3
pytest-dev__pytest-7521,1,3,4,3,2,3,2,5,5,4,1,2,0,5,2
django__django-13089,2,2,3,2,2,2,1,5,4,5,2,3,1,5,3
django__django-13820,2,2,3,2,2,3,2,5,5,5,3,3,0,5,4
django__django-13344,3,3,4,4,3,4,2,4,4,4,1,3,0,4,3
scikit-learn__scikit-learn-10908,1,2,3,2,2,3,2,5,5,5,3,2,1,5,2
django__django-11400,3,3,4,3,3,4,3,5,4,5,2,3,1,4,3
django__django-13128,4,4,4,4,4,4,3,4,4,4,1,2,0,4,3
django__django-15382,2,2,4,4,3,2,2,4,4,4,1,2,0,4,2
sympy__sympy-12489,3,3,4,3,3,4,3,4,4,5,2,3,1,4,4
astropy__astropy-8872,2,2,4,3,2,2,2,5,4,4,0,2,0,4,2
astropy__astropy-14365,1,2,3,2,2,3,2,5,5,5,2,2,1,5,3
django__django-11292,2,2,3,2,3,2,2,5,3,5,2,2,1,4,3
sympy__sympy-18211,2,2,4,3,2,2,3,3,4,4,2,2,1,4,2
django__django-15814,1,1,4,2,3,1,2,5,5,5,3,2,0,5,2
django__django-12406,3,3,4,3,3,4,3,4,4,4,2,2,0,4,2
astropy__astropy-13398,4,3,5,3,4,4,4,4,5,4,3,3,0,5,3
sympy__sympy-23950,1,2,4,3,2,3,2,5,4,5,1,2,0,4,2
sphinx-doc__sphinx-9229,3,1,4,3,3,1,2,4,5,3,0,3,0,4,2
psf__requests-5414,1,2,3,2,2,2,2,5,5,5,2,2,1,5,1
psf__requests-1142,2,2,3,3,2,2,3,4,3,3,1,2,1,4,1
sphinx-doc__sphinx-9602,3,3,4,3,3,3,2,4,5,4,1,3,0,4,3
matplotlib__matplotlib-25122,1,2,3,2,2,3,2,5,5,5,3,2,1,5,3
django__django-14053,3,2,4,3,3,2,2,4,5,4,1,3,0,5,2
django__django-12304,1,1,3,1,2,2,2,5,5,5,3,2,1,5,2
django__django-12754,3,1,4,3,3,2,2,4,5,3,2,2,0,5,3
sphinx-doc__sphinx-7889,1,2,3,2,2,2,2,5,4,5,2,2,1,4,2
django__django-11206,2,2,3,3,2,2,3,5,5,5,2,2,1,5,1
sphinx-doc__sphinx-8551,3,2,4,4,4,3,3,4,5,4,1,3,0,4,3
django__django-13112,2,2,4,3,3,3,2,5,4,3,1,2,0,4,3
sympy__sympy-24539,2,3,3,2,1,3,2,5,5,5,2,2,1,5,2
django__django-16255,1,2,2,1,2,2,1,5,5,5,3,2,1,5,2
django__django-14792,1,3,4,3,3,4,3,3,5,4,2,3,0,4,2
matplotlib__matplotlib-24637,2,1,4,2,3,2,1,5,5,4,2,2,1,5,2
pydata__xarray-4966,2,3,4,3,2,4,3,5,5,5,3,3,1,5,3
pydata__xarray-6721,1,2,4,3,2,2,2,5,5,5,2,3,1,4,3
django__django-13807,2,2,3,1,3,2,1,5,5,5,3,2,1,5,3
matplotlib__matplotlib-26466,2,2,3,2,3,2,1,5,5,4,2,2,1,5,3
matplotlib__matplotlib-20859,1,1,3,1,2,1,2,5,5,5,3,2,1,5,1
sphinx-doc__sphinx-8269,1,2,4,3,2,2,2,5,5,4,2,3,1,5,4
astropy__astropy-13033,2,2,4,3,2,2,1,5,5,5,1,2,0,4,2
django__django-16263,5,3,4,4,5,4,3,4,4,4,2,3,0,4,3
django__django-11119,1,2,3,2,2,1,2,5,4,5,2,2,1,4,1
pydata__xarray-7393,2,2,4,3,2,2,2,4,5,3,1,2,0,5,2
mwaskom__seaborn-3187,2,2,4,3,3,2,2,5,5,5,2,3,0,4,2
pytest-dev__pytest-5262,1,1,3,2,2,1,2,5,5,5,2,2,1,5,1
pytest-dev__pytest-7571,2,2,3,3,2,3,2,5,5,4,1,2,1,5,3
astropy__astropy-14369,3,3,4,3,3,3,2,5,5,4,1,2,0,5,2
sphinx-doc__sphinx-8475,1,2,3,2,2,2,2,5,4,5,3,3,1,5,3
django__django-15731,1,1,2,1,2,2,2,5,5,5,3,2,1,5,2
pytest-dev__pytest-5809,1,1,2,1,1,1,1,5,5,5,3,2,1,5,3
django__django-12774,2,4,3,2,2,4,2,5,5,5,2,2,1,5,3
scikit-learn__scikit-learn-13328,1,2,3,2,2,1,1,5,5,5,2,2,1,5,1
sympy__sympy-19637,2,2,3,2,2,2,1,5,4,5,1,2,1,4,1
django__django-14376,2,3,2,1,2,4,2,5,5,5,3,2,1,5,2
scikit-learn__scikit-learn-14496,2,2,2,1,2,2,1,4,5,5,3,2,1,5,2
django__django-12308,2,4,3,2,2,4,2,5,4,5,3,2,0,5,2
sympy__sympy-24562,2,3,4,3,2,3,3,5,4,4,0,2,0,4,2
astropy__astropy-12907,1,3,4,4,3,4,2,4,4,5,1,2,0,5,2
pydata__xarray-4356,1,3,3,2,2,4,2,5,5,5,3,2,1,5,2
django__django-11820,2,3,4,3,3,3,2,5,4,4,1,2,0,4,2
django__django-15863,1,2,3,2,2,2,2,5,5,5,2,2,1,5,1
django__django-14771,2,2,4,3,2,3,2,5,4,4,2,3,0,4,4
django__django-11066,1,2,3,2,2,3,1,5,5,5,3,3,1,5,3
pydata__xarray-3305,2,2,3,2,3,3,1,3,5,5,1,1,1,5,2
matplotlib__matplotlib-23412,1,2,4,3,2,3,2,5,5,5,1,2,0,5,3
scikit-learn__scikit-learn-14087,2,3,4,3,3,3,2,5,5,5,1,2,0,5,2
django__django-15930,2,2,4,3,3,2,2,4,5,4,1,2,0,4,2
django__django-12125,1,2,4,3,2,3,2,5,5,4,1,2,0,5,2
scikit-learn__scikit-learn-15100,2,4,3,2,1,4,2,5,5,5,2,2,1,5,2
sphinx-doc__sphinx-8265,3,1,4,3,2,1,2,5,4,4,1,2,0,4,1
django__django-11532,2,2,3,2,3,2,2,5,5,5,3,2,1,5,3
django__django-11477,1,3,4,4,3,4,2,5,2,4,1,2,0,3,2
django__django-9296,1,1,2,1,2,2,2,5,4,5,3,1,1,5,2
sphinx-doc__sphinx-8459,1,1,4,3,3,2,2,5,5,4,1,3,0,5,3
sympy__sympy-14711,1,2,3,2,1,1,2,5,4,5,1,2,1,4,1
sympy__sympy-18698,3,1,4,3,3,2,2,4,4,3,1,2,0,4,2
django__django-16560,3,3,3,2,3,4,3,4,3,5,2,2,1,4,3
scikit-learn__scikit-learn-26323,2,2,4,3,2,3,2,5,5,5,2,2,0,5,2
django__django-11163,1,3,2,1,2,4,2,5,5,5,3,1,1,5,1
scikit-learn__scikit-learn-14710,2,2,3,2,3,2,1,5,5,5,3,2,1,5,1
django__django-13670,1,3,2,1,1,3,3,5,5,5,2,2,1,5,2
django__django-13109,1,3,3,2,2,4,3,5,5,5,3,2,1,5,3
astropy__astropy-14539,1,2,4,3,2,3,2,5,5,5,1,2,0,4,3
sphinx-doc__sphinx-9658,2,2,4,3,3,2,2,5,5,4,1,3,0,4,3
django__django-15161,1,2,3,2,2,3,2,4,3,5,2,2,1,4,3
sympy__sympy-13647,1,2,4,3,2,2,2,5,5,5,1,2,0,5,2
django__django-11964,2,2,4,3,2,3,4,5,5,4,1,2,0,5,2
django__django-11749,2,3,4,3,3,3,2,5,5,5,2,2,0,5,2
pydata__xarray-3095,3,2,4,3,3,2,2,4,5,4,1,2,0,5,2
sphinx-doc__sphinx-8120,2,2,4,3,3,3,3,5,5,4,1,3,0,4,4
scikit-learn__scikit-learn-14053,1,2,3,3,2,3,1,5,5,5,1,2,0,5,2
scikit-learn__scikit-learn-13779,1,2,3,2,2,3,2,5,4,5,2,2,1,5,2
psf__requests-1724,1,1,2,2,2,1,2,5,5,5,2,2,1,5,1
django__django-12325,2,3,4,3,3,3,2,4,4,4,1,2,0,4,3
scikit-learn__scikit-learn-14141,1,1,2,1,1,1,1,5,3,5,2,1,1,4,1
matplotlib__matplotlib-26113,1,2,3,2,2,3,3,5,5,5,3,2,1,5,3
django__django-14434,2,2,4,2,3,3,2,4,3,4,2,2,1,4,3
sphinx-doc__sphinx-9320,2,2,3,2,2,2,1,5,4,5,1,2,1,5,3
pylint-dev__pylint-4604,2,3,4,3,3,3,2,5,5,4,1,2,0,5,2
django__django-12276,1,2,3,2,2,3,2,5,4,5,3,2,1,5,2
django__django-10973,2,3,3,2,2,4,2,5,3,5,3,3,1,4,4
sympy__sympy-16886,1,2,1,1,1,3,2,5,5,5,3,1,1,5,1
matplotlib__matplotlib-22865,2,4,4,3,3,4,2,5,5,5,0,2,0,5,3
sphinx-doc__sphinx-8638,1,1,4,4,3,2,3,4,4,3,1,3,0,4,3
pytest-dev__pytest-10051,2,3,3,2,3,4,2,5,5,5,3,2,1,5,3
scikit-learn__scikit-learn-13124,1,2,4,3,2,2,3,5,5,4,2,2,0,5,2
django__django-16429,1,4,3,2,2,4,1,5,5,5,3,2,1,5,3
django__django-11138,3,3,4,3,4,3,3,4,5,5,2,4,0,4,3
django__django-13410,2,3,2,1,2,4,2,5,5,5,3,2,1,5,3
django__django-16612,1,4,3,2,2,4,1,5,5,5,3,2,1,5,3
sympy__sympy-20428,1,1,4,3,3,2,2,4,5,4,2,2,0,5,2
django__django-14855,1,2,3,2,2,3,2,5,4,5,3,3,1,5,3
django__django-15252,3,3,4,3,3,3,3,4,4,5,2,3,0,4,4
django__django-11211,2,1,4,4,3,2,2,5,4,4,1,3,0,4,2
astropy__astropy-14309,1,2,3,3,2,1,2,5,5,5,2,2,1,5,1
django__django-13810,2,2,4,3,3,2,2,5,4,5,2,3,0,4,3
sympy__sympy-14531,2,2,4,3,3,3,3,4,4,4,1,2,0,4,2
django__django-13406,1,3,4,4,3,4,2,4,5,4,1,2,0,5,2
sympy__sympy-14248,3,3,4,3,3,4,2,3,5,4,1,2,1,5,2
django__django-14140,2,3,3,2,3,4,3,5,5,5,3,2,1,5,3
sympy__sympy-13974,3,3,4,3,3,4,2,5,5,4,1,2,0,4,2
sphinx-doc__sphinx-9711,2,3,3,2,2,3,2,5,5,5,2,2,1,5,3
sympy__sympy-19495,2,2,4,4,3,2,3,5,5,4,1,2,0,4,2
django__django-11179,1,1,3,2,2,2,3,5,4,5,3,2,1,5,2
sphinx-doc__sphinx-10466,2,2,3,2,2,3,2,5,4,5,3,2,1,5,3
django__django-16595,1,1,3,2,2,2,2,5,5,5,3,2,1,5,2
sympy__sympy-13372,2,1,4,2,3,1,2,5,5,5,3,2,0,5,1
pydata__xarray-6599,2,2,4,3,2,2,2,5,5,4,1,2,0,4,2
django__django-15268,3,2,4,3,3,3,2,4,4,4,2,3,0,5,3
sphinx-doc__sphinx-8593,4,3,4,3,4,4,2,4,5,4,1,2,0,4,3
sympy__sympy-20916,1,4,4,3,2,4,2,4,3,4,1,2,0,3,2
sympy__sympy-21612,1,1,4,3,2,1,2,5,5,5,1,2,0,5,1
django__django-11790,1,2,4,3,2,2,2,5,4,4,1,2,0,4,1
pytest-dev__pytest-7205,1,2,3,1,2,3,1,5,5,5,3,2,1,5,3
matplotlib__matplotlib-24026,2,1,4,3,2,2,2,5,5,5,2,2,0,5,1
sympy__sympy-15875,2,2,4,4,3,2,3,5,4,4,1,2,0,4,1
django__django-16901,2,2,4,4,3,3,2,5,5,4,2,3,0,5,3
django__django-11728,3,3,3,3,2,4,2,5,4,4,1,2,1,4,2
