instance_id,codebase_scope,atypicality,information_completeness,error_specificity,problem_clarity,debugging_complexity,similar_issue_likelihood,logical_reasoning_required,expected_behavior_clarity,domain_knowledge_required,verification_difficulty,backwards_compatibility_risk,solution_hint,standard_pattern_available,reproduction_clarity
scikit-learn__scikit-learn-11310,1,2,4,3,4,1,1,2,5,3,2,2,2,1,5
scikit-learn__scikit-learn-11578,1,2,5,4,5,2,1,2,5,4,3,2,3,1,5
scikit-learn__scikit-learn-12585,1,3,5,5,5,2,1,2,4,3,2,3,3,1,5
scikit-learn__scikit-learn-12682,2,2,3,4,4,2,1,2,3,3,2,2,2,1,4
scikit-learn__scikit-learn-12973,1,2,4,4,5,1,1,2,4,3,2,3,3,1,3
scikit-learn__scikit-learn-13124,2,3,5,4,4,2,1,3,4,4,2,4,2,0,5
scikit-learn__scikit-learn-13135,1,2,5,5,5,2,1,2,4,3,2,1,2,1,5
scikit-learn__scikit-learn-13142,2,3,5,5,5,3,1,3,5,4,2,2,1,0,5
scikit-learn__scikit-learn-13328,1,2,5,5,5,2,1,2,5,3,2,1,2,1,5
scikit-learn__scikit-learn-13439,1,1,4,3,5,1,1,1,4,2,1,2,2,1,5
scikit-learn__scikit-learn-13496,1,1,4,3,5,1,1,2,5,3,2,2,3,1,4
scikit-learn__scikit-learn-13779,1,2,4,5,4,2,1,2,4,3,2,1,2,1,5
scikit-learn__scikit-learn-14053,1,2,4,4,5,2,1,3,3,3,2,1,0,1,5
scikit-learn__scikit-learn-14087,1,3,5,5,4,2,1,3,4,4,2,1,1,0,5
scikit-learn__scikit-learn-14141,1,1,3,3,4,1,1,1,4,3,1,1,2,1,2
scikit-learn__scikit-learn-14496,1,1,5,5,5,1,1,2,5,2,2,1,3,1,5
scikit-learn__scikit-learn-14629,2,3,5,5,5,2,1,3,4,4,2,2,2,0,5
scikit-learn__scikit-learn-14710,1,2,5,5,5,2,1,2,4,4,2,1,3,1,5
scikit-learn__scikit-learn-14894,1,3,5,5,5,2,1,3,4,4,2,1,1,1,5
scikit-learn__scikit-learn-14983,1,2,5,5,5,1,1,2,5,3,1,1,1,1,5
scikit-learn__scikit-learn-15100,1,3,5,5,5,2,1,3,5,3,2,2,1,1,5
scikit-learn__scikit-learn-25102,3,3,4,4,4,3,1,3,4,4,2,3,2,0,5
scikit-learn__scikit-learn-25232,2,2,4,3,4,2,1,2,4,3,2,2,2,1,3
scikit-learn__scikit-learn-25747,2,3,5,5,4,3,1,3,4,4,2,2,1,0,5
scikit-learn__scikit-learn-25931,1,3,5,5,5,2,1,3,5,4,2,1,2,1,5
scikit-learn__scikit-learn-25973,2,3,5,5,4,3,1,3,4,4,2,2,0,0,5
scikit-learn__scikit-learn-26194,1,3,4,4,4,2,1,3,4,4,2,3,2,0,5
scikit-learn__scikit-learn-26323,2,3,5,4,5,2,1,3,5,4,2,2,2,0,5
scikit-learn__scikit-learn-9288,2,3,5,4,4,4,1,4,5,4,3,2,0,0,5
sphinx-doc__sphinx-10323,2,3,5,4,4,2,1,3,5,4,2,3,2,0,5
sphinx-doc__sphinx-10435,2,3,5,5,4,2,1,2,4,4,3,2,2,0,5
sphinx-doc__sphinx-10449,2,3,5,4,5,3,1,3,5,4,2,2,1,0,5
sphinx-doc__sphinx-10466,1,1,4,4,4,2,1,2,4,3,2,2,3,1,4
sphinx-doc__sphinx-10614,2,3,5,4,5,2,1,3,4,4,3,2,2,0,5
sphinx-doc__sphinx-10673,2,3,4,4,4,3,1,3,4,4,3,3,1,0,5
sphinx-doc__sphinx-11445,3,4,5,4,4,4,1,4,4,4,3,3,1,0,5
sphinx-doc__sphinx-11510,3,3,5,4,5,4,1,4,5,4,2,3,1,0,5
sphinx-doc__sphinx-7440,2,3,4,4,4,2,1,3,4,4,2,3,1,0,5
sphinx-doc__sphinx-7454,2,3,5,4,5,3,1,3,5,4,2,2,1,0,5
sphinx-doc__sphinx-7462,1,3,5,5,4,2,1,3,4,4,2,1,1,0,5
sphinx-doc__sphinx-7590,2,4,4,5,4,3,1,4,4,5,3,2,1,0,5
sphinx-doc__sphinx-7748,2,3,2,3,3,2,1,3,3,4,3,3,1,0,2
sphinx-doc__sphinx-7757,2,3,4,4,4,3,1,3,4,4,2,1,0,0,5
sphinx-doc__sphinx-7889,1,3,4,4,4,3,1,3,3,4,3,2,1,0,5
sphinx-doc__sphinx-7910,1,3,4,4,4,2,1,3,4,4,3,2,2,0,3
sphinx-doc__sphinx-7985,2,3,4,4,4,2,1,3,3,4,3,3,1,0,5
sphinx-doc__sphinx-8035,2,2,3,3,4,2,1,3,4,4,3,2,2,1,2
sphinx-doc__sphinx-8056,2,3,4,4,4,3,1,3,4,4,3,2,1,0,4
sphinx-doc__sphinx-8120,2,3,5,4,5,3,1,3,5,4,3,2,0,0,5
sphinx-doc__sphinx-8265,2,3,4,4,5,3,1,3,5,4,2,2,0,0,5
sphinx-doc__sphinx-8269,2,2,5,4,5,2,1,3,5,3,3,2,2,1,5
sphinx-doc__sphinx-8459,2,3,5,4,5,3,1,3,5,4,3,2,0,0,5
sphinx-doc__sphinx-8475,1,2,4,4,5,1,1,2,5,3,3,1,3,1,4
sphinx-doc__sphinx-8548,2,3,2,3,3,3,1,3,3,4,3,2,1,0,2
sphinx-doc__sphinx-8551,2,4,4,4,4,3,1,4,5,4,3,2,1,0,5
sphinx-doc__sphinx-8593,2,3,4,3,4,3,1,3,4,4,3,2,0,0,5
sphinx-doc__sphinx-8595,2,3,4,4,5,2,1,3,5,4,2,2,1,0,5
sphinx-doc__sphinx-8621,1,3,5,5,5,2,1,4,4,3,2,3,1,0,5
sphinx-doc__sphinx-8638,3,3,4,3,4,4,0,3,4,4,4,3,1,0,4
sphinx-doc__sphinx-8721,2,3,3,3,4,3,1,3,4,4,3,2,1,0,3
sphinx-doc__sphinx-9229,3,4,5,4,4,4,1,4,4,4,3,2,0,0,5
sphinx-doc__sphinx-9230,2,3,4,4,4,3,1,3,5,4,2,2,0,0,4
sphinx-doc__sphinx-9258,3,3,3,2,4,3,1,3,4,4,3,2,1,0,4
sphinx-doc__sphinx-9281,2,3,4,4,5,3,1,3,5,4,2,2,1,1,5
sphinx-doc__sphinx-9320,1,2,4,4,5,2,1,2,5,3,2,1,1,1,5
sphinx-doc__sphinx-9367,1,2,4,4,5,2,1,2,5,3,2,1,2,1,5
sphinx-doc__sphinx-9461,2,4,5,4,4,3,1,4,4,4,3,2,2,0,5
sphinx-doc__sphinx-9591,2,3,5,3,4,3,1,3,4,4,3,2,0,0,5
sphinx-doc__sphinx-9602,2,3,5,4,4,3,1,3,4,4,3,2,1,0,5
sphinx-doc__sphinx-9658,2,4,5,4,4,4,1,4,5,4,4,3,1,0,5
sphinx-doc__sphinx-9673,3,4,4,3,4,3,1,4,3,4,3,2,0,0,4
sphinx-doc__sphinx-9698,1,3,4,4,4,2,1,3,4,4,2,1,1,0,5
sphinx-doc__sphinx-9711,1,1,5,5,5,1,1,2,5,2,2,1,2,1,5
sympy__sympy-11618,1,2,4,4,4,2,1,2,5,3,2,2,2,1,5
sympy__sympy-12096,1,3,4,4,4,2,1,2,4,4,2,2,2,0,5
sympy__sympy-12419,3,3,4,4,5,3,1,4,5,4,2,2,0,0,5
sympy__sympy-12481,1,3,3,4,4,2,1,3,4,4,2,3,2,1,5
sympy__sympy-12489,2,3,4,4,4,2,1,3,4,4,3,3,2,1,3
sympy__sympy-13031,2,3,4,4,4,2,1,3,5,4,2,3,0,0,5
sympy__sympy-13091,3,2,4,4,5,2,1,2,5,2,3,3,3,1,4
sympy__sympy-13372,1,2,5,5,4,2,1,3,4,4,2,1,2,1,5
sympy__sympy-13480,1,1,4,5,5,1,1,2,3,3,2,1,2,1,5
sympy__sympy-13551,2,4,4,4,4,4,0,4,5,5,3,3,1,0,5
sympy__sympy-13615,2,3,3,4,4,3,1,3,5,4,2,2,0,0,5
sympy__sympy-13647,2,3,4,4,5,2,1,3,4,4,2,2,1,0,5
sympy__sympy-13757,2,3,4,4,5,3,1,3,4,4,2,2,0,1,5
sympy__sympy-13798,1,2,4,3,4,2,1,2,5,3,2,2,2,1,4
sympy__sympy-13852,2,4,4,4,4,3,1,4,5,5,4,3,2,0,5
sympy__sympy-13877,3,3,4,5,4,3,1,4,3,4,3,3,1,0,5
sympy__sympy-13878,2,2,5,4,5,2,1,2,4,4,3,2,3,1,5
sympy__sympy-13974,2,3,4,3,4,3,1,3,4,4,2,2,1,0,5
sympy__sympy-14248,2,2,4,4,5,3,1,3,4,4,2,1,1,1,5
sympy__sympy-14531,3,3,4,4,4,3,1,3,5,4,2,3,1,0,5
sympy__sympy-14711,1,2,4,5,4,2,1,2,3,3,2,2,1,1,5
sympy__sympy-14976,2,3,4,4,4,2,1,3,4,4,3,2,1,0,5
sympy__sympy-15017,1,2,4,4,5,2,1,2,5,3,2,2,2,1,5
sympy__sympy-15345,1,2,4,4,5,2,1,2,5,3,2,1,1,1,5
sympy__sympy-15349,1,3,4,4,4,2,1,3,4,4,2,2,1,1,5
sympy__sympy-15599,1,2,5,4,5,2,1,3,5,4,2,2,3,1,5
sympy__sympy-15809,1,2,4,4,5,2,1,2,5,3,2,4,3,1,5
sympy__sympy-15875,2,3,4,4,4,3,1,4,5,4,3,2,1,0,5
sympy__sympy-15976,1,3,5,4,4,2,1,3,4,4,3,1,0,0,5
sympy__sympy-16450,1,3,4,4,4,2,1,3,4,4,2,2,2,0,5
sympy__sympy-16597,2,3,3,3,4,2,1,3,3,4,3,3,1,0,5
sympy__sympy-16766,1,1,5,4,5,1,1,1,5,3,2,2,3,1,5
sympy__sympy-16792,2,3,5,5,5,2,1,3,5,4,2,2,2,0,5
sympy__sympy-16886,1,1,5,5,5,1,1,1,5,1,1,1,3,1,4
sympy__sympy-17139,2,3,4,5,4,2,1,3,3,4,2,2,1,1,5
sympy__sympy-17318,2,2,5,5,4,2,1,3,5,4,2,1,2,1,5
sympy__sympy-17630,2,3,5,5,5,2,1,3,4,4,2,2,2,0,5
sympy__sympy-17655,1,3,4,5,5,2,1,3,5,4,2,2,1,1,5
sympy__sympy-18189,2,3,4,4,4,3,1,4,5,4,2,2,0,0,5
sympy__sympy-18199,1,2,4,4,4,2,1,3,4,4,2,2,2,1,5
sympy__sympy-18211,2,2,4,4,4,2,1,3,5,4,2,2,2,1,5
sympy__sympy-18698,2,3,3,4,3,3,1,4,4,4,2,2,1,0,5
sympy__sympy-18763,1,2,4,4,5,2,1,3,5,4,2,2,2,1,5
sympy__sympy-19040,2,4,4,4,4,3,1,4,5,5,2,2,0,0,5
sympy__sympy-19346,1,2,4,4,4,2,1,2,4,3,2,2,1,1,5
sympy__sympy-19495,3,4,4,4,4,4,1,4,4,5,3,3,1,0,5
sympy__sympy-19637,1,2,4,5,4,2,1,3,3,3,2,1,1,1,5
sympy__sympy-19783,2,3,4,4,4,2,1,3,4,4,2,2,0,0,5
sympy__sympy-19954,2,3,5,5,4,3,1,4,3,4,3,1,1,0,5
sympy__sympy-20154,1,2,3,3,4,1,1,2,4,2,2,4,2,1,4
sympy__sympy-20428,3,4,5,5,4,3,1,4,5,5,3,2,2,0,5
sympy__sympy-20438,3,3,4,4,3,3,1,4,4,4,3,2,0,0,5
sympy__sympy-20590,3,3,4,4,4,3,1,3,4,3,2,2,2,1,5
sympy__sympy-20801,2,3,4,4,4,3,1,4,3,4,2,3,1,0,5
sympy__sympy-20916,2,3,3,4,4,2,1,3,5,4,2,1,0,0,3
sympy__sympy-21379,3,4,4,4,4,4,0,4,4,5,3,2,0,0,5
sympy__sympy-21596,2,3,4,4,4,4,0,4,5,4,3,2,1,0,5
sympy__sympy-21612,1,3,5,5,5,2,1,3,5,4,2,1,2,1,5
sympy__sympy-21847,1,3,4,4,4,2,1,3,5,4,2,2,1,0,5
sympy__sympy-21930,1,2,4,4,5,2,1,2,5,3,2,1,3,1,5
sympy__sympy-22080,2,4,4,4,4,3,1,4,4,4,2,2,1,0,5
sympy__sympy-22456,1,3,3,3,3,2,1,3,4,4,2,3,2,1,3
sympy__sympy-22714,2,4,4,5,4,3,1,4,4,4,2,2,1,0,5
sympy__sympy-22914,1,1,5,4,5,1,1,1,5,3,2,1,3,1,5
sympy__sympy-23262,1,2,5,5,5,2,1,2,5,3,2,2,1,1,5
sympy__sympy-23413,1,3,3,4,4,3,1,4,5,4,2,2,1,0,5
sympy__sympy-23534,1,3,4,4,4,2,1,3,5,4,2,2,1,0,5
sympy__sympy-23824,1,2,5,5,5,1,1,2,5,4,2,1,3,1,5
sympy__sympy-23950,2,3,4,5,4,2,1,3,3,4,2,2,1,0,5
sympy__sympy-24066,2,3,4,5,4,3,1,4,4,4,2,2,1,0,5
sympy__sympy-24213,2,3,4,5,4,3,1,3,3,4,2,2,1,0,5
sympy__sympy-24443,1,4,4,4,4,2,1,4,4,5,3,2,2,0,5
sympy__sympy-24539,1,2,5,4,5,2,1,2,4,3,2,2,2,1,5
sympy__sympy-24562,1,3,4,4,3,2,1,3,5,4,2,2,0,0,5
sympy__sympy-24661,2,3,4,4,5,3,1,3,5,4,2,2,2,0,5
