solution_hint,problem_clarity,solution_complexity,domain_knowledge_required,logical_reasoning_required,atypicality,verification_difficulty,standard_pattern_available,reasoning,_task_id,_model,_provider,_extracted_at,num_lines,num_pipes,log_lines
1,3,4,4,4,4,3,0,"This task requires understanding COBOL program logic and data formats (fixed-width records), then accurately translating to Python. The solver must comprehend COBOL's DATA DIVISION structures, file handling semantics, and numeric formatting conventions. The task involves reverse-engineering business logic from legacy code and ensuring byte-exact output compatibility, which is an unusual modernization pattern requiring specialized COBOL knowledge.",cobol-modernization,claude-opus-4-5-20251101,anthropic,2026-01-24T13:59:03.929919,166,0,2.2227164711475833
0,2,4,5,4,5,3,0,"This task requires deep knowledge of OCaml's garbage collector internals, specifically understanding the major heap sweeping implementation and run-length compression of free space. The solution involves finding a specific bug on line 650 of shared_heap.c where Whsize_hd(hd) should be replaced with wh - this is highly specialized debugging requiring understanding of OCaml runtime memory management. The task provides minimal hints about where the bug is located, making it extremely difficult to identify without extensive codebase familiarity.",fix-ocaml-gc,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:31.854960,8,0,0.9542425094393248
0,3,5,5,5,5,2,0,"This task requires implementing a custom compression algorithm that is the inverse of a given decompressor. The solution involves writing a sophisticated range coder with dynamic programming for optimal token selection, requiring deep knowledge of data compression theory, arithmetic coding, and algorithm design. While verification is straightforward (decompress and compare), the implementation itself is extremely complex with no standard pattern to follow.",write-compressor,claude-opus-4-5-20251101,anthropic,2026-01-24T14:01:03.719285,735,18,2.866877814337499
2,4,5,5,4,4,4,0,"This task requires deep expertise in multiple domains: Bayesian statistics, Gaussian processes, Stan probabilistic programming, R-to-Python translation, and ARM64 architecture-specific installation challenges. The solution involves complex tooling setup (building httpstan from source on ARM64), understanding subtle parameter name differences between RStan and PyStan (adapt_delta→delta, max_treedepth→max_depth, iter=warmup+samples), and optimizing the Stan model for memory efficiency. The combination of probabilistic programming expertise, cross-language translation, and platform-specific build issues makes this exceptionally difficult.",rstan-to-pystan,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:55.559933,260,0,2.416640507338281
2,4,5,5,4,5,4,0,"This task requires deep domain expertise in molecular biology (FRET, fusion proteins, antibody binding, SNAP tags, fluorescent proteins), bioinformatics APIs (PDB, FPBase, PubChem), and DNA codon optimization. The solution involves multiple API queries, complex protein sequence manipulation, and constrained DNA optimization with specific GC content requirements. The highly specialized nature of combining wet lab biology knowledge with programmatic sequence design makes this extremely atypical and difficult to verify without domain expertise.",protein-assembly,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:46.746376,184,0,2.2671717284030137
0,3,5,5,5,5,3,0,"This task requires reverse-engineering a rendered image to write a path tracing/ray tracing C program from scratch that reproduces it with 99% similarity. It demands deep knowledge of 3D graphics, ray-sphere intersection, lighting models, and camera projection - all while keeping the code under 2KB compressed. The solution involves implementing a complete ray tracer with spheres, checkerboard floor, shadows, and sky gradient, which is highly specialized computer graphics work with no standard pattern to follow for reverse-engineering an unknown image.",path-tracing,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:44.564028,192,2,2.285557309007774
2,4,4,4,4,4,2,0,"This task requires deep Vim expertise including macro recording syntax, escape sequences in setreg(), complex regex with capture groups, and understanding Vim's Ex command mode. The constraint of <200 keystrokes while processing 1M rows adds optimization complexity. The combination of specific macro format requirements, regex transformations (whitespace cleanup, field reversal, case conversion, delimiter changes), and headless execution mode makes this an unusual and specialized task.",large-scale-text-editing,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:38.676628,19,0,1.3010299956639813
1,3,4,4,3,2,4,1,"This task requires knowledge of fastText ML framework, data preprocessing for text classification, and hyperparameter tuning to meet size/accuracy constraints. The solution involves multiple steps: installing dependencies, cloning/building fastText, converting parquet data to fastText format, and training with specific parameters (wordNgrams, dim) to achieve model size constraints while maintaining accuracy. The verification is difficult because the accuracy is tested on a private test set with specific thresholds.",train-fasttext,claude-opus-4-5-20251101,anthropic,2026-01-24T14:01:01.850552,16,0,1.230448921378274
2,5,3,3,3,2,3,1,"The task provides crystal clear specifications including exact field mappings, priority rules, and output formats. The solution requires pandas knowledge for reading multiple file formats and performing merge operations with conflict detection. While this is a standard ETL pattern, it requires careful implementation of the priority-based conflict resolution and proper schema mapping across three sources.",multi-source-data-merger,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:41.143465,131,0,2.12057393120585
0,4,5,5,5,5,4,0,"This task requires implementing a complete chess move generator using only regex substitutions - an extremely unusual and difficult approach. The solution involves encoding all chess rules (piece movements, castling, en passant, promotion) as regex patterns, requiring deep knowledge of both chess rules and regex capabilities. The provided solution is a large compressed blob, indicating the complexity of encoding chess logic in pure regex, which is a highly atypical problem-solving pattern with no standard approach available.",regex-chess,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:53.109663,4,1,0.6989700043360189
1,4,5,5,5,5,4,0,"This task requires implementing a full metacircular evaluator in a Scheme-like language, which is one of the most challenging programming exercises. It demands deep knowledge of programming language implementation including parsing, environment management, closures, special forms, and primitives. The solution must be self-interpreting (able to interpret itself), adding significant complexity and requiring careful attention to the bootstrap problem.",schemelike-metacircular-eval,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:55.875071,324,0,2.5118833609788744
2,4,3,3,3,2,3,1,"The task requires knowledge of regex patterns for various API key formats (AWS, GitHub, Huggingface tokens) and proficiency with find/grep/sed for search-and-replace operations across a repository. The solution involves multiple steps with different regex patterns and requires careful handling to avoid modifying .git directory. The task description provides clear guidance on placeholder formats, making the approach reasonably clear, though the specific regex patterns for each token type require domain knowledge.",sanitize-git-repo,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:56.111040,13,3,1.146128035678238
1,2,3,3,3,3,3,1,"This task requires understanding git internals (specifically .git/logs/HEAD reflog format) to recover a detached HEAD commit. The solution involves parsing git's internal log files with awk/sed, creating a recovery branch, and merging with conflict resolution strategy. While git reflog recovery is a documented pattern, the specific approach of parsing raw log files rather than using `git reflog` command adds complexity.",fix-git,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:25.863832,8,2,0.9542425094393248
1,4,4,4,3,3,3,1,"This task requires integrating multiple systems: SSH for git access, a bare git repository with hooks, nginx web server configuration, and proper permissions/ownership. The solution demands deep knowledge of git internals (bare repos, post-receive hooks), web server configuration, SSH setup, and Linux user/permission management. While each component follows documented patterns, combining them correctly requires understanding how they interact.",configure-git-webserver,claude-opus-4-5-20251101,anthropic,2026-01-24T13:59:21.860488,75,3,1.8808135922807911
1,4,4,4,3,3,3,1,"This task requires deep knowledge of git internals, specifically understanding dangling commits, reflog, and garbage collection mechanisms. The solution involves finding secrets in dangling commits using git fsck, then completely purging them with reflog expire and aggressive gc. While documented patterns exist for git history rewriting, combining recovery and cleanup while preserving other history adds complexity.",git-leak-recovery,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:30.094292,54,6,1.740362689494244
1,3,5,5,5,5,3,0,"This task requires building a circuit/gate-level implementation that computes fib(isqrt(N)) using only basic logic gates, which demands deep understanding of digital logic design, computer architecture, and algorithm implementation at the hardware level. The solution implements a complete CPU with registers, ALU, ROM, and instruction execution to compute Fibonacci and integer square root - an extremely unusual and complex approach. The domain knowledge required spans circuit simulation, digital logic synthesis, and low-level computer architecture.",circuit-fibsqrt,claude-opus-4-5-20251101,anthropic,2026-01-24T13:58:58.442165,444,13,2.6483600109809315
1,4,4,4,4,3,4,0,"This task requires advanced regex skills including lookaheads, complex alternation patterns, and boundary conditions. The solution must combine IPv4 validation, date validation with month-specific day ranges, and the constraint of matching only the last date on lines containing IPs - requiring deep regex knowledge and careful logical reasoning about edge cases. While individual date/IP regex patterns exist, combining them with the 'last date only' requirement makes this a non-standard problem.",regex-log,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:53.796928,7,25,0.9030899869919436
0,3,5,5,5,5,4,0,"This task requires extremely deep understanding of C++ static initialization/destruction order, custom memory allocators interacting with libstdc++ internals, and locale facet lazy registration. The solution involves understanding that facets allocated from a custom heap will crash when freed after the custom heap is destroyed during static cleanup - requiring preemptive initialization to force malloc allocation instead. This is a rare, obscure debugging scenario with no standard pattern, requiring coredump analysis and knowledge of STL implementation details.",custom-memory-heap-crash,claude-opus-4-5-20251101,anthropic,2026-01-24T13:59:48.087302,127,12,2.1072099696478683
2,4,4,4,4,3,4,1,"This task requires deep knowledge of SPARQL query language and RDF/Turtle data formats, including complex constructs like GROUP_CONCAT, HAVING clauses, OPTIONAL patterns, and date filtering. The logical complexity is high due to multiple interrelated conditions (full professors, EU countries, enrollment counts with date constraints). While SPARQL is a standard query language with documented patterns, combining all these requirements into a single correct query requires substantial domain expertise and careful reasoning about the data model.",sparql-university,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:58.514835,47,2,1.6812412373755872
1,3,4,4,3,3,3,1,"This task requires building CompCert, a verified C compiler with complex dependencies including OCaml, Coq proof assistant, and Menhir parser generator. The solution involves setting up opam (OCaml package manager), creating a specific OCaml switch, installing precise versions of Coq and Menhir, and detecting the target architecture. While CompCert has documentation, the toolchain setup is exotic and requires deep knowledge of functional programming build systems and formal verification tools.",compile-compcert,claude-opus-4-5-20251101,anthropic,2026-01-24T13:59:16.297595,48,4,1.6901960800285136
2,4,4,4,3,4,3,0,"This task requires deep knowledge of Debian packaging (apt-get source), build systems (Makefile modifications), and understanding how to disable X11 dependencies via sed modifications. The solution involves non-standard steps like modifying Makefiles to remove X11 graphics flags and change library linking, which is not a commonly documented pattern. The task is moderately unusual as it combines source package retrieval with custom build modifications for a niche application.",build-pmars,claude-opus-4-5-20251101,anthropic,2026-01-24T13:58:24.888455,29,0,1.4771212547196624
2,5,3,2,3,2,3,1,"The task is clearly specified with exact output format and date calculations. The solution requires date arithmetic, file parsing with grep, and iterating over multiple date ranges - moderately complex but using standard Unix tools. The main challenges are correctly calculating date ranges and properly extracting dates from filenames, but these are well-documented patterns.",log-summary-date-ranges,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:34.579945,72,4,1.863322860120456
1,2,4,4,4,4,2,0,"This task requires OCR to extract pseudocode from an image that is intentionally designed to break standard OCR tools, then correctly interpret and implement cryptographic hash operations. The hint only provides a partial answer prefix for verification. The solver needs knowledge of OCR tools, cryptographic hashing (SHA256), and the ability to reason about potential OCR errors to reconstruct the exact code logic including specific constants like the SALT value.",code-from-image,claude-opus-4-5-20251101,anthropic,2026-01-24T13:59:10.744120,43,4,1.6434526764861874
1,4,5,4,4,4,3,0,"This task requires deep knowledge of QEMU virtualization, expect scripting for automated interaction, Alpine Linux system administration, and SSH server configuration. The solution involves launching a VM with proper networking (port forwarding), automating login via telnet/expect, and configuring networking, installing packages, and setting up SSH inside the VM - a complex multi-layer orchestration task. The tooling is exotic, combining QEMU, expect scripts, telnet automation, and Alpine-specific service management.",qemu-alpine-ssh,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:51.888875,113,1,2.0569048513364727
1,3,5,5,5,5,3,0,"This task requires implementing a linear cryptanalysis attack on a FEAL-like cipher, which demands deep knowledge of cryptographic attack techniques, understanding of linear approximations, and the mathematical foundations of differential/linear cryptanalysis. The solution involves identifying linear masks, computing bias across plaintext-ciphertext pairs, and recovering round keys iteratively - an extremely specialized skill. While the task mentions 'linear attack' as a hint, actually implementing it requires expert-level cryptographic knowledge and complex multi-stage reasoning about cipher structure.",feal-linear-cryptanalysis,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:28.328122,304,39,2.484299839346786
0,2,5,5,5,5,4,0,"This task requires implementing a complete MIPS CPU interpreter in JavaScript, including all ALU operations, memory access, branch/jump instructions, and Linux syscall emulation. It demands deep knowledge of MIPS architecture, ELF file parsing, and operating system concepts. The solution is approximately 2000+ lines of complex code handling dozens of instruction types and system calls, making this an extremely difficult and unusual task with no standard patterns to follow.",make-mips-interpreter,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:38.295180,1990,89,3.2990712600274095
2,4,5,5,4,4,4,0,"This task requires implementing a sophisticated statistical algorithm (adaptive rejection sampling) from a specific academic paper, demanding deep knowledge of Bayesian statistics, log-concave distributions, and sampling theory. The solution involves creating modular R code with input validation, log-concavity checks, hull construction algorithms, and comprehensive testing against known distributions. The stochastic nature of outputs makes verification challenging, requiring statistical tolerance comparisons rather than exact matches.",adaptive-rejection-sampler,claude-opus-4-5-20251101,anthropic,2026-01-24T13:58:01.915950,427,11,2.631443769013172
1,3,4,4,4,4,3,0,"This task requires deep knowledge of SQLite's binary file format and how data is stored at the byte level. The solution involves binary parsing, understanding IEEE 754 floating-point representation, and pattern matching to extract records from a corrupted database. This is an unusual recovery scenario that doesn't follow standard SQLite recovery patterns and requires custom binary analysis code.",sqlite-db-truncate,claude-opus-4-5-20251101,anthropic,2026-01-24T14:00:59.911528,114,0,2.060697840353612
